#mag    e_mag    col1   e_col1    m_ini
21.3652    0.0647   0.8106   0.0945   2.3731
20.9498    0.0524   0.6466   0.0780   2.5637
21.3701    0.0601   0.6081   0.0884   2.4333
21.5243    0.0698   0.6132   0.1013   1.3371
20.9424    0.0515   0.6320   0.0767   2.5563
21.0697    0.0554   0.7026   0.0821   2.4972
21.4303    0.0630   0.4388   0.0922   1.3921
20.5663    0.0427   0.5195   0.0644   2.7706
21.1125    0.0556   0.5651   0.0823   1.4631
20.4843    0.0402   0.6199   0.0610   2.8325
20.8921    0.0475   0.4996   0.0711   2.6215
20.7178    0.0446   0.3080   0.0672   1.5944
20.8016    0.0486   0.3958   0.0727   1.5432
20.7134    0.0459   0.4740   0.0690   1.5775
20.1725    0.0345   0.4446   0.0527   3.0218
20.8549    0.0507   0.4079   0.0757   1.5174
20.3424    0.0361   0.4001   0.0550   2.9291
20.9603    0.0507   0.5002   0.0757   1.5174
20.3347    0.0384   0.3681   0.0583   1.6840
20.4721    0.0398   0.5217   0.0603   1.6632
20.3548    0.0377   0.2647   0.0573   1.6944
19.7163    0.0272   0.3165   0.0416   3.3133
20.6719    0.0430   0.3814   0.0648   1.6172
20.4470    0.0393   0.3150   0.0596   1.6700
19.9610    0.0299   0.3851   0.0458   3.1898
20.3175    0.0371   0.3414   0.0564   2.8211
19.8388    0.0282   0.3572   0.0433   3.2105
20.0770    0.0324   0.3877   0.0495   1.7801
20.1138    0.0334   0.3824   0.0511   1.7626
19.5603    0.0252   0.3695   0.0386   3.3960
20.0277    0.0322   0.3602   0.0492   1.7832
19.5804    0.0251   0.3268   0.0384   3.4010
19.8423    0.0288   0.4052   0.0442   3.1636
19.4257    0.0230   0.4181   0.0352   3.5017
19.9755    0.0304   0.4254   0.0465   1.8130
19.3272    0.0221   0.4344   0.0338   3.4550
19.7147    0.0272   0.4070   0.0417   1.8679
19.3441    0.0226   0.3005   0.0345   3.5117
19.4257    0.0228   0.4177   0.0348   3.4147
19.3510    0.0227   0.3502   0.0347   3.4621
19.3190    0.0212   0.4376   0.0324   3.4764
19.2717    0.0211   0.3405   0.0322   3.5806
19.5829    0.0254   0.3552   0.0389   3.2209
18.8138    0.0167   1.8536   0.0249   2.0067
18.1141    0.0118   2.1328   0.0166   2.0005
19.0428    0.0190   0.5459   0.0289   3.5634
19.3242    0.0216   0.5645   0.0330   1.9692
18.8116    0.0170   0.4549   0.0256   3.8051
17.7277    0.0098   2.3136   0.0130   2.0017
19.2614    0.0211   0.6586   0.0322   1.9789
19.0774    0.0195   0.5208   0.0296   3.5874
19.5230    0.0239   0.4421   0.0366   1.9270
19.3924    0.0224   0.5800   0.0343   1.9550
18.1829    0.0123   1.7290   0.0174   4.0940
18.7224    0.0162   1.3572   0.0241   3.6462
19.0641    0.0191   1.7632   0.0289   2.0214
18.3715    0.0136   1.1719   0.0197   3.9699
18.7888    0.0170   1.7411   0.0255   2.0715
18.2445    0.0126   1.0805   0.0180   4.0628
18.5582    0.0147   1.4820   0.0217   3.6120
18.9082    0.0178   1.7361   0.0268   2.0537
17.4329    0.0086   2.0092   0.0108   4.2009
18.6037    0.0151   1.7251   0.0223   2.1137
18.0240    0.0115   1.7377   0.0160   4.1367
18.2899    0.0128   1.4406   0.0185   3.8276
18.3665    0.0134   1.7751   0.0194   2.1520
17.9701    0.0111   1.7635   0.0154   4.1558
