#mag    e_mag    col1   e_col1    m_ini
22.3786    0.0710   1.3438   0.0961   1.9813
22.2972    0.0679   1.3465   0.0922   2.0536
22.2993    0.0662   1.1794   0.0901   2.0966
22.3599    0.0674   1.1026   0.0916   2.0601
22.5366    0.0802   1.2550   0.1074   1.1678
22.0310    0.0572   1.0550   0.0788   2.1740
22.6507    0.0737   0.9865   0.0994   1.2026
22.0452    0.0557   0.9979   0.0769   2.2246
22.1011    0.0565   1.1193   0.0779   2.2014
22.2351    0.0640   1.2326   0.0874   2.1043
22.6861    0.0811   1.1154   0.1085   1.1631
22.1590    0.0589   0.8096   0.0809   1.2882
22.3786    0.0719   0.8710   0.0971   1.2121
21.7457    0.0444   0.8950   0.0624   2.4199
21.7924    0.0483   0.9881   0.0674   2.3536
21.6552    0.0428   0.9719   0.0604   2.4623
21.8815    0.0496   0.9509   0.0691   2.2515
21.8185    0.0506   0.9440   0.0704   2.2999
21.7092    0.0448   0.9856   0.0629   2.3884
22.1970    0.0618   0.7731   0.0846   1.2692
22.0268    0.0520   0.9388   0.0722   2.2313
22.0249    0.0513   1.0304   0.0713   2.2325
21.9359    0.0536   0.9174   0.0742   2.2228
22.2214    0.0603   0.8994   0.0828   1.2787
22.0213    0.0523   1.1451   0.0726   2.2230
21.7323    0.0456   0.8702   0.0640   2.4131
21.9649    0.0536   0.7980   0.0743   1.3262
21.8731    0.0504   0.7322   0.0701   1.3520
21.8596    0.0490   0.6756   0.0683   1.3638
21.6979    0.0449   0.9465   0.0631   2.3157
21.6948    0.0458   0.7341   0.0643   1.3943
21.3380    0.0364   0.8198   0.0519   2.5643
21.2785    0.0340   0.8371   0.0488   2.6307
21.8213    0.0494   0.7604   0.0689   1.3599
21.8307    0.0480   0.7296   0.0671   1.3721
21.4792    0.0388   0.8602   0.0551   2.5289
21.8734    0.0490   0.7809   0.0683   1.3638
21.7646    0.0469   0.7158   0.0657   1.3832
21.1777    0.0323   0.7716   0.0465   2.6726
21.6529    0.0421   0.8937   0.0594   2.3816
21.3654    0.0364   0.8501   0.0519   2.5665
21.8115    0.0480   0.6657   0.0671   1.3721
21.9995    0.0524   0.8549   0.0727   1.3357
21.1176    0.0307   0.8353   0.0443   2.6975
21.5417    0.0391   0.6088   0.0555   1.4759
21.6087    0.0412   0.6687   0.0583   1.4473
21.2885    0.0335   0.6959   0.0481   2.5762
20.9002    0.0266   0.6842   0.0388   2.8306
20.9153    0.0269   0.7656   0.0393   2.8207
21.2022    0.0315   0.7734   0.0455   2.6690
21.3037    0.0337   0.7358   0.0484   2.5321
20.7401    0.0237   0.6546   0.0349   2.9422
20.7816    0.0249   0.6200   0.0366   2.8947
21.1821    0.0310   0.6023   0.0448   2.6358
21.3200    0.0344   0.7513   0.0494   2.4950
21.4899    0.0420   0.6575   0.0593   1.4378
20.9043    0.0266   0.6796   0.0388   2.8306
21.3781    0.0365   0.6348   0.0521   1.5139
20.5513    0.0205   0.5594   0.0305   3.0848
21.2997    0.0347   0.5908   0.0497   1.5424
21.3345    0.0341   0.6263   0.0489   1.5519
20.7088    0.0229   0.5622   0.0338   2.9652
21.3049    0.0347   0.4861   0.0497   1.5424
20.7627    0.0243   0.6418   0.0357   2.9138
21.1684    0.0325   0.5603   0.0468   1.5804
20.8708    0.0248   0.6441   0.0364   2.8912
21.1156    0.0311   0.4652   0.0449   1.6089
21.1734    0.0320   0.4947   0.0462   1.5899
