#mag    e_mag    col1   e_col1    m_ini
21.4106    0.0701   1.2880   0.0905   3.1333
21.0428    0.0526   1.1756   0.0711   3.2200
21.1776    0.0617   1.1794   0.0813   3.1732
21.4788    0.0824   1.2767   0.1035   1.6431
20.8640    0.0495   0.7392   0.0676   1.7488
20.2290    0.0313   0.7215   0.0456   3.4665
20.5734    0.0399   0.8466   0.0562   3.3149
20.5680    0.0398   0.8939   0.0561   3.3098
20.7466    0.0444   0.6782   0.0616   3.4278
21.1667    0.0578   0.5545   0.0770   1.8745
20.2160    0.0319   0.3979   0.0463   3.8635
20.2989    0.0325   0.5168   0.0471   3.6728
20.9879    0.0550   0.5078   0.0738   1.9397
20.7666    0.0456   0.3664   0.0630   2.0241
20.3494    0.0341   0.4581   0.0491   3.6621
20.1175    0.0295   0.3115   0.0432   3.9524
20.3751    0.0354   0.3277   0.0507   3.7596
20.6423    0.0424   0.1316   0.0592   2.2230
20.4964    0.0384   0.0442   0.0544   2.3703
20.5591    0.0392   0.0980   0.0554   2.3417
20.3827    0.0348  -0.0428   0.0499   2.5123
19.7068    0.0230   0.0349   0.0345   4.8827
19.8032    0.0244   0.2272   0.0364   4.3345
19.7136    0.0230   0.0286   0.0345   4.8827
19.5575    0.0215   0.0180   0.0325   5.1201
19.5597    0.0215  -0.0340   0.0325   5.1201
19.5215    0.0210   0.0085   0.0317   5.2155
20.1546    0.0305  -0.0077   0.0445   2.7222
19.3958    0.0196  -0.0770   0.0298   5.5017
19.3314    0.0193  -0.1479   0.0292   5.5780
19.3927    0.0198  -0.0826   0.0300   5.3974
19.8070    0.0246  -0.1979   0.0366   3.1420
19.6320    0.0225  -0.2239   0.0338   3.3518
19.7672    0.0232  -0.2241   0.0348   3.2755
19.4949    0.0205  -0.2832   0.0310   3.5999
19.4932    0.0209  -0.2730   0.0316   3.5426
18.6992    0.0148  -0.2617   0.0224   7.2570
18.9076    0.0159  -0.1669   0.0241   6.6083
18.6842    0.0147  -0.2610   0.0223   7.2188
19.0215    0.0166  -0.3800   0.0253   4.3630
18.8021    0.0152  -0.4233   0.0231   4.7927
18.1865    0.0126  -0.3440   0.0188   9.0031
18.5465    0.0141  -0.4334   0.0213   5.2576
18.2261    0.0128  -0.4598   0.0190   6.0716
17.8217    0.0117  -0.5364   0.0171   7.0674
17.3666    0.0108  -0.5038   0.0154  12.4725
16.1721    0.0097  -0.6599   0.0132  19.8098
