#mag    e_mag    col1   e_col1    m_ini
22.0371    0.0540   1.4654   0.1059   2.4419
22.1282    0.0558   1.7634   0.1090   2.4238
22.0129    0.0482   1.1946   0.0957   1.3935
21.5865    0.0340   1.3862   0.0703   2.6533
21.5853    0.0345   1.2575   0.0712   2.6509
21.4373    0.0309   1.3521   0.0645   2.7269
21.9476    0.0456   1.2491   0.0912   1.4047
21.7243    0.0378   1.2384   0.0771   1.4435
21.4244    0.0302   1.1939   0.0631   1.4951
21.7773    0.0405   1.0835   0.0820   1.4290
21.4375    0.0305   1.0774   0.0637   1.4924
21.2981    0.0286   1.1650   0.0601   1.5084
21.4252    0.0300   1.2364   0.0628   2.6716
21.4919    0.0328   1.4571   0.0681   2.6405
20.9578    0.0215   1.0723   0.0464   2.7552
20.6875    0.0188   0.8783   0.0410   2.8501
20.3539    0.0148   0.9325   0.0328   3.1096
21.1313    0.0242   1.2087   0.0517   2.7142
20.9073    0.0210   0.7855   0.0455   1.6078
20.8686    0.0211   0.7589   0.0457   1.6063
20.8014    0.0198   0.5161   0.0431   1.6919
20.2337    0.0139   0.6771   0.0309   3.2363
20.8066    0.0198   0.6177   0.0430   1.6586
20.8539    0.0205   0.7459   0.0445   1.6200
20.6519    0.0183   0.7821   0.0400   2.8418
20.8848    0.0210   0.3377   0.0455   1.7544
20.9631    0.0215   0.3117   0.0465   1.7733
20.9158    0.0214   0.3572   0.0462   1.7676
20.9318    0.0218   0.2906   0.0471   1.7908
20.8392    0.0202   0.4041   0.0439   1.7185
21.0063    0.0222   0.2414   0.0479   1.8144
20.9754    0.0225   0.2966   0.0484   1.8337
21.0448    0.0225   0.2711   0.0485   1.8414
20.2455    0.0140   0.5717   0.0311   3.4172
20.2319    0.0138   0.2896   0.0306   3.7981
20.9746    0.0225   0.2727   0.0484   1.9129
20.5271    0.0163   0.5521   0.0360   3.4177
20.1938    0.0136   0.3078   0.0303   3.7237
20.9435    0.0219   0.1766   0.0473   2.0630
20.2143    0.0137   0.4492   0.0305   3.6575
20.2427    0.0138   0.1617   0.0308   4.0529
20.8421    0.0201   0.1194   0.0437   2.2007
20.1520    0.0132   0.4228   0.0294   3.7407
20.1342    0.0132   0.1632   0.0293   4.2621
20.7710    0.0192   0.1936   0.0419   2.2715
20.7832    0.0199   0.2138   0.0433   2.2173
20.7326    0.0189   0.1082   0.0411   2.3007
20.0344    0.0124   0.1551   0.0275   4.4576
20.0265    0.0123   0.0891   0.0274   4.4888
20.0391    0.0124   0.1842   0.0276   4.2841
20.6027    0.0171   0.0588   0.0376   2.4625
20.4983    0.0162   0.0369   0.0358   2.5560
20.5477    0.0163   0.0456   0.0360   2.5443
19.7308    0.0105   0.0602   0.0234   5.1703
20.3837    0.0152   0.0330   0.0335   2.6867
19.5685    0.0098  -0.0191   0.0217   5.5235
20.3178    0.0148   0.0558   0.0327   2.7367
20.1873    0.0136   0.0039   0.0303   2.9035
19.6503    0.0102   0.0246   0.0226   5.2668
20.1240    0.0129   0.0284   0.0288   3.0202
19.4708    0.0093  -0.0127   0.0208   5.7213
19.4521    0.0093  -0.0121   0.0206   5.7647
19.3409    0.0088  -0.0554   0.0195   6.0416
19.3233    0.0087  -0.0312   0.0194   6.0582
19.1874    0.0083  -0.0978   0.0183   6.4574
19.0988    0.0080  -0.1150   0.0176   6.7243
19.5378    0.0097  -0.1532   0.0216   3.8541
19.3579    0.0089  -0.1658   0.0197   4.1710
18.4996    0.0066  -0.1848   0.0141   8.7256
18.6622    0.0069  -0.1992   0.0149   8.0418
18.1928    0.0061  -0.2591   0.0129   9.9099
18.8284    0.0073  -0.2531   0.0158   5.2385
17.8984    0.0057  -0.3062   0.0119  11.2269
17.5563    0.0054  -0.3347   0.0110  12.8985
18.0881    0.0060  -0.3687   0.0125   7.1068
17.6263    0.0055  -0.4272   0.0112   8.6005
