#mag    e_mag    col1   e_col1    m_ini
22.8900    0.0821   1.4384   0.1332   1.9578
22.9927    0.0812   1.3764   0.1318   1.9660
22.6054    0.0733   1.3453   0.1205   2.0393
22.8280    0.0756   1.1149   0.1237   2.0157
22.5479    0.0688   1.0122   0.1138   2.0732
22.5641    0.0696   1.2015   0.1150   2.0655
23.0712    0.0894   1.3958   0.1435   1.1026
22.6595    0.0727   1.1186   0.1196   2.0384
22.5145    0.0723   0.9873   0.1189   1.1936
22.4121    0.0661   1.1682   0.1099   2.0980
22.4419    0.0679   1.1496   0.1125   2.0815
22.3592    0.0586   0.9367   0.0986   2.1725
22.2084    0.0580   1.0263   0.0976   2.2170
22.8751    0.0779   1.1209   0.1272   1.1605
22.1855    0.0540   0.8511   0.0915   2.2797
22.4473    0.0635   0.9667   0.1060   2.1228
22.7426    0.0779   0.9658   0.1272   1.1605
22.4096    0.0620   1.2592   0.1036   2.1642
22.2458    0.0578   0.7540   0.0973   1.3011
22.1960    0.0569   0.7166   0.0960   1.3094
21.7796    0.0434   0.7461   0.0749   2.4699
21.7835    0.0451   0.9310   0.0776   2.4203
22.5945    0.0661   0.8237   0.1099   1.2350
22.2552    0.0607   0.9370   0.1018   1.2763
22.4891    0.0650   0.8959   0.1082   1.2432
21.9402    0.0478   0.6191   0.0819   1.4087
22.1032    0.0513   0.8613   0.0873   1.3673
21.4214    0.0360   0.8315   0.0629   2.6436
21.9630    0.0491   0.7262   0.0839   1.3921
21.3607    0.0356   0.8219   0.0623   2.6602
22.0496    0.0520   0.8576   0.0885   1.3590
21.3399    0.0351   0.7348   0.0613   2.6767
21.9428    0.0484   0.7098   0.0828   1.4004
22.0173    0.0505   0.9483   0.0862   1.3756
21.4023    0.0354   0.7881   0.0620   2.6519
21.2963    0.0342   0.6988   0.0599   2.7015
21.7279    0.0422   0.5768   0.0730   1.4914
21.4313    0.0349   0.7281   0.0612   2.6519
21.1964    0.0313   0.7553   0.0550   2.8091
21.8107    0.0437   0.5275   0.0754   1.4666
21.4431    0.0381   0.8888   0.0664   2.5358
21.5572    0.0382   0.5680   0.0665   1.5658
21.5342    0.0386   0.6862   0.0671   1.5576
21.2826    0.0321   0.6441   0.0564   2.7264
21.6201    0.0390   0.6121   0.0678   1.5493
21.5173    0.0394   0.5476   0.0685   1.5410
21.2204    0.0323   0.6685   0.0567   2.7098
20.7275    0.0234   0.4603   0.0414   3.2140
20.6057    0.0219   0.5020   0.0388   3.3259
20.7113    0.0239   0.5014   0.0422   3.1810
21.3060    0.0333   0.4277   0.0584   1.6896
21.3940    0.0353   0.5816   0.0617   1.6336
21.1691    0.0308   0.4279   0.0541   1.7723
21.1736    0.0312   0.2961   0.0549   1.7557
20.7534    0.0244   0.4572   0.0432   3.1313
20.8263    0.0252   0.5373   0.0446   3.0900
20.5273    0.0212   0.3959   0.0374   3.3907
20.4460    0.0202   0.3557   0.0356   3.4803
20.3736    0.0197   0.4382   0.0346   3.5363
20.9959    0.0290   0.2786   0.0511   1.8385
21.0526    0.0286   0.3040   0.0504   1.8550
20.9313    0.0267   0.2807   0.0471   1.9377
20.9250    0.0272   0.2122   0.0481   1.9129
20.3105    0.0184   0.3386   0.0324   3.6686
20.8279    0.0255   0.3400   0.0450   1.9956
20.7473    0.0240   0.2163   0.0424   2.0701
20.6983    0.0235   0.2889   0.0416   2.0949
20.7269    0.0242   0.2191   0.0427   2.0618
20.5657    0.0217   0.1717   0.0383   2.2024
20.1381    0.0166   0.2653   0.0290   3.8837
19.9537    0.0148   0.2352   0.0257   4.1732
20.5365    0.0214   0.1683   0.0378   2.2190
19.8243    0.0137   0.2184   0.0235   4.3552
19.8623    0.0140   0.1961   0.0241   4.3056
20.3509    0.0190   0.1211   0.0334   2.3844
20.3260    0.0187   0.0933   0.0329   2.4038
20.2876    0.0183   0.1306   0.0321   2.4359
20.2974    0.0183   0.0984   0.0321   2.4359
19.6373    0.0120   0.1254   0.0203   4.6605
19.3805    0.0101   0.0510   0.0165   5.1294
19.3377    0.0098   0.0375   0.0158   5.2176
19.5096    0.0109   0.0937   0.0181   4.8958
19.3211    0.0098   0.0740   0.0159   5.1882
19.9108    0.0144   0.0230   0.0249   2.7845
19.0999    0.0083   0.0117   0.0127   5.6683
19.3257    0.0096   0.0314   0.0155   5.1698
19.0223    0.0077   0.0021   0.0116   5.8296
19.5531    0.0115  -0.0506   0.0192   3.1280
19.0380    0.0079  -0.0188   0.0119   5.7004
19.0526    0.0079  -0.0043   0.0119   5.7004
19.1258    0.0085  -0.0930   0.0132   3.5926
18.5850    0.0055  -0.0873   0.0068   6.7512
19.0959    0.0083  -0.1059   0.0126   3.6403
18.9381    0.0073  -0.1281   0.0107   3.8130
18.1751    0.0038  -0.1405   0.0029   7.5150
17.9872    0.0031  -0.1614   0.0013   8.0416
17.5444    0.0017  -0.1969  -0.0018   8.9634
17.9103    0.0028  -0.2055   0.0008   4.8308
15.6550   -0.0015   0.1202  -0.0102   9.3689
