#mag    e_mag    col1   e_col1    m_ini
22.6930    0.0689   1.3922   0.1281   1.9067
22.4575    0.0631   1.1741   0.1190   1.9542
22.5667    0.0679   1.2343   0.1266   1.9137
22.6569    0.0726   1.1000   0.1338   1.8801
22.3863    0.0612   1.0380   0.1159   1.9681
22.5669    0.0717   1.0948   0.1325   1.8863
22.5173    0.0660   1.0236   0.1236   1.9276
22.5180    0.0689   0.9825   0.1281   1.9067
22.3881    0.0606   1.0600   0.1151   1.9751
22.8116    0.0819   0.8284   0.1480   1.0501
22.7088    0.0759   0.8833   0.1390   1.0716
22.5272    0.0686   0.9370   0.1277   1.1014
22.4037    0.0622   1.1612   0.1176   1.9555
22.8453    0.0861   0.7138   0.1542   1.0364
22.6991    0.0777   1.3285   0.1416   1.0651
22.0800    0.0516   0.9425   0.1002   2.0400
22.9243    0.0906   0.9645   0.1608   1.0224
22.2601    0.0586   1.0696   0.1117   1.9834
22.1981    0.0549   1.0504   0.1058   2.0117
21.9594    0.0467   0.9417   0.0921   2.1202
22.2528    0.0544   0.9946   0.1050   2.0160
22.1789    0.0527   0.9928   0.1022   2.0518
22.6729    0.0791   0.8881   0.1437   1.0601
22.1272    0.0506   0.9818   0.0986   2.0597
21.9179    0.0437   0.8530   0.0869   2.1581
22.0024    0.0471   0.8769   0.0926   2.1139
22.0549    0.0511   0.9013   0.0994   2.0527
22.1018    0.0521   0.8225   0.1011   2.0588
22.3087    0.0573   0.9506   0.1098   1.9927
22.5699    0.0690   0.9064   0.1282   1.0999
22.1626    0.0529   0.9215   0.1024   2.0288
22.1144    0.0514   1.1528   0.1000   2.0657
22.2941    0.0613   1.1738   0.1162   1.9625
22.3766    0.0622   1.0755   0.1176   1.9555
22.2470    0.0570   1.1206   0.1092   1.9952
22.3455    0.0604   0.8650   0.1147   1.9694
22.6956    0.0777   0.7491   0.1416   1.0651
21.8105    0.0422   0.8746   0.0842   2.1800
21.9731    0.0467   0.9249   0.0920   2.1125
22.2233    0.0577   1.0569   0.1103   1.9902
22.2055    0.0586   0.9995   0.1117   1.9834
21.5858    0.0356   0.6890   0.0725   2.2843
22.0224    0.0511   0.7194   0.0995   1.1928
21.5969    0.0356   0.8322   0.0725   2.2836
21.9768    0.0458   0.9841   0.0906   2.0909
22.2863    0.0564   0.8479   0.1081   1.1616
22.0300    0.0492   0.7260   0.0962   1.2058
21.8302    0.0412   0.9387   0.0825   2.1879
22.3643    0.0617   0.7853   0.1168   1.1335
21.7253    0.0383   0.6757   0.0775   2.2352
21.4746    0.0334   0.8817   0.0685   2.3219
21.9516    0.0479   0.7887   0.0940   2.0754
21.9988    0.0487   0.8627   0.0954   2.0649
22.3111    0.0584   0.6859   0.1115   1.1501
22.0580    0.0502   0.6583   0.0979   1.1990
22.4021    0.0656   0.8059   0.1230   1.1146
22.0609    0.0495   0.7536   0.0968   2.0573
21.8269    0.0435   0.9308   0.0865   2.1352
21.8127    0.0435   1.0658   0.0865   2.1141
22.0384    0.0482   0.7591   0.0945   1.2128
21.9896    0.0473   0.8114   0.0930   2.0779
22.4024    0.0626   0.6876   0.1182   1.1292
22.0046    0.0459   0.8712   0.0907   2.0902
21.5461    0.0349   0.7548   0.0712   2.2946
21.5002    0.0351   0.6940   0.0716   2.2932
21.6235    0.0375   0.8125   0.0759   2.2499
21.7097    0.0378   0.8149   0.0764   2.2395
21.7342    0.0404   0.7690   0.0811   2.1459
22.4960    0.0656   0.9871   0.1230   1.1146
21.9092    0.0463   0.8534   0.0914   2.0865
21.9952    0.0457   0.8532   0.0903   2.0992
22.1378    0.0553   0.9335   0.1064   1.1679
22.3077    0.0575   0.6871   0.1100   1.1554
21.5681    0.0335   0.8669   0.0686   2.3233
21.6869    0.0373   0.8371   0.0755   2.2213
21.6079    0.0387   0.8991   0.0780   2.2270
21.8147    0.0413   0.9227   0.0827   2.1922
22.1002    0.0553   0.5981   0.1064   1.1679
21.7389    0.0394   0.7441   0.0794   2.2180
21.5461    0.0353   0.9655   0.0720   2.2734
21.7343    0.0398   0.8393   0.0800   2.1965
21.6339    0.0364   0.8311   0.0739   2.2004
21.6921    0.0367   0.7120   0.0745   2.1877
21.5533    0.0342   0.8031   0.0699   2.2771
20.9572    0.0230   0.7495   0.0484   2.5858
21.5319    0.0345   0.8131   0.0704   2.2701
21.9733    0.0482   0.6930   0.0945   1.2128
21.5908    0.0361   0.7556   0.0733   2.1958
21.9510    0.0435   0.5981   0.0865   1.2477
21.9784    0.0472   0.7094   0.0929   1.2198
21.2456    0.0284   0.6849   0.0591   2.4326
21.7767    0.0409   0.7152   0.0820   1.2696
21.7923    0.0401   0.7025   0.0806   1.2765
21.4389    0.0324   0.9168   0.0666   2.3118
21.9068    0.0453   0.7423   0.0896   1.2337
21.4141    0.0313   0.6044   0.0645   2.2968
21.5225    0.0340   0.7611   0.0695   2.2537
21.2818    0.0289   0.7460   0.0601   2.3867
21.4368    0.0326   0.7492   0.0671   2.3281
21.6271    0.0368   0.6182   0.0746   1.3092
21.4141    0.0315   0.7623   0.0648   2.2898
21.7724    0.0401   0.6704   0.0806   1.2765
21.1866    0.0273   0.5961   0.0569   2.4582
21.2382    0.0275   0.7695   0.0574   2.4520
21.7119    0.0391   0.7777   0.0789   2.1598
21.2930    0.0294   0.7586   0.0609   2.3698
21.5892    0.0347   0.7390   0.0708   2.2631
21.3160    0.0297   0.6663   0.0614   2.3850
21.8423    0.0413   0.7751   0.0827   1.2661
21.6147    0.0373   0.8409   0.0756   2.1807
21.6798    0.0390   0.4834   0.0786   1.2871
21.4134    0.0319   0.8923   0.0657   2.2955
21.7248    0.0394   0.8186   0.0793   1.2836
21.6909    0.0368   0.5657   0.0746   1.3092
21.6711    0.0367   0.8075   0.0746   2.2283
21.7412    0.0398   0.9122   0.0800   2.1529
21.7344    0.0382   0.7762   0.0773   2.1864
21.5203    0.0336   0.8059   0.0689   2.2782
21.7576    0.0413   0.6703   0.0827   1.2661
21.3280    0.0296   0.6916   0.0612   2.3901
21.6623    0.0370   0.8398   0.0749   2.2143
21.0796    0.0255   0.6617   0.0533   2.5103
21.8826    0.0425   0.8396   0.0848   1.2558
21.9168    0.0444   0.7639   0.0881   1.2407
21.6889    0.0368   0.6122   0.0746   1.3092
21.6376    0.0374   0.7645   0.0758   1.3022
21.3477    0.0298   0.7599   0.0617   2.3953
21.3777    0.0319   0.7762   0.0656   2.3364
21.4208    0.0319   0.8028   0.0657   2.3490
21.1460    0.0259   0.7259   0.0541   2.4999
21.6735    0.0373   0.7732   0.0756   2.1807
21.4345    0.0320   0.7240   0.0659   2.2817
21.7650    0.0405   0.7027   0.0813   1.2731
21.5582    0.0374   0.8353   0.0758   1.3022
21.9299    0.0462   0.8178   0.0912   1.2268
22.0084    0.0462   0.6338   0.0912   1.2268
21.6972    0.0385   0.8078   0.0778   2.1668
22.0863    0.0482   0.8510   0.0945   1.2128
21.1727    0.0280   0.5948   0.0582   2.3567
21.3297    0.0305   0.5912   0.0630   1.3847
21.3141    0.0290   0.4844   0.0603   1.4056
21.5807    0.0348   0.6008   0.0711   1.3301
21.3341    0.0290   0.7323   0.0602   2.3246
21.3015    0.0294   0.4451   0.0610   1.3995
21.2846    0.0294   0.6709   0.0610   2.3177
20.6966    0.0195   0.6053   0.0411   2.7218
21.5765    0.0355   0.5262   0.0723   1.3231
20.7560    0.0207   0.6075   0.0437   2.6648
20.7884    0.0206   0.6338   0.0435   2.6709
21.2959    0.0294   0.6135   0.0610   1.3995
21.5890    0.0355   0.5116   0.0723   1.3231
21.4935    0.0348   0.7591   0.0711   1.3301
20.9484    0.0228   0.6081   0.0480   2.5927
21.3356    0.0294   0.7528   0.0609   2.3456
21.3528    0.0303   0.5638   0.0626   1.3872
21.4618    0.0336   0.6589   0.0689   1.3441
21.5560    0.0342   0.6123   0.0700   1.3371
20.7194    0.0203   0.5785   0.0428   2.6878
20.8862    0.0218   0.6754   0.0460   2.6119
21.1236    0.0262   0.6281   0.0548   2.4771
21.5186    0.0336   0.6913   0.0689   1.3441
20.7861    0.0204   0.5762   0.0431   2.6812
21.0646    0.0247   0.7031   0.0517   2.5229
21.4628    0.0336   0.6765   0.0689   1.3441
20.9174    0.0226   0.6799   0.0476   2.5860
21.5392    0.0336   0.6272   0.0689   1.3441
20.9728    0.0237   0.5978   0.0497   2.5293
21.5896    0.0355   0.6253   0.0723   1.3231
21.2826    0.0298   0.6112   0.0617   1.3946
21.0733    0.0247   0.7051   0.0517   2.5229
20.9886    0.0234   0.7174   0.0492   2.5610
20.8495    0.0213   0.6221   0.0449   2.6448
21.5412    0.0355   0.8090   0.0723   1.3231
21.0677    0.0252   0.6523   0.0528   2.5089
20.8881    0.0223   0.5675   0.0470   2.5797
21.4930    0.0342   0.5852   0.0700   1.3371
21.2601    0.0289   0.7186   0.0600   2.3456
20.8741    0.0222   0.5718   0.0468   2.5955
21.1186    0.0260   0.6978   0.0543   2.4484
21.5175    0.0336   0.5521   0.0689   1.3441
21.0282    0.0242   0.5984   0.0509   2.4901
21.1208    0.0256   0.6857   0.0537   2.4672
21.5003    0.0331   0.6095   0.0678   1.3507
21.4566    0.0348   0.7721   0.0711   1.3301
20.6373    0.0188   0.6243   0.0397   2.7518
21.0881    0.0258   0.6321   0.0540   2.4211
21.4005    0.0313   0.5716   0.0646   1.3732
21.3302    0.0301   0.4872   0.0623   1.3896
20.8955    0.0220   0.6747   0.0464   2.6207
21.1513    0.0266   0.5447   0.0556   2.4050
21.4851    0.0331   0.5318   0.0678   1.3507
21.3785    0.0306   0.6007   0.0633   1.3822
21.4563    0.0324   0.5129   0.0665   1.3597
21.5896    0.0348   0.5632   0.0711   1.3301
20.7146    0.0199   0.5447   0.0419   2.6689
20.3318    0.0156   0.5078   0.0327   2.9212
21.0774    0.0251   0.6435   0.0526   1.4702
21.0056    0.0246   0.5619   0.0515   1.4807
21.2010    0.0268   0.5379   0.0560   1.4405
21.1470    0.0268   0.5061   0.0560   1.4405
20.6127    0.0185   0.5625   0.0390   2.7468
20.5748    0.0181   0.5474   0.0381   2.7604
21.0216    0.0239   0.6180   0.0503   2.4629
21.2301    0.0277   0.5905   0.0577   1.4265
21.0026    0.0240   0.3753   0.0505   1.4908
20.3474    0.0156   0.4880   0.0327   2.9210
20.6521    0.0188   0.5149   0.0398   2.7070
20.7897    0.0209   0.5671   0.0440   2.6393
20.7735    0.0210   0.5685   0.0444   2.6263
20.6707    0.0196   0.5405   0.0413   2.7102
21.1595    0.0261   0.4629   0.0546   1.4523
20.9700    0.0237   0.4339   0.0498   1.4976
20.3096    0.0153   0.4743   0.0321   2.9381
20.8347    0.0216   0.6338   0.0455   2.6061
20.5949    0.0185   0.5937   0.0390   2.7351
21.0799    0.0259   0.4432   0.0542   1.4559
21.2224    0.0273   0.4879   0.0568   1.4335
21.0179    0.0240   0.5500   0.0505   1.4908
21.0338    0.0244   0.5053   0.0512   1.4841
21.1366    0.0268   0.4828   0.0560   1.4405
20.6402    0.0187   0.6591   0.0396   2.7497
20.5595    0.0179   0.5213   0.0378   2.7602
20.9433    0.0237   0.5733   0.0498   2.4791
21.0022    0.0244   0.3881   0.0512   1.4841
21.0621    0.0251   0.3901   0.0526   1.4702
20.7744    0.0208   0.5995   0.0438   2.6533
21.1029    0.0259   0.4123   0.0542   1.4559
21.1725    0.0268   0.5450   0.0560   1.4405
20.7798    0.0208   0.5371   0.0438   2.5659
20.8274    0.0213   0.5161   0.0449   2.5483
21.2442    0.0273   0.5194   0.0568   1.4335
20.6281    0.0185   0.5191   0.0390   2.7545
21.2152    0.0277   0.6157   0.0577   1.4265
20.9984    0.0240   0.5081   0.0505   1.4908
20.9095    0.0226   0.5838   0.0476   2.5249
20.8682    0.0227   0.5900   0.0479   2.4956
20.9480    0.0230   0.6722   0.0485   2.5094
20.9740    0.0230   0.4476   0.0485   1.5109
20.9539    0.0234   0.5617   0.0491   2.4886
20.4330    0.0165   0.5392   0.0347   2.8550
21.1750    0.0264   0.4936   0.0552   1.4474
20.4703    0.0167   0.4819   0.0352   2.8415
20.7564    0.0201   0.4080   0.0423   1.5775
20.6421    0.0187   0.3731   0.0396   1.6099
20.7774    0.0208   0.4391   0.0440   1.5590
20.7296    0.0196   0.3949   0.0415   1.5873
20.9459    0.0230   0.3501   0.0485   1.5109
20.8426    0.0213   0.4812   0.0448   1.5496
20.9125    0.0230   0.4080   0.0485   1.5109
20.8936    0.0221   0.4714   0.0466   1.5303
20.7768    0.0208   0.4741   0.0440   1.5590
20.0990    0.0133   0.4405   0.0275   3.0799
20.2427    0.0145   0.4430   0.0302   2.9518
20.6882    0.0194   0.4178   0.0409   1.5944
20.6526    0.0190   0.3644   0.0401   1.6034
20.9408    0.0227   0.4200   0.0479   1.5174
20.8974    0.0227   0.5044   0.0479   1.5174
20.8889    0.0215   0.5165   0.0454   1.5432
20.7489    0.0204   0.3688   0.0431   1.5682
20.5931    0.0185   0.5664   0.0390   2.6919
20.6855    0.0195   0.4324   0.0411   1.5920
20.0751    0.0131   0.3950   0.0270   3.0863
20.7649    0.0206   0.3534   0.0436   1.5636
20.9189    0.0221   0.5942   0.0466   1.5303
20.8712    0.0218   0.5196   0.0460   1.5367
20.6907    0.0199   0.3571   0.0419   1.5821
20.4683    0.0168   0.4279   0.0353   2.7880
20.7084    0.0199   0.4294   0.0419   1.5821
20.4500    0.0166   0.5000   0.0350   2.7926
20.5834    0.0185   0.5590   0.0389   2.7041
20.6472    0.0193   0.3784   0.0407   1.5967
20.6363    0.0191   0.3349   0.0403   1.6013
20.9189    0.0227   0.5054   0.0479   1.5174
20.2648    0.0147   0.4603   0.0308   2.9361
20.6659    0.0191   0.5461   0.0403   2.6396
20.4875    0.0172   0.5261   0.0362   2.7929
20.9188    0.0230   0.4432   0.0485   1.5109
20.8043    0.0213   0.4036   0.0448   1.5496
20.9153    0.0227   0.4030   0.0479   1.5174
20.7372    0.0201   0.4742   0.0423   1.5775
20.5449    0.0176   0.4795   0.0372   2.6868
20.3500    0.0156   0.4253   0.0328   2.8751
20.8787    0.0218   0.3886   0.0460   1.5367
19.7295    0.0107   0.3784   0.0213   3.2977
20.5387    0.0178   0.3538   0.0375   1.6346
20.4630    0.0168   0.3869   0.0354   1.6613
20.0554    0.0130   0.4551   0.0268   3.0053
20.3808    0.0158   0.4103   0.0332   1.6912
19.9231    0.0119   0.4145   0.0242   3.1892
19.7390    0.0107   0.4031   0.0213   3.2984
19.9040    0.0117   0.3721   0.0238   3.1659
20.4740    0.0171   0.3690   0.0360   1.6539
20.1523    0.0137   0.4324   0.0283   2.9808
20.6360    0.0186   0.3953   0.0392   1.6141
20.0146    0.0127   0.4462   0.0260   3.0930
20.5738    0.0180   0.4186   0.0379   1.6302
19.6781    0.0104   0.3673   0.0204   3.3271
20.5895    0.0181   0.4045   0.0382   1.6259
20.4012    0.0162   0.3645   0.0340   1.6805
20.6187    0.0186   0.4256   0.0392   1.6141
20.3263    0.0153   0.3733   0.0320   1.7071
19.8086    0.0111   0.3684   0.0222   3.2653
20.0597    0.0130   0.4465   0.0267   3.0915
20.4340    0.0169   0.3798   0.0356   1.6595
20.4685    0.0170   0.3436   0.0357   1.6576
20.6224    0.0187   0.3437   0.0394   1.6120
19.7035    0.0105   0.3848   0.0207   3.3229
19.8816    0.0117   0.3647   0.0236   3.1944
20.5254    0.0174   0.4028   0.0366   1.6466
20.1424    0.0137   0.4340   0.0285   2.9431
20.2642    0.0146   0.4744   0.0304   2.9334
20.0618    0.0131   0.4697   0.0270   3.0628
20.3014    0.0156   0.3712   0.0326   1.6993
20.4001    0.0164   0.3689   0.0345   1.6735
20.5045    0.0176   0.3557   0.0372   1.6389
20.5059    0.0175   0.3040   0.0368   1.6433
20.4112    0.0164   0.4155   0.0345   1.6735
19.6777    0.0103   0.3720   0.0202   3.3426
20.3943    0.0159   0.4300   0.0335   1.6875
19.6449    0.0100   0.3552   0.0195   3.3674
20.1682    0.0139   0.3756   0.0288   1.7526
19.6145    0.0099   0.3771   0.0194   3.3230
20.1526    0.0138   0.3693   0.0286   1.7551
19.4181    0.0088   0.3635   0.0165   3.4888
20.1339    0.0136   0.3265   0.0282   1.7601
19.6499    0.0102   0.3594   0.0199   3.2611
20.1054    0.0135   0.3340   0.0279   1.7651
19.6715    0.0103   0.3571   0.0202   3.3354
20.2100    0.0144   0.3235   0.0299   1.7365
19.8295    0.0112   0.4231   0.0225   3.0886
19.9795    0.0125   0.3564   0.0255   1.7994
19.7275    0.0106   0.3949   0.0209   3.2526
20.0743    0.0130   0.3252   0.0268   1.7801
20.2347    0.0146   0.3810   0.0305   1.7289
20.1930    0.0142   0.3475   0.0296   1.7402
20.0670    0.0128   0.4110   0.0264   2.9962
19.9896    0.0124   0.3586   0.0254   1.8006
20.2073    0.0145   0.3333   0.0302   1.7327
20.1432    0.0138   0.3455   0.0286   1.7551
20.2349    0.0145   0.3603   0.0302   1.7327
19.6843    0.0104   0.3657   0.0205   3.2785
19.8058    0.0111   0.4249   0.0222   3.2258
20.1602    0.0137   0.3493   0.0284   1.7576
