#mag    e_mag    col1   e_col1    m_ini
23.2497    0.1025   1.3630   0.1685   1.1024
22.7840    0.0763   1.7073   0.1283   2.1154
23.5834    0.1100   1.2695   0.1795   1.0756
22.7509    0.0713   1.6065   0.1202   2.1690
22.7119    0.0773   1.5300   0.1297   2.1065
22.7135    0.0763   1.5859   0.1283   2.1154
22.6995    0.0735   1.5547   0.1238   2.1422
22.7981    0.0745   1.4308   0.1253   2.1333
22.7087    0.0725   1.5468   0.1223   2.1512
22.7249    0.0735   1.5178   0.1238   2.1422
22.8160    0.0773   1.3817   0.1297   2.1065
23.1035    0.0956   1.4927   0.1580   1.1292
23.0798    0.0892   1.3219   0.1482   1.1560
22.4182    0.0649   1.2652   0.1100   2.2223
23.2825    0.0956   1.6302   0.1580   1.1292
23.0812    0.0853   1.5761   0.1422   1.1737
23.1226    0.0853   1.3301   0.1422   1.1737
23.0016    0.0815   1.3007   0.1363   1.1914
22.1537    0.0540   1.3664   0.0920   2.3908
22.4258    0.0618   1.5137   0.1050   2.2531
22.5624    0.0687   1.2592   0.1161   2.1869
23.2453    0.0913   1.5731   0.1514   1.1471
22.8934    0.0815   1.4064   0.1363   1.1914
22.2823    0.0583   1.0849   0.0991   2.3296
23.0146    0.0815   1.3085   0.1363   1.1914
22.8417    0.0815   1.3503   0.1363   1.1914
22.5144    0.0659   1.3996   0.1115   2.2135
22.6890    0.0774   1.4652   0.1299   1.2133
23.0116    0.0853   1.2057   0.1422   1.1737
22.5945    0.0677   1.6112   0.1146   2.1958
22.6548    0.0696   1.3128   0.1176   2.1780
22.4231    0.0659   1.3799   0.1115   2.2135
22.2596    0.0558   1.3179   0.0950   2.3650
22.3494    0.0651   1.6387   0.1103   2.2315
22.2950    0.0600   1.2499   0.1019   2.3028
22.9137    0.0815   1.4356   0.1363   1.1914
22.4623    0.0641   1.3497   0.1087   2.2494
22.6203    0.0668   1.2873   0.1130   2.2046
22.4883    0.0649   1.2760   0.1100   2.2223
22.3679    0.0631   1.2619   0.1071   2.2393
23.2439    0.0934   1.3924   0.1547   1.1382
22.6639    0.0695   1.4774   0.1174   2.1869
22.5519    0.0640   1.5820   0.1085   2.2312
22.1640    0.0571   1.3825   0.0971   2.3425
22.2684    0.0581   1.4952   0.0988   2.3295
23.0124    0.0913   1.6931   0.1514   1.1471
22.2673    0.0640   1.4131   0.1085   2.2312
21.9809    0.0518   1.1389   0.0883   2.4229
22.4319    0.0664   1.2606   0.1124   1.2848
22.5542    0.0664   0.9206   0.1124   1.2848
22.2874    0.0563   1.1144   0.0959   2.3157
22.2172    0.0548   1.2882   0.0934   2.3336
22.3397    0.0594   1.2237   0.1010   2.2800
22.1721    0.0563   1.3136   0.0959   2.3157
22.3079    0.0594   1.5944   0.1010   2.2800
21.9423    0.0495   1.2324   0.0844   2.4672
22.0278    0.0505   1.0400   0.0861   2.4409
22.0186    0.0539   1.4259   0.0918   2.3872
22.2655    0.0552   1.3219   0.0941   2.3425
22.2591    0.0594   1.4121   0.1010   2.2800
22.6487    0.0676   1.3957   0.1144   1.2759
22.2694    0.0578   1.4007   0.0984   2.2978
22.1525    0.0545   1.3897   0.0929   2.3515
22.6034    0.0715   1.0809   0.1206   1.2491
22.5490    0.0652   1.0019   0.1104   1.2938
22.4802    0.0614   1.4995   0.1042   2.2621
22.2624    0.0578   1.1284   0.0984   2.2978
22.6453    0.0729   1.1540   0.1228   1.2401
22.1036    0.0548   1.2565   0.0934   2.3693
22.8442    0.0759   1.1861   0.1275   1.2222
22.0163    0.0507   1.2185   0.0864   2.4319
22.1746    0.0570   1.0118   0.0970   2.3246
22.4302    0.0602   1.2832   0.1023   2.2710
22.1237    0.0543   1.3010   0.0925   2.3870
22.6935    0.0774   1.2078   0.1299   1.2133
22.6545    0.0759   0.9928   0.1275   1.2222
22.7330    0.0689   1.2869   0.1164   1.2669
21.8093    0.0464   1.1976   0.0790   2.5339
22.8227    0.0759   1.3552   0.1275   1.2222
22.7501    0.0759   1.3330   0.1275   1.2222
22.6048    0.0715   1.0326   0.1206   1.2491
22.6730    0.0702   1.0890   0.1185   1.2580
22.3083    0.0590   1.2897   0.1003   2.2889
22.5850    0.0689   1.0532   0.1164   1.2669
22.7217    0.0715   1.0694   0.1206   1.2491
22.1639    0.0526   1.3088   0.0897   2.4137
22.3431    0.0614   1.4118   0.1042   2.2621
21.8856    0.0463   1.0149   0.0789   2.4945
22.1856    0.0533   1.0230   0.0908   1.4010
22.0289    0.0491   1.3370   0.0837   2.4409
22.4239    0.0608   1.1830   0.1033   1.3295
21.7794    0.0439   1.1400   0.0748   2.5570
21.9765    0.0509   1.1641   0.0867   2.3962
22.0694    0.0541   1.0161   0.0923   1.3921
22.4449    0.0618   1.0514   0.1050   1.3206
22.1638    0.0533   0.9585   0.0908   1.4010
22.3055    0.0597   1.0512   0.1016   1.3385
21.8308    0.0483   1.2986   0.0823   2.4766
21.9143    0.0488   1.1292   0.0833   2.4677
22.0910    0.0525   0.9611   0.0895   1.4100
22.2629    0.0629   0.9584   0.1068   1.3116
21.5628    0.0418   1.0380   0.0710   2.6412
21.9405    0.0509   1.3170   0.0867   2.3962
21.5416    0.0396   1.0809   0.0671   2.6948
22.2811    0.0568   1.2392   0.0967   1.3653
22.3252    0.0608   1.1523   0.1033   1.3295
21.9832    0.0500   1.0555   0.0852   2.4319
22.5149    0.0618   1.0503   0.1050   1.3206
21.9373    0.0484   1.1745   0.0826   2.4677
22.2178    0.0559   1.1255   0.0952   1.3742
21.7667    0.0457   1.1510   0.0780   2.5124
22.3173    0.0568   1.1096   0.0967   1.3653
21.7224    0.0435   1.0514   0.0741   2.5746
22.3504    0.0587   1.0827   0.0999   1.3474
21.6946    0.0431   1.2016   0.0734   2.6054
21.8861    0.0468   1.1105   0.0798   2.4856
21.5201    0.0391   1.0169   0.0664   2.7127
21.8473    0.0478   1.0600   0.0816   2.4942
22.3984    0.0629   0.9408   0.1068   1.3116
22.1447    0.0559   1.0210   0.0952   1.3742
21.7722    0.0440   1.0947   0.0749   2.5657
22.1484    0.0514   1.0837   0.0876   2.3783
21.7260    0.0421   1.2031   0.0716   2.6322
22.0801    0.0541   1.0176   0.0923   1.3921
21.4536    0.0382   1.1506   0.0648   2.7395
22.2850    0.0618   1.2681   0.1050   1.3206
22.2570    0.0587   0.9362   0.0999   1.3474
21.7601    0.0450   1.1920   0.0767   2.5518
21.9703    0.0509   1.0761   0.0868   2.4051
22.1074    0.0527   1.2083   0.0899   2.3604
21.8449    0.0465   1.1653   0.0793   2.4498
21.7255    0.0428   1.0827   0.0729   2.5749
21.5021    0.0409   0.9652   0.0695   2.6196
22.0255    0.0496   0.9235   0.0845   1.4457
21.8521    0.0470   1.0706   0.0801   1.4815
21.5417    0.0399   1.0784   0.0678   2.6375
21.6096    0.0401   1.0200   0.0681   2.6590
22.0195    0.0518   1.0594   0.0883   1.4189
21.2891    0.0352   1.0212   0.0593   2.8378
21.4183    0.0372   1.0878   0.0630   2.7663
22.0003    0.0503   1.1043   0.0858   1.4368
21.6538    0.0426   1.1296   0.0725   2.5571
21.2108    0.0334   0.9993   0.0560   2.9093
22.0435    0.0503   1.0564   0.0858   1.4368
21.3748    0.0375   1.0567   0.0636   2.7574
21.7281    0.0421   1.0717   0.0716   2.6015
21.7254    0.0419   1.1975   0.0713   2.5660
22.1095    0.0525   1.0972   0.0895   1.4100
21.9875    0.0503   1.0124   0.0858   1.4368
21.0981    0.0323   0.8550   0.0540   2.9540
21.6115    0.0403   1.0442   0.0684   2.6374
21.7153    0.0452   0.9293   0.0770   1.5083
21.2414    0.0348   1.0595   0.0585   2.8468
21.4866    0.0395   0.9846   0.0670   2.6640
21.5708    0.0411   1.0969   0.0699   2.6281
21.5755    0.0415   1.0922   0.0706   2.6233
22.0003    0.0496   0.9423   0.0845   1.4457
22.0753    0.0510   0.9686   0.0870   1.4279
21.8157    0.0476   1.0573   0.0812   1.4725
21.7577    0.0457   1.1007   0.0780   1.4994
21.4584    0.0371   0.8838   0.0627   2.7753
21.9208    0.0482   0.9171   0.0823   1.4636
21.5511    0.0407   1.1270   0.0692   2.6371
21.7768    0.0457   0.9848   0.0780   1.4994
21.5121    0.0408   0.9910   0.0693   2.6412
21.3155    0.0361   1.0210   0.0610   2.8021
21.9237    0.0496   1.0112   0.0845   1.4457
21.3871    0.0372   0.9920   0.0629   2.7663
21.5999    0.0405   1.0698   0.0688   2.6501
21.3227    0.0355   0.9031   0.0599   2.8289
21.5239    0.0383   1.0657   0.0648   2.7306
21.9960    0.0496   0.9146   0.0845   1.4457
21.6605    0.0408   1.1457   0.0694   2.5660
21.3715    0.0379   1.0379   0.0642   2.7216
21.7713    0.0470   0.9316   0.0801   1.4815
21.6199    0.0412   1.0904   0.0701   2.5749
21.8178    0.0470   1.0855   0.0801   1.4815
21.0316    0.0315   0.9789   0.0526   2.9898
21.5380    0.0399   1.0453   0.0677   2.6680
21.4740    0.0384   1.0714   0.0651   2.7306
21.2257    0.0330   0.8989   0.0552   2.9272
21.8182    0.0470   0.8374   0.0801   1.4815
21.5487    0.0407   1.1032   0.0692   2.6196
21.4621    0.0371   1.0451   0.0627   2.7574
21.9507    0.0489   0.8582   0.0834   1.4547
21.5536    0.0390   1.0380   0.0662   2.6948
21.4501    0.0376   1.0093   0.0636   2.7395
20.9093    0.0294   0.9106   0.0485   3.0971
21.1678    0.0315   0.9654   0.0526   2.9898
21.6467    0.0425   0.8598   0.0723   1.5530
21.0583    0.0313   0.8811   0.0522   2.9987
20.9146    0.0299   0.9340   0.0495   3.0702
21.5210    0.0406   0.7868   0.0689   1.5888
21.6370    0.0435   0.7752   0.0741   1.5351
21.7171    0.0441   0.9464   0.0751   1.5262
21.8053    0.0452   0.9073   0.0770   1.5083
21.7032    0.0425   0.7996   0.0723   1.5530
21.1826    0.0335   0.9199   0.0563   2.8825
21.1348    0.0324   0.8535   0.0542   2.9362
21.3211    0.0363   0.9775   0.0613   2.7180
20.9546    0.0297   0.8518   0.0492   3.0792
21.6447    0.0415   0.8450   0.0706   1.5709
21.5732    0.0410   0.8967   0.0698   1.5798
20.9969    0.0300   0.8373   0.0497   3.0613
20.9457    0.0294   0.8263   0.0486   3.0971
21.1399    0.0321   0.9325   0.0536   2.9540
21.1395    0.0329   0.9030   0.0551   2.9004
21.3775    0.0379   0.9280   0.0641   2.6998
21.0418    0.0313   0.9757   0.0522   2.9987
21.6788    0.0425   0.8161   0.0723   1.5530
21.3735    0.0352   0.9615   0.0593   2.8021
21.2948    0.0345   0.8662   0.0580   2.8557
20.9107    0.0297   0.9385   0.0491   3.0792
21.5884    0.0410   0.7988   0.0698   1.5798
21.1072    0.0321   0.9011   0.0536   2.9630
21.6709    0.0425   0.7764   0.0723   1.5530
21.5280    0.0391   0.8206   0.0664   2.6465
21.6050    0.0401   0.8344   0.0681   1.5977
20.9161    0.0283   0.8607   0.0465   3.1596
21.2448    0.0333   0.9408   0.0559   2.8736
21.5457    0.0401   0.8108   0.0681   1.5977
21.1904    0.0331   0.8954   0.0555   2.9004
21.7131    0.0420   0.7712   0.0714   1.5619
21.5707    0.0401   0.8270   0.0681   1.5977
21.5826    0.0420   0.7974   0.0714   1.5619
20.8429    0.0286   0.7333   0.0471   3.1418
21.8044    0.0441   0.9532   0.0751   1.5262
21.7706    0.0446   0.7735   0.0760   1.5172
21.5064    0.0393   1.0238   0.0666   2.6286
21.6593    0.0420   0.7437   0.0714   1.5619
21.0472    0.0318   0.9471   0.0531   2.9630
21.0103    0.0308   0.9207   0.0512   3.0256
21.6008    0.0420   0.8791   0.0714   1.5619
21.1508    0.0327   0.8914   0.0547   2.9362
21.0897    0.0317   0.8868   0.0529   2.9809
21.4505    0.0377   0.9775   0.0638   2.7087
21.7156    0.0441   0.8206   0.0751   1.5262
21.5366    0.0406   0.7879   0.0689   1.5888
21.3184    0.0343   0.9800   0.0577   2.8557
20.9755    0.0299   0.9722   0.0495   3.0702
21.5934    0.0406   0.8905   0.0689   1.5888
20.9068    0.0293   0.9068   0.0485   3.0971
20.9137    0.0293   0.9524   0.0484   3.0971
21.0487    0.0312   0.8579   0.0520   2.9540
21.0568    0.0316   0.8098   0.0527   2.9272
21.4475    0.0380   0.6535   0.0644   1.6424
21.3150    0.0359   0.7685   0.0606   1.6960
20.6062    0.0256   0.7488   0.0414   3.3384
20.8085    0.0280   0.8173   0.0459   3.1775
20.6885    0.0263   0.7930   0.0428   3.2848
21.0127    0.0306   0.8751   0.0509   3.0077
20.6469    0.0261   0.7601   0.0423   3.3027
21.4835    0.0380   0.6951   0.0644   1.6424
21.5079    0.0384   0.8273   0.0652   1.6335
21.5870    0.0393   0.8929   0.0666   1.6156
20.7049    0.0271   0.8088   0.0442   3.2312
21.3701    0.0369   0.7450   0.0624   1.6692
21.5247    0.0373   0.7875   0.0631   1.6603
21.2327    0.0348   0.9023   0.0586   2.7804
21.0839    0.0314   0.9100   0.0524   2.9451
21.3211    0.0356   0.6309   0.0600   1.7050
21.3744    0.0359   0.7555   0.0606   1.6960
20.7825    0.0267   0.7526   0.0435   3.2580
21.4976    0.0393   0.8116   0.0666   1.6156
21.3626    0.0362   0.5971   0.0612   1.6871
21.2321    0.0339   0.9070   0.0570   2.8072
21.0298    0.0312   0.7744   0.0521   2.9451
21.4125    0.0380   0.7172   0.0644   1.6424
21.3346    0.0359   0.7963   0.0606   1.6960
21.3624    0.0369   0.7481   0.0624   1.6692
21.4371    0.0376   0.7766   0.0637   1.6513
21.4136    0.0376   0.7558   0.0637   1.6513
20.8368    0.0279   0.7765   0.0457   3.1775
21.3613    0.0366   0.7839   0.0618   1.6782
21.0992    0.0317   0.8989   0.0529   2.9540
21.4154    0.0380   0.9460   0.0644   1.6424
21.0225    0.0300   0.8171   0.0497   3.0524
21.3605    0.0369   0.6661   0.0624   1.6692
20.8915    0.0287   0.8084   0.0474   3.1239
21.0965    0.0330   0.7822   0.0554   2.8736
21.2937    0.0359   0.6587   0.0606   1.6960
20.7410    0.0268   0.8379   0.0437   3.2490
21.0919    0.0318   0.8440   0.0530   2.9451
