#mag    e_mag    col1   e_col1    m_ini
22.4472    0.0524   1.9683   0.1034   2.3113
23.0452    0.0726   1.5931   0.1656   1.1968
22.3316    0.0489   1.6356   0.0936   2.3396
22.3758    0.0473   1.7390   0.0893   2.3517
22.3714    0.0466   1.5629   0.0876   2.3658
22.4135    0.0489   1.7384   0.0936   2.3396
22.5010    0.0555   1.9528   0.1121   2.2856
22.3754    0.0477   1.6888   0.0903   2.3549
22.5898    0.0518   1.6227   0.1015   2.3167
22.4628    0.0504   1.5926   0.0979   2.3274
22.5035    0.0518   1.7878   0.1015   2.3167
22.6996    0.0615   1.4691   0.1301   1.2315
22.0612    0.0372   1.4363   0.0641   2.4230
21.6220    0.0293   1.3556   0.0465   2.5526
22.3467    0.0466   1.4659   0.0874   2.3570
22.0448    0.0385   1.6232   0.0671   2.4141
22.3555    0.0459   1.2924   0.0858   1.2865
22.2177    0.0442   1.2645   0.0812   1.2936
22.0210    0.0369   1.3095   0.0632   2.4255
22.1340    0.0417   1.5162   0.0749   2.3922
21.9920    0.0379   1.4339   0.0657   2.4487
22.3650    0.0453   1.1931   0.0841   1.2890
22.1665    0.0413   1.5191   0.0740   2.3948
22.2464    0.0427   1.1367   0.0773   1.3000
22.3429    0.0488   1.3275   0.0935   1.2754
22.0078    0.0361   1.4190   0.0615   2.4306
22.2256    0.0424   1.5747   0.0767   2.3871
22.0011    0.0373   1.4865   0.0643   2.4593
21.7332    0.0317   1.3631   0.0515   2.5253
21.6865    0.0296   1.3643   0.0472   2.5492
22.3312    0.0466   1.4073   0.0875   1.2840
22.6689    0.0576   1.4907   0.1184   1.2443
21.6032    0.0289   1.3285   0.0458   2.5587
22.1901    0.0437   1.3545   0.0798   1.2957
22.8362    0.0652   1.4512   0.1417   1.2194
22.1880    0.0439   1.6159   0.0804   2.3899
22.1030    0.0420   1.6165   0.0758   2.3897
22.1035    0.0417   1.4931   0.0749   2.3922
21.9602    0.0358   1.4517   0.0607   2.4331
21.9417    0.0379   1.4138   0.0656   2.4562
