#mag    e_mag    col1   e_col1    m_ini
22.3154    0.0625   1.8077   0.1175   2.1148
22.2857    0.0567   1.6093   0.1090   2.1644
21.9840    0.0455   1.3364   0.0915   2.2782
22.4415    0.0694   1.1889   0.1272   1.1794
21.7375    0.0384   1.2108   0.0796   2.3050
21.4122    0.0297   1.1114   0.0639   2.4291
21.7657    0.0400   1.3876   0.0824   2.2933
21.4543    0.0293   1.0824   0.0632   2.4396
22.0942    0.0497   1.1228   0.0983   1.2497
20.8288    0.0198   0.8866   0.0436   2.5650
21.2646    0.0268   1.0784   0.0583   2.4214
21.0852    0.0228   0.7226   0.0501   1.4094
20.6484    0.0171   0.9513   0.0377   2.6967
21.5068    0.0316   0.8676   0.0675   1.3351
21.4307    0.0297   0.9240   0.0639   1.3474
20.9025    0.0207   0.9086   0.0456   2.4636
20.7631    0.0186   0.9521   0.0409   2.6577
21.1137    0.0248   0.8683   0.0544   1.3874
20.8081    0.0195   0.5420   0.0430   1.4657
20.4354    0.0149   0.5855   0.0322   2.7819
20.8759    0.0205   0.6254   0.0452   1.4428
20.7479    0.0188   0.4384   0.0415   1.4946
20.7433    0.0188   0.4442   0.0415   1.5047
20.5808    0.0164   0.6527   0.0359   2.6872
20.7972    0.0195   0.7742   0.0430   2.4836
20.8869    0.0205   0.2383   0.0452   1.5974
20.8123    0.0193   0.3036   0.0425   1.5438
20.7746    0.0189   0.3995   0.0416   1.5247
20.2344    0.0131   0.5062   0.0277   2.8854
20.4717    0.0149   0.4478   0.0323   2.8978
20.7525    0.0188   0.4778   0.0416   1.5148
20.1449    0.0122   0.4527   0.0253   3.0664
20.6293    0.0169   0.3697   0.0371   2.8779
20.4474    0.0151   0.3438   0.0327   3.0005
20.2871    0.0134   0.4067   0.0284   3.0655
20.9207    0.0205   0.2944   0.0453   1.6337
20.0352    0.0114   0.1923   0.0230   3.3341
20.8094    0.0192   0.1991   0.0425   1.7619
20.0176    0.0114   0.1240   0.0231   3.5489
20.8218    0.0193   0.1433   0.0426   1.7499
20.8304    0.0196   0.1046   0.0433   1.7126
20.6717    0.0181   0.0598   0.0399   1.8595
20.0164    0.0112   0.1185   0.0226   3.5972
19.9897    0.0111   0.0848   0.0221   3.6745
20.6909    0.0180   0.0948   0.0397   1.8677
20.6517    0.0175   0.0204   0.0385   1.9148
19.9763    0.0109   0.1073   0.0217   3.6251
20.6336    0.0169  -0.0347   0.0371   1.9566
19.9412    0.0107   0.0652   0.0209   3.7688
20.5205    0.0159   0.0034   0.0347   2.0328
19.8869    0.0103   0.0302   0.0200   3.8246
19.8603    0.0104   0.0342   0.0200   3.8382
20.3895    0.0144  -0.0521   0.0310   2.1642
20.4186    0.0147  -0.0141   0.0318   2.1345
20.4265    0.0148  -0.0981   0.0320   2.1260
19.6344    0.0089  -0.0849   0.0155   4.3283
19.7594    0.0097  -0.0046   0.0181   4.0174
20.2530    0.0131  -0.1490   0.0277   2.2997
19.6875    0.0092  -0.0317   0.0167   4.1275
19.5034    0.0083  -0.1007   0.0136   4.5698
19.5202    0.0083  -0.0783   0.0138   4.5357
20.0996    0.0119  -0.1486   0.0244   2.4563
19.5690    0.0086  -0.0882   0.0147   4.3409
19.5426    0.0084  -0.0944   0.0141   4.4611
19.8735    0.0104  -0.1899   0.0201   2.6976
19.9410    0.0106  -0.2066   0.0209   2.6493
19.8008    0.0099  -0.2049   0.0188   2.7783
19.7841    0.0098  -0.2238   0.0183   2.8122
19.7797    0.0098  -0.2228   0.0183   2.8122
18.9036    0.0060  -0.2530   0.0056   5.9295
19.1062    0.0066  -0.2072   0.0080   5.4000
19.4741    0.0081  -0.2842   0.0132   3.2020
18.7604    0.0055  -0.2808   0.0040   6.3022
19.3744    0.0076  -0.2981   0.0114   3.3714
19.3420    0.0074  -0.3152   0.0109   3.4222
19.2223    0.0071  -0.3204   0.0096   3.5578
18.4909    0.0049  -0.3322   0.0013   7.0478
18.9553    0.0061  -0.3809   0.0061   3.9984
18.2690    0.0045  -0.3701  -0.0006   7.7764
18.6903    0.0054  -0.4197   0.0033   4.4559
18.6644    0.0053  -0.4370   0.0029   4.5236
17.9503    0.0040  -0.4315  -0.0030   8.7390
18.2862    0.0045  -0.4938  -0.0005   5.3098
17.3028    0.0033  -0.5271  -0.0067  11.6359
17.1973    0.0032  -0.5492  -0.0073  12.1519
16.6848    0.0029  -0.6062  -0.0094  15.0444
16.9330    0.0030  -0.6920  -0.0084   9.1599
