#
# Cignoni, M. et al. Mean Age Gradient and Asymmetry in the Star Formation
# History of the Small Magellanic Cloud.
# The Astrophysical Journal 775, 83 (2013).
#
# Values taken from Fig. 14 using http://arohatgi.info/WebPlotDigitizer/app/
#
#      Average Bologna AMR                  Average Cole AMR
#
#Age(Gyrs)            [Fe/H]           Age(Gyrs)            [Fe/H]
0.0523217789          -0.7374687922    0.0392413342         -0.6982504061
0.1438848921          -0.7168478558    0.7063440157         -0.7148999629
0.3793328973          -0.7272163693    1.0071942446         -0.7768815626
0.640941792           -0.803637754     1.1510791367         -0.8037430455
0.8633093525          -0.7603399971    1.4780902551         -0.8038105401
1.2557226946          -0.7170773373    1.7527795945         -0.7852913841
1.7658600392          -0.8245097702    2.2629169392         -0.8287403289
2.5114453891          -0.9464386836    2.7338129496         -0.8040697192
3.505559189           -1.0725468598    3.1654676259         -0.9197418873
4.5127534336          -1.081010677     3.5448005232         -1.0354032563
5.480706344           -1.1637698004    4.395029431          -1.0293867917
6.5140614781          -1.2238386043    5.232177894          -1.0336875448
7.4950948332          -1.2219771045    5.533028123          -1.0399415902
8.5022890778          -1.1829693015    6.0170045782         -1.0854491189
9.5094833224          -1.2616085572    6.5009810334         -1.1350846145
10.1896664487         -1.4495714433    6.814911707          -1.1681731451
10.4905166776         -1.5404488118    7.0372792675         -1.1929868433
11.4715500327         -1.538587312     7.3904512753         -1.1971877044
12.4656638326         -1.5945200496    8.6069326357         -1.2036307346
--                    --               8.8423806409         -1.2119352646
--                    --               9.5879659908         -1.3586319799
--                    --               10.1373446697        -1.48258438
--                    --               10.7521255723        -1.6127422295
--                    --               11.5107913669        -1.6665623876
--                    --               12.5964682799        -1.7431538586
