#
# Harris, J. & Zaritsky, D. The Star Formation History of the Small
# Magellanic Cloud. The Astronomical Journal 127, 1531–1544 (2004).
#
# Values taken from Fig. 12 using http://arohatgi.info/WebPlotDigitizer/app/
#
#
#Age(Gyrs)              [Fe/H]
0.03666558458200253     -0.5447162944864938
0.02296297561892402     -0.4052401373678006
0.16477301850364778     -0.4995694442071452
0.2612038476652603     -0.4437133728578996
0.6427924618565153     -0.4799484016470468
1.0072613576175913     -0.5913017478514925
1.6122264176732908     -0.5994959763536025
2.547455107724376     -0.8671342411454153
3.9950793623673744     -0.9563310495651729
6.322130909463684     -0.8174938919168276
9.99835978745579     -0.9503203540125409
#
# Piatti data.
#0.05	-0.42
#0.15	-0.55
#0.25	-0.47
#0.3	-0.44
#0.6	-0.47	
#1.0	-0.59
#1.6	-0.60
#2.5	-0.87
#4	-0.95
#6.3	-0.82
#10	-0.95
