#
# Harris, J. & Zaritsky, D. The Star Formation History of the Large Magellanic
# Cloud. The Astronomical Journal 138, 1243 (2009).
#
# Table 3 ; LMC Cluster Ages and Metallicities
#
#[Fe/H]  e[Fe/H]     log(Age)    elog(Age
-1.66   0.12    10.13   0.05
-0.40   0.00    8.00    0.00
-0.97   0.10    9.96    0.04
-0.4    0.00    7.00    0.00
-1.05   0.20    9.18    0.03
-0.7    0.20    9.32    0.03
-1.84   0.00    10.13   0.05
-0.4    0.00    6.30    0.00
-0.4    0.00    7.00    0.00
-0.6    0.00    6.95    0.25
-0.4    0.00    7.20    0.14
0.00    0.20    8.85    0.00
-0.55   0.20    9.26    0.03
-0.5    0.20    9.34    0.03
-0.40   0.00    7.70    0.00
-0.7    0.20    9.11    0.09
-0.6    0.20    9.32    0.03
-0.4    0.20    9.20    0.10
-0.39   0.05    9.34    0.03
-0.4    0.20    8.70    0.00
-0.9    0.20    9.34    0.10
-0.75   0.20    9.34    0.03
-0.4    0.00    7.20    0.22
-0.5    0.20    8.95    0.09
-0.45   0.10    9.35    0.03
-0.65   0.00    9.08    0.00
0.00    0.20    8.60    0.00
-0.9    0.20    9.30    0.10
-0.7    0.20    9.20    0.12
-0.7    0.20    9.32    0.00
-0.7    0.10    9.50    0.05
-0.9    0.20    9.30    0.08
-0.8    0.20    9.18    0.08
-0.35   0.00    9.26    0.00
-0.55   0.20    9.18    0.03
-0.65   0.20    9.34    0.03
-0.9    0.20    9.26    0.03
-0.6    0.20    9.36    0.09
-0.53   0.03    9.30    0.03
-0.57   0.17    7.70    0.05
-0.4    0.10    9.31    0.03
-1.42   0.15    10.19   0.06
-0.6    0.10    9.06    0.04
-2.1    0.30    10.13   0.10
-0.71   0.23    8.70    0.10
-0.1    0.10    8.85    0.05
-1.62   0.15    10.21   0.07
0.00    0.20    8.60    0.00
-0.4    0.00    8.00    0.00
-0.4    0.00    8.10    0.00
-2.02   0.02    10.13   0.10
-0.40   0.00    9.30    0.03
-0.12   0.03    7.70    0.10
-0.12   0.03    6.60    0.10
-0.4    0.10    8.47    0.04
-0.4    0.00    6.90    0.00
0.00    0.20    8.40    0.00
-0.40   0.00    7.70    0.00
-0.2    0.20    8.70    0.00
-0.43   0.18    8.00    0.00
-0.7    0.10    9.05    0.03
-1.37   0.15    10.13   0.07
-1.27   0.14    10.13   0.10
-2.10   0.19    10.13   0.10
-0.4    0.00    6.85    0.15
-0.4    0.00    7.19    0.15
-0.38   0.07    9.54    0.00
-0.4    0.00    7.19    0.15
-1.35   0.15    10.22   0.11
-1.23   0.15    10.21   0.08
-0.4    0.00    7.06    0.14
-0.52   0.21    8.20    0.10
-0.4    0.10    9.46    0.07
-0.4    0.00    8.28    0.00
-0.55   0.23    8.00    0.10
-0.7    0.10    9.48    0.03
-0.4    0.10    9.10    0.03
-0.2    0.20    8.00    0.00
-0.6    0.10    9.21    0.04
-0.5    0.10    9.08    0.03
-1.75   0.10    10.13   0.10
-0.7    0.10    9.23    0.04
-0.2    0.20    8.00    0.00
-0.45   0.10    9.35    0.03
-1.63   0.21    10.20   0.10
