#
# Age1: log(age)_DB
# Age2: log(age)_asteca
#
# Mass1: Mass_DB
# Mass2: Mass_asteca
#
#DB   GAL      NAME   Age1  e_age  Age2  e_age      Mass1   e_mass    Mass2   e_mass  E_BV/VI  quality/class
#
P99   SMC       L63   7.60   0.10   8.2    0.9      -1.00       -1    400.0    200.0     -1.0     -1.0
P99   SMC       L62   7.70   0.20   8.1   0.05      -1.00       -1   1200.0    200.0     -1.0     -1.0
P99   SMC    NGC294   8.50   0.10   8.8   0.06      -1.00       -1   8200.0    600.0     -1.0     -1.0
P99   SMC       L34   8.00   0.10  8.45   0.06      -1.00       -1   4200.0    900.0     -1.0     -1.0
P99   SMC       L30   8.00   0.10   8.0    1.0      -1.00       -1    800.0    300.0     -1.0     -1.0
P99   SMC       L72   7.50   0.10   7.8    0.3      -1.00       -1   3400.0    400.0     -1.0     -1.0
P99   SMC       L35   8.40   0.10   6.9    0.7      -1.00       -1    600.0    300.0     -1.0     -1.0
P00   LMC    BRHT4B   7.80   0.05  8.45   0.08      -1.00       -1    600.0    200.0     -1.0     -1.0
P00   LMC  BSDL1024   8.10   0.10   8.4    0.1      -1.00       -1    400.0    200.0     -1.0     -1.0
P00   LMC   BSDL675   9.00   0.10   9.0    0.1      -1.00       -1    600.0    200.0     -1.0     -1.0
P00   LMC     HS154   8.70   0.10   8.6    0.7      -1.00       -1    200.0    200.0     -1.0     -1.0
P00   LMC   NGC1838   8.00   0.05   8.2    0.1      -1.00       -1   1200.0    200.0     -1.0     -1.0
P00   LMC   NGC1917   9.00   0.05  9.15   0.08      -1.00       -1   4000.0   1000.0     -1.0     -1.0
P00   LMC   NGC1865   8.60   0.05   8.8   0.06      -1.00       -1   6000.0   2000.0     -1.0     -1.0
P00   LMC     SL230   7.30   0.05   7.9   0.08      -1.00       -1   1000.0    200.0     -1.0     -1.0
P00   LMC   H88-265   7.90   0.10   8.3    0.9      -1.00       -1    800.0    200.0     -1.0     -1.0
P00   LMC   NGC1839   8.00   0.05   8.3    0.5      -1.00       -1   3400.0    500.0     -1.0     -1.0
P00   LMC     SL229   8.35   0.10  8.65   0.06      -1.00       -1   1000.0    300.0     -1.0     -1.0
P00   LMC     SL300   8.80   0.10   8.6    0.1      -1.00       -1    600.0    200.0     -1.0     -1.0
P00   LMC   NGC1846   9.00  99.99   9.0   0.05      -1.00       -1   8000.0    700.0     -1.0     -1.0
P00   LMC   OGLE298   6.70   0.10   8.8    0.2      -1.00       -1    400.0    300.0     -1.0     -1.0
P00   LMC   H88-244   8.10   0.10   8.0    1.0      -1.00       -1    600.0    400.0     -1.0     -1.0
P00   LMC   NGC1863   7.85   0.10   8.0    0.9      -1.00       -1   2000.0   1000.0     -1.0     -1.0
P00   LMC   H88-269   8.80   0.10  8.85   0.05      -1.00       -1   3000.0   1000.0     -1.0     -1.0
P00   LMC   NGC1836   8.50   0.05   8.8    0.1      -1.00       -1   4000.0   2000.0     -1.0     -1.0
P00   LMC   NGC1860   8.40   0.10   8.8   0.05      -1.00       -1   8400.0    600.0     -1.0     -1.0
P00   LMC   H88-188   8.65   0.10   8.9    0.2      -1.00       -1   1000.0    400.0     -1.0     -1.0
P00   LMC   BSDL779   7.50   0.10   8.4    0.2      -1.00       -1   1400.0    400.0     -1.0     -1.0
P00   LMC   H88-279   8.00   0.10   8.6    0.9      -1.00       -1   1000.0    300.0     -1.0     -1.0
P00   LMC   BSDL654   8.20   0.05   8.6    0.5      -1.00       -1    600.0    200.0     -1.0     -1.0
P00   LMC     SL218   7.40   0.05  8.85   0.05      -1.00       -1   1000.0    300.0     -1.0     -1.0
P00   LMC   BSDL631   6.70  99.99   7.5    0.2      -1.00       -1    200.0    200.0     -1.0     -1.0
H03   LMC   BRHT45A   6.73   0.15   8.2    0.3      34.99       -1    400.0    200.0     -1.0        0
H03   LMC   BRHT38B   7.21   0.15   8.2    0.8     129.42       -1    600.0    200.0     -1.0        0
H03   SMC      B112   7.43   0.15   9.0    0.2    5395.11       -1    400.0    200.0     -1.0        2
H03   SMC       B47   7.51   0.24   8.9    0.8    2228.44       -1   1200.0    300.0     -1.0        0
H03   LMC    H88-33   7.22   0.15   8.3    0.7      67.92       -1    200.0    200.0     -1.0        2
H03   SMC       L63   6.94   0.15   8.2    0.9     619.44       -1    400.0    200.0     -1.0        0
H03   LMC        H3   8.85   0.09   9.5    0.3    6546.36       -1   6000.0   2000.0     -1.0        0
H03   LMC      HS38   8.35   0.09   8.8    0.5     839.78       23   1000.0    300.0     -1.0        0
H03   LMC   H88-235   8.55   0.09   8.7    0.7     794.33       -1    600.0    400.0     -1.0        0
H03   SMC       L50   7.48   0.24   7.9    0.2    3047.89       -1    600.0    200.0     -1.0        0
H03   LMC    H88-67   8.97   0.09  9.05   0.08    1018.59       -1   1000.0    200.0     -1.0        2
H03   LMC    H88-26   8.36   0.09   9.1    0.8     244.34       -1    600.0    200.0     -1.0        2
H03   SMC       B39   8.25   0.15   8.9    0.9     737.90       -1   1400.0    200.0     -1.0        2
H03   SMC    NGC294   8.55   0.12   8.8   0.06   17701.09       -1   8200.0    600.0     -1.0        0
H03   LMC    H88-55   8.49   0.09   8.9   0.05    1169.50       -1   1600.0    400.0     -1.0        1
H03   LMC   KMHK229   9.30   0.09   9.1   0.09    7046.93       -1    400.0    200.0     -1.0        0
H03   LMC   NGC1917   9.48   0.09  9.15   0.08   59156.16       -1   4000.0   1000.0     -1.0        0
H03   LMC  KMHK1023   9.48   0.09   9.4    0.1    2051.16       -1   2400.0    700.0     -1.0        2
H03   LMC    H88-52   8.95   0.09   9.2    0.1    2167.70       -1    400.0    200.0     -1.0        1
H03   LMC   NGC1865   8.77   0.09   8.8   0.06   12589.25       -1   6000.0   2000.0     -1.0        0
H03   LMC   NGC2108   8.97   0.09   9.0   0.05   15995.58       -1   6000.0   1000.0     -1.0        0
H03   LMC   H88-265   7.69   0.54   8.3    0.9     432.51       -1    800.0    200.0     -1.0        0
H03   LMC   NGC1793   7.18   0.15   8.3    0.8     765.60       -1    600.0    300.0     -1.0        0
H03   LMC     HS390   7.20   0.15   8.0    0.2      90.36       -1    600.0    200.0     -1.0        1
H03   LMC   NGC1839   7.21   0.15   8.3    0.5    1106.62       -1   3400.0    500.0     -1.0        0
H03   LMC     SL154   8.56   0.09   8.9   0.07    1458.81       -1   1000.0    200.0     -1.0        0
H03   LMC    H88-40   8.96   0.09  8.95   0.06    1976.97       -1   1000.0    300.0     -1.0        0
H03   SMC       L34   8.26   0.15  8.45   0.06   11694.99       -1   4200.0    900.0     -1.0        0
H03   SMC       L30   7.60   0.24   8.0    1.0    3280.95       -1    800.0    300.0     -1.0        0
H03   LMC     SL397   7.30   0.15   8.0    0.6    1322.72      368   2200.0    300.0     -1.0        0
H03   LMC   NGC1751   9.48   0.09   9.1   0.05   97274.72       -1   9000.0   1000.0     -1.0        0
H03   SMC       K38   8.84   0.12  9.65   0.09   26302.68       -1   7000.0   1000.0     -1.0        0
H03   LMC     SL290   8.06   0.54  8.95   0.08    1215.26      491   1200.0    300.0     -1.0        0
H03   LMC     SL151   9.42   0.09  9.15   0.06   15182.83     1371   1600.0    500.0     -1.0        0
H03   LMC     SL132   9.00   0.09   9.1    0.8    2128.14       -1   2800.0    300.0     -1.0        0
H03   LMC      SL96   8.95   0.09  9.15   0.05    2147.83       -1   2000.0    500.0     -1.0        0
H03   LMC     SL162   9.00   0.09  9.15   0.07    3133.29       -1   3400.0    500.0     -1.0        0
H03   LMC   NGC1863   7.76   0.54   8.0    0.9    8016.78       -1   2000.0   1000.0     -1.0        0
H03   LMC  KMHK1055   8.92   0.09   9.0    1.0    2208.00       -1   4000.0   1000.0     -1.0        1
H03   LMC     SL588   8.66   0.12   8.8    0.4    3539.71      629   1600.0    700.0     -1.0        0
H03   LMC   BSDL341   7.28   0.15   8.4    0.1     104.71       -1   3400.0    500.0     -1.0        1
H03   LMC     HS247   7.94   0.15   8.8    0.2     394.46       -1    600.0    300.0     -1.0        0
H03   LMC   H88-269   8.39   0.09  8.85   0.05    1485.94       -1   3000.0   1000.0     -1.0        0
H03   LMC   H88-320   7.52   0.54   8.1    0.3     194.09       -1   1200.0    200.0     -1.0        1
H03   LMC     SL244   9.48   0.09  9.15   0.09   28575.91       -1   4000.0   1000.0     -1.0        0
H03   LMC   NGC1836   8.27   0.15   8.8    0.1    6668.07       -1   4000.0   2000.0     -1.0        0
H03   SMC       L72   7.72   0.24   7.8    0.3   19952.62       -1   3400.0    400.0     -1.0        0
H03   LMC   NGC1860   7.24   0.15   8.8   0.05     610.71      162   8400.0    600.0     -1.0        0
H03   LMC   H88-316   7.21   0.15   7.7    0.2     109.65       -1   5000.0   1000.0     -1.0        2
H03   LMC   KMHK378   6.88   0.15   8.3    0.9     334.20       -1    200.0    200.0     -1.0        0
H03   LMC   BSDL268   6.81   0.15   8.1    0.4     201.37       -1    800.0    300.0     -1.0        0
H03   LMC   NGC2093   7.00   0.13   8.0    0.4    1270.57       -1   1000.0    200.0     -1.0        0
H03   LMC   H88-245   8.93   0.09   8.7    0.2    1803.02       -1    400.0    200.0     -1.0        1
H03   LMC   H88-279   7.18   0.15   8.6    0.9     116.95       -1   1000.0    300.0     -1.0        0
H03   SMC       L91   9.11   0.12   9.6   0.06    9120.11       -1  18000.0   3000.0     -1.0        0
H03   SMC       L27   9.28   0.12  9.45   0.06   54954.09       -1  13000.0   4000.0     -1.0        0
H03   SMC    NGC419   9.31   0.12  8.95   0.05  398107.17       -1  28000.0   3000.0     -1.0        0
H03   LMC  KMHK1045   8.99   0.09   8.8    0.2     666.81       -1    200.0    200.0     -1.0        1
H03   LMC     SL551   7.20   0.15   7.9    0.5     224.91       -1    400.0    200.0     -1.0        0
H03   SMC       L35   7.57   0.24   6.9    0.7     787.05       -1    600.0    300.0     -1.0        0
H03   LMC     SL579   7.57   0.54   7.0    0.3    1028.02       -1    600.0    200.0     -1.0        0
H03   LMC     SL218   7.22   0.15  8.85   0.05     487.53       -1   1000.0    300.0     -1.0        0
R05   SMC    H86-70   9.72   0.64  8.75   0.06      -1.00       -1   3000.0   1000.0     -1.0     -1.0
R05   SMC       L63   7.40   0.77   8.2    0.9      -1.00       -1    400.0    200.0     -1.0     -1.0
R05   SMC       L62   9.32   0.92   8.1   0.05      -1.00       -1   1200.0    200.0     -1.0     -1.0
R05   SMC       L50   7.94   2.28   7.9    0.2      -1.00       -1    600.0    200.0     -1.0     -1.0
R05   SMC      HW40   9.74   0.64   9.6    0.2      -1.00       -1   3800.0    800.0     -1.0     -1.0
R05   SMC       B39   9.07   1.48   8.9    0.9      -1.00       -1   1400.0    200.0     -1.0     -1.0
R05   SMC      HW55   9.15   0.84   9.2    0.7      -1.00       -1   1000.0    400.0     -1.0     -1.0
R05   SMC       L19   9.85   0.79  9.45   0.08      -1.00       -1   9000.0   1000.0     -1.0     -1.0
R05   SMC      HW67   9.10   1.10   9.3    0.7      -1.00       -1   1600.0    400.0     -1.0     -1.0
R05   SMC       L49   7.63   0.68   7.4    0.2      -1.00       -1    600.0    200.0     -1.0     -1.0
R05   SMC      HW22   9.64   0.76  9.85   0.09      -1.00       -1   2000.0   2000.0     -1.0     -1.0
R05   SMC      HW63   9.41   1.29  9.55   0.06      -1.00       -1   3000.0   1000.0     -1.0     -1.0
R05   SMC       L34   8.61   1.10  8.45   0.06      -1.00       -1   4200.0    900.0     -1.0     -1.0
R05   SMC       L30   8.12   0.70   8.0    1.0      -1.00       -1    800.0    300.0     -1.0     -1.0
R05   SMC       L58   9.02   0.86  9.05   0.07      -1.00       -1   5000.0   1000.0     -1.0     -1.0
R05   SMC       L45   7.35   0.76   8.0    0.3      -1.00       -1   1400.0    300.0     -1.0     -1.0
R05   SMC       L28   9.34   1.04   8.9   0.07      -1.00       -1   4000.0    800.0     -1.0     -1.0
R05   SMC      HW31   9.27   0.99   9.5   0.05      -1.00       -1   5400.0    700.0     -1.0     -1.0
R05   SMC       L72   7.72   3.13   7.8    0.3      -1.00       -1   3400.0    400.0     -1.0     -1.0
R05   SMC       L91   9.58   0.80   9.6   0.06      -1.00       -1  18000.0   3000.0     -1.0     -1.0
R05   SMC       L27   9.75   0.67  9.45   0.06      -1.00       -1  13000.0   4000.0     -1.0     -1.0
R05   SMC      HW41   9.55   0.87   9.6    0.2      -1.00       -1  13000.0   6000.0     -1.0     -1.0
R05   SMC      HW47   9.91   0.68   9.2    0.1      -1.00       -1   1400.0    700.0     -1.0     -1.0
R05   SMC       L35   7.85   1.24   6.9    0.7      -1.00       -1    600.0    300.0     -1.0     -1.0
C06   SMC       B47   8.40   0.50   8.9    0.8      -1.00       -1   1200.0    300.0     0.08        C
C06   SMC    H86-70   8.80   0.30  8.75   0.06      -1.00       -1   3000.0   1000.0      0.0        C
