#
# Combined Table 1 & 2 using the GALEV z=0.004 model.
#
# Age: Uncorrected age
# Agec: Extinction corrected age
#
#   http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/AJ/129/2701/table1
#   http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/AJ/129/2701/table2
#
#Seq  RAJ2000       DEJ2000      Vmag   e      U-B    e      B-V    e      V-I    e      Model  Z      Seq    Age    e      E      Agec  e    E     Contam
#     h:m:s         d:m:s        mag    mag    mag    mag    mag    mag    mag    mag                         Myr    Myr    Myr    Myr   Myr  Myr
1     0 24 18.67   -73 59 35.8   15.92  1.17   0.75   0.24   0.72   0.14   0.92   0.07   GALEV  0.004  1      1264   1104   2352   1264  976  2420
2     0 24 43.16   -73 45 11.7   99.99  99.99  99.99  99.99  99.99  99.99  99.99  99.99  GALEV  0.004  2      99999  99999  99999  99999 9999 99999
3     0 25 26.6    -74 4  29.7   14.23  99.99  0.57   99.99  0.65   99.99  1.1    99.99  GALEV  0.004  3      2520   1368   8080   2148  1160 11500
4     0 27 45.17   -72 46 52.5   13.95  0.38   0.03   0.09   0.8    0.04   1.2    0.05   GALEV  0.004  4      6280   5140   7640   5940  3040 7500
5     0 28 2.14    -73 18 13.6   14.85  1.17   0.28   0.05   0.61   0.05   1      0.4    GALEV  0.004  5      2080   1232   2920   1264  1136 2220  X
6     0 29 55.22   -73 41 57.1   14.31  1.12   -0.05  0.48   0.65   0.06   0.37   0.32   GALEV  0.004  6      2288   1264   4000   1996  1148 3760
7     0 30 0.26    -73 22 40.7   13.84  99.99  0.54   99.99  1.08   99.99  1.32   99.99  GALEV  0.004  7      12020  7480   14000  12020 5500 14000 X
8     0 31 1.34    -72 20 30     14.64  0.28   0      0.04   0.8    0.07   1.2    0.12   GALEV  0.004  8      924    724    1144   316   292  532
9     0 32 41.02   -72 34 50.1   14.66  0.35   0.26   0.18   0.87   0.05   0.9    0.05   GALEV  0.004  9      4060   2660   6600   2740  1996 6360
10    0 32 56.26   -73 6  56.6   12.26  0.2    0.32   0.04   0.79   0.03   1.13   0.04   GALEV  0.004  10     6360   4940   9780   5940  3060 7460
11    0 33 47.92   -73 37 58.3   13.83  0.49   -0.13  0.08   0.26   0.15   0.46   0.33   GALEV  0.004  11     424    156    652    108   48   424
12    0 35 41.7    -73 35 51.4   13.35  0.57   0.14   0.24   0.78   0.06   0.9    0.04   GALEV  0.004  12     1264   1216   1416   1264  1160 1436
13    0 35 58.68   -73 9  56.5   13.01  0.05   -0.3   0.03   0.05   0.03   -0.08  0.04   GALEV  0.004  13     104    88     120    80    64   88    X
14    0 36 25.49   -73 0  9      17.03  14.88  0      0.72   0.67   0.08   0.68   0.55   GALEV  0.004  14     2620   1292   6720   2288  1128 7000  X
15    0 36 30.99   -72 59 10.8   15.24  99.99  0.01   99.99  0.73   99.99  0.84   99.99  GALEV  0.004  15     1264   1024   7880   1216  716  7800
16    0 36 26.62   -72 28 43.7   13.89  0.6    0.12   0.29   0.81   0.07   0.88   0.09   GALEV  0.004  16     4060   1972   6760   2540  1716 6560  X
17    0 37 16.21   -72 57 49     15.74  99.99  -0.35  99.99  0.11   99.99  0.46   99.99  GALEV  0.004  17     104    28     120    76    8    120   X
18    0 37 31.74   -73 36 49.3   14.31  1.59   0.14   0.05   0.36   0.07   0.38   0.08   GALEV  0.004  18     788    680    920    400   100  688
19    0 37 41.78   -73 54 19.7   13.18  99.99  -1.08  99.99  1.6    99.99  1.01   99.99  GALEV  0.004  19     12660  6280   14000  12660 5820 14000
20    0 38 26.81   -73 51 8.2    15.84  0.63   3.55   1.18   1.1    0.42   -1.66  0.79   GALEV  0.004  20     4      0      12600  4     0    14000
21    0 38 34.97   -73 48 21.7   14.37  0.2    -0.4   0.06   0.13   0.06   0.58   0.11   GALEV  0.004  21     52     44     112    36    28   80    X
22    0 40 12.67   -72 41 54.9   13.96  0.63   0.11   0.15   0.46   0.07   0.62   0.06   GALEV  0.004  22     716    400    976    108   32   112
23    0 40 14.82   -73 52 10.5   13.72  0.7    0.46   0.1    0.68   0.04   0.89   0.05   GALEV  0.004  23     2080   1820   2600   1996  1228 2540  X
24    0 40 33.39   -72 44 24.2   15.42  0.7    0.26   0.33   0.59   0.03   0.65   0.04   GALEV  0.004  24     1216   1168   1292   1176  1064 1288
25    0 40 42.11   -73 23 0.8    12.64  0.47   -0.21  0.11   0.2    0.03   0.33   0.07   GALEV  0.004  25     100    92     150    92    56   100   X
26    0 40 48.38   -74 1  19.8   13.48  1.24   0.15   0.25   0.53   0.15   0.68   0.14   GALEV  0.004  26     952    140    14000  604   28   14000 X
27    0 40 55.96   -73 24 10.1   14.39  0.58   -0.37  0.04   0.22   0.08   -0.1   1.94   GALEV  0.004  27     100    52     120    44    28   80    X
28    0 41 2.04    -72 34 25.1   13.21  0.38   0.02   0.04   0.5    0.04   0.62   0.05   GALEV  0.004  28     836    704    952    400   380  484
29    0 41 7.24    -73 20 58.4   12.87  0.48   -0.13  0.1    0.27   0.11   0.25   0.3    GALEV  0.004  29     400    160    676    100   44   272   X
30    0 41 20.58   -72 58 50.9   14.41  99.99  1.01   99.99  0.6    99.99  0.66   99.99  GALEV  0.004  30     2148   1476   4920   1976  1272 5840
31    0 41 23.83   -72 53 32     12.44  99.99  0.09   99.99  0.84   99.99  0.95   99.99  GALEV  0.004  31     6280   2300   14000  6280  1152 14000
32    0 42 37.22   -73 43 52.5   14.39  0.36   -0.62  0.12   -0.01  0.05   -0.03  1.2    GALEV  0.004  32     20     8      28     16    8    24    X
33    0 42 38.01   -72 27 26.2   14.02  0.31   0.23   0.25   0.79   0.13   0.72   0.08   GALEV  0.004  33     6280   1856   14000  5820  1164 14000 X
34    0 42 59.87   -72 35 21     13.69  0.57   0.02   0.03   0.59   0.04   0.72   0.06   GALEV  0.004  34     924    824    1080   492   396  564
35    0 43 0.77    -73 10 1.3    12.1   1.18   0.2    0.06   0.31   0.04   0.28   0.11   GALEV  0.004  35     1080   868    1328   968   724  1240  X
36    0 43 33.84   -73 26 31.3   11.95  0.76   -0.18  0.05   0.33   0.06   0.63   0.06   GALEV  0.004  36     300    136    496    112   52   260   X
37    0 43 42.26   -72 58 40.7   15.29  0.47   0.34   0.29   0.89   0.24   0.95   0.23   GALEV  0.004  37     4060   1076   14000  2700  776  14000
38    0 44 29.09   -72 48 57     17.06  0.19   0.09   99.99  0.44   99.99  0.36   99.99  GALEV  0.004  38     836    488    1208   400   48   952
39    0 44 47.97   -74 21 47     14.97  99.99  -0.02  99.99  0.77   99.99  0.78   99.99  GALEV  0.004  39     5820   1060   10140  1216  748  10280
40    0 45 10.64   -73 13 17.6   13.44  0.33   -0.15  0.04   0.34   0.03   0.33   0.11   GALEV  0.004  40     448    388    540    100   96   108   X
41    0 45 26.29   -73 42 12     14.23  0.35   0      0.05   0.68   0.18   0.82   0.22   GALEV  0.004  41     684    536    824    376   140  564   X
42    0 45 28.06   -73 28 50.7   14.13  1.08   0.37   0.75   0.47   0.17   0.8    0.14   GALEV  0.004  42     1016   240    1808   932   112  2152
43    0 45 39.54   -72 51 43.2   14.51  0.19   -0.22  99.99  0.33   99.99  0.19   99.99  GALEV  0.004  43     100    48     456    100   28   116
44    0 45 54.11   -73 30 23.9   12.5   0.32   -0.08  0.05   0.25   0.04   0.48   0.1    GALEV  0.004  44     444    372    648    104   92   112
45    0 45 58.18   -72 35 53.1   16.97  0.85   0.09   0.38   0.12   2.75   6.07   2.44   GALEV  0.004  45     796    32     14000  496   4    14000 X
46    0 46 4.95    -73 16 38.8   13     0.97   -0.26  0.04   0.49   0.07   0.4    0.2    GALEV  0.004  46     280    220    424    52    44   108
47    0 46 34.71   -72 44 25.2   13.76  0.8    0.25   0.25   0.74   0.05   1.27   0.14   GALEV  0.004  47     4860   2700   7400   3060  2048 7020  X
48    0 46 35.54   -72 46 11.6   14.39  99.99  0.51   99.99  0.58   99.99  0.52   99.99  GALEV  0.004  48     1604   1104   2880   1288  952  3040
49    0 46 45.17   -72 3  45.9   14.6   0.13   0.38   0.06   0.82   0.04   1.12   0.03   GALEV  0.004  49     5500   3060   6900   4060  2660 6480
50    0 47 11.43   -73 28 40.5   12.17  0.66   -0.02  0.05   0.35   0.06   0.7    0.21   GALEV  0.004  50     664    500    780    396   140  500   X
51    0 47 25.55   -72 50 37.5   13.97  0.51   -0.3   0.04   0.25   0.07   0.33   0.04   GALEV  0.004  51     100    88     150    80    68   92
52    0 47 26.57   -72 28 45.3   14.17  0.41   0.03   0.05   0.83   0.05   0.79   0.07   GALEV  0.004  52     6160   3600   6600   1264  1132 1360
53    0 47 53.42   -73 13 14.1   12.71  99.99  0.56   99.99  0.47   99.99  0.52   99.99  GALEV  0.004  53     1596   1152   2760   1596  964  3040  X
54    0 48 2.85    -73 29 17.8   14     1.32   0.01   0.07   0.2    0.05   0.22   0.11   GALEV  0.004  54     400    100    680    100   76   104
55    0 48 14.58   -73 51 43.5   12.65  99.99  0.32   99.99  1.05   99.99  1.75   99.99  GALEV  0.004  55     1472   800    14000  1240  616  14000 X
56    0 48 22.25   -73 31 48.8   12.59  0.7    0.07   0.1    0.39   0.08   0.69   0.22   GALEV  0.004  56     880    620    1116   448   148  792
57    0 49 16.16   -73 22 18.6   12.53  0.17   0.09   0.19   0.31   0.06   0.23   0.05   GALEV  0.004  57     796    456    1036   272   100  756   X
58    0 49 18.22   -72 12 28.1   16.69  0.43   0.55   0.07   0.73   0.11   0.96   0.04   GALEV  0.004  58     1604   1364   2304   1464  1208 2292
59    0 50 20.54   -73 23 12.1   13.9   0.07   -0.17  0.04   0.2    0.03   0.3    0.04   GALEV  0.004  59     100    63     150    100   80   156
60    0 50 27.83   -73 12 24.9   15.07  0.59   -0.09  0.03   0.13   0.03   -0.19  0.05   GALEV  0.004  60     100    96     150    8     3    18    X
61    0 50 30.07   -72 57 3.6    12.59  99.99  -0.1   99.99  0.49   99.99  0.6    99.99  GALEV  0.004  61     492    108    912    136   28   728
62    0 50 32.38   -74 36 51.5   16.35  0.49   0.12   99.99  0.19   99.99  -0.43  99.99  GALEV  0.004  62     100    72     104    100   8    104
63    0 50 34.83   -72 39 2      14.08  0.63   -0.22  0.1    0.36   0.04   0.35   0.06   GALEV  0.004  63     100    96     150    100   88   156
64    0 50 37.54   -72 58 42.1   13.24  99.99  -0.01  99.99  0.5    99.99  0.73   99.99  GALEV  0.004  64     1040   464    1448   748   260  1460
65    0 50 41.4    -73 3  31.6   12.31  0.7    0.02   0.41   0.38   0.25   0.44   0.3    GALEV  0.004  65     864    48     5000   316   4    2780  X
66    0 50 43.13   -73 12 26.6   12.37  0.18   -0.09  0.06   0.43   0.09   0.69   0.12   GALEV  0.004  66     524    316    704    280   116  492   X
67    0 50 55.15   -72 43 37.5   11.87  0.86   -0.27  0.15   0.68   0.53   1.62   0.54   GALEV  0.004  67     128    32     620    84    4    540   X
68    0 51 12.33   -73 9  42.1   11.71  99.99  -0.19  99.99  0.39   99.99  0.62   99.99  GALEV  0.004  68     492    152    800    260   28   652   X
69    0 51 39.55   -71 59 56.6   10.42  0.2    0.42   0.09   0.14   0.09   0.38   0.04   GALEV  0.004  69     99999  99999  99999  99999 9999 99999 X
