#ID x   y   F555W   E_555   F555-F814   E_555-814
10143   3026.3  2624.15 14.388  0.057   1.061   0.073
17465   1145.82 3732.44 15.099  0.049   0   0.067
1781    3327.57 451.3   15.287  0.025   0.925   0.043
3707    1145.79 994.63  16.021  0.021   0.931   0.033
12930   1407.8  3034.07 16.053  0.035   0.344   0.048
1289    3714.65 305.17  16.131  0.044   0.3 0.06
14807   2726.63 3286.61 16.314  0.012   2.63    0.024
10030   2148.4  2604.85 16.57   0.009   2.539   0.025
14766   1539.74 3282.45 16.59   0.016   0.875   0.036
14032   2734.84 3179.6  16.702  0.008   1.906   0.024
14423   3009.79 3234.21 16.725  0.009   2.188   0.025
13471   2543.2  3103.97 16.737  0.01    2.455   0.026
4811    646.22  1300.73 16.745  0.015   -0.046  0.035
11656   772.4   2859.78 16.748  0.019   0.987   0.039
4202    2441.58 1136.62 16.755  0.009   1.432   0.026
7148    629.32  1935.18 16.774  0.018   1.921   0.032
15562   2036.2  3396.14 16.794  0.009   2.166   0.022
13517   1998.72 3110.64 16.804  0.009   2.411   0.022
9449    2137.07 2497.83 16.81   0.011   2.61    0.023
12498   2107.13 2976.24 16.87   0.01    2.689   0.026
9311    3314.76 2468.33 16.907  0.008   1.742   0.023
8306    239.24  2246.36 16.964  0.014   2.012   0.024
3097    1896.26 819.44  16.986  0.013   3.053   0.034
7271    2710.32 1967.01 16.992  0.013   0.782   0.036
1702    2931.67 426.51  17.011  0.015   -0.043  0.031
4868    2266.99 1314.8  17.023  0.015   -0.111  0.042
11221   2040.56 2794.55 17.047  0.014   1.875   0.03
13830   3189.89 3151.19 17.064  0.008   1.717   0.02
4464    1191.66 1211.83 17.106  0.01    1.989   0.023
2923    2864.07 768.47  17.144  0.019   -0.052  0.039
8582    1483.43 2312.05 17.167  0.011   0.239   0.031
13329   2389.36 3086.42 17.176  0.007   1.69    0.024
8716    2467.28 2342.22 17.209  0.011   2.279   0.033
15847   1738.54 3438.98 17.218  0.013   0.066   0.038
9765    2060.27 2560    17.261  0.012   1.679   0.024
9910    88.55   2585.61 17.284  0.023   0.057   0.038
17020   1776.32 3641.6  17.29   0.008   1.163   0.023
13344   2409.43 3089.18 17.292  0.013   1.624   0.029
10698   405.48  2717.9  17.326  0.012   1.875   0.029
6073    2238.92 1643.69 17.332  0.008   -0.046  0.022
963 2072.24 214.87  17.349  0.01    1.621   0.033
8669    911.52  2330.92 17.362  0.013   3.3 0.036
12991   2635.07 3041.89 17.374  0.015   3.339   0.033
6793    2485.02 1840.97 17.444  0.011   1.57    0.031
11560   436.89  2845.37 17.468  0.011   1.577   0.026
17588   3898.92 3755.47 17.489  0.011   0.907   0.029
61  1231.96 -92.42  17.501  0.026   -0.014  0.061
10381   1054.26 2664.36 17.539  0.019   0.176   0.026
14160   1710.46 3198.35 17.595  0.01    1.679   0.03
3513    2870.22 943.31  17.608  0.007   1.198   0.028
13404   301.59  3095.47 17.608  0.018   -0.045  0.028
