#ID	x	y	T1	e_T1	CT1	e_CT1
97404	5543.057	1748.817	22.71	0.062	0.796	0.2
97407	5543.165	1026.503	20.942	0.014	0.147	0.043
97408	5543.167	1484.913	21.769	0.022	0.353	0.032
235922	5543.229	2194.211	22.473	0.077	0.513	0.108
97409	5543.268	723.789	21.497	0.019	0.415	0.029
235924	5543.278	2954.694	23.926	0.155	1.081	0.333
97411	5543.291	1479.315	21.723	0.024	0.16	0.034
235925	5543.364	2528.536	20.237	0.02	0.052	0.026
235926	5543.38	2711.823	21.983	0.028	0.512	0.039
235927	5543.393	2170.335	21.514	0.017	0.479	0.025
235928	5543.56	3138.758	21.813	0.027	0.409	0.035
97413	5543.566	1687.373	22.487	0.036	0.764	0.058
97414	5543.606	982.847	21.27	0.043	0.548	0.055
97415	5543.623	1863.873	23.283	0.075	1.096	0.154
97416	5543.638	1294.032	23.018	0.08	0.948	0.126
235929	5543.683	2332.837	21.985	0.115	0.146	0.118
97417	5543.686	1312.357	22.197	0.039	0.494	0.059
97418	5543.753	837.078	22.822	0.057	1.461	0.136
235931	5543.829	2553.791	19.894	0.008	1.54	0.014
97419	5543.871	846.253	20.477	0.047	0.571	0.05
235934	5543.985	3016.089	21.23	0.019	0.627	0.053
235935	5543.986	2432.051	19.245	0.007	1.334	0.011
97422	5544.016	613.611	22.401	0.046	0.768	0.071
235936	5544.028	2133.21	21.611	0.025	0.043	0.031
235937	5544.037	2561.843	22.642	0.041	0.732	0.079
97424	5544.133	873.745	23.415	0.109	1.001	0.234
235938	5544.177	2907.633	22.154	0.044	0.88	0.133
235939	5544.259	2243.631	22.721	0.068	0.734	0.118
235943	5544.303	2619.686	22.565	0.046	0.487	0.066
97426	5544.377	1109.099	20.741	0.025	-0.259	0.035
235944	5544.405	2567.964	22.403	0.048	0.537	0.142
97427	5544.434	1978.249	22.298	0.079	0.366	0.091
97429	5544.468	1730.25	21.205	0.015	0.579	0.024
97431	5544.503	565.992	22.593	0.044	0.62	0.07
97432	5544.541	1585.891	19.538	0.098	0.826	0.1
97433	5544.571	1152.708	21.262	0.074	-0.003	0.075
97434	5544.598	807.932	23.447	0.116	1.205	0.355
235951	5544.686	2147.135	22.308	0.044	0.713	0.084
97436	5544.702	2007.027	20.868	0.023	0.394	0.027
97437	5544.746	1516.146	22.819	0.055	0.654	0.083
97438	5544.775	1358.353	21.334	0.038	0.443	0.041
97439	5544.803	1323.068	23.455	0.104	0.263	0.137
97441	5544.897	1991.595	21.672	0.05	0.276	0.057
235954	5544.923	2318.57	23.264	0.095	0.46	0.131
97442	5544.938	1945.663	23.032	0.077	0.454	0.097
97444	5544.966	1398.323	21.716	0.024	0.78	0.039
235956	5544.984	2837.161	21.762	0.032	0.174	0.04
235957	5545.005	2776.394	22.78	0.055	0.251	0.084
97445	5545.093	923.922	22.287	0.174	-0.135	0.176
97446	5545.147	953.798	21.541	0.024	0.319	0.032
235958	5545.15	3034.478	21.748	0.023	0.74	0.036
235960	5545.23	3199.644	23.702	0.125	1.541	0.337
97447	5545.26	869.003	20.111	0.009	1.473	0.017
235961	5545.277	2920.29	20.714	0.018	0.292	0.02
235962	5545.278	2482.705	22.069	0.041	0.495	0.069
97448	5545.343	1929.594	23.201	0.097	0.419	0.141
235963	5545.408	3005.852	22.766	0.049	0.412	0.077
97450	5545.423	1614.018	21.256	0.098	0.621	0.1
97452	5545.431	1654.01	20.868	0.045	0.619	0.047
235964	5545.527	2166.126	22.571	0.047	0.846	0.079
235965	5545.544	3062.958	21.548	0.021	0.519	0.032
235966	5545.547	2492.371	19.899	0.013	-0.26	0.015
235967	5545.562	2362.137	21.085	0.096	-0.572	0.097
235968	5545.629	2213.655	20.379	0.014	0.214	0.016
235971	5545.683	2291.566	21.73	0.025	0.57	0.032
235970	5545.683	2678.552	20.834	0.014	0.126	0.017
97456	5545.689	1168.584	22.217	0.052	0.933	0.069
97457	5545.706	1087.306	21.278	0.038	0.526	0.045
97458	5545.763	1140.951	22.417	0.068	0.783	0.114
235975	5545.801	2738.298	19.164	0.008	-0.368	0.009
97459	5545.824	1303.211	20.573	0.011	-0.027	0.014
97460	5545.868	1554.921	20.293	0.01	0.612	0.013
97461	5545.885	2070.88	21.508	0.027	0.244	0.037
97462	5545.946	1764.917	18.632	0.01	1.639	0.012
235976	5545.981	2294.359	22.744	0.099	1.605	0.389
97464	5546.025	1245.218	20.77	0.026	0.702	0.059
235977	5546.096	2877.886	18.598	0.012	-0.346	0.012
97465	5546.138	963.343	22.221	0.038	0.491	0.056
97467	5546.207	1021.832	19.113	0.007	-0.15	0.01
235979	5546.217	2390.812	21.347	0.022	0.077	0.03
235981	5546.292	2635.957	22.447	0.031	0.698	0.084
235982	5546.295	2496.357	22.062	0.048	0.491	0.115
97469	5546.341	2026.1	23.257	0.105	0.149	0.123
97470	5546.396	993.929	21.134	0.037	0.232	0.04
97471	5546.43	1339.115	22.694	0.108	0.294	0.119
97472	5546.433	730.191	21.624	0.025	0.551	0.033
235985	5546.516	2768.067	22.537	0.044	0.867	0.118
97473	5546.579	1788.346	21.672	0.036	0.083	0.042
235986	5546.638	2100.313	21.922	0.027	0.627	0.04
235989	5546.732	3151.676	19.459	0.01	-0.075	0.011
97475	5546.789	1005.739	22.055	0.046	0.356	0.069
97476	5546.83	1015.68	21.662	0.041	-0.048	0.059
235992	5546.851	3018.122	21.188	0.016	-0.053	0.021
235993	5546.863	2489.204	21.489	0.045	0.818	0.085
97478	5546.872	824.596	22.874	0.075	0.724	0.116
97479	5546.923	1429.16	22.051	0.045	0.128	0.056
97480	5546.949	1266.696	20.746	0.013	0.551	0.018
235995	5546.955	3028.514	22.264	0.041	0.727	0.055
97481	5546.977	587.359	20.558	0.014	0.127	0.017
235996	5547.083	2894.292	22.602	0.061	0.471	0.084
97482	5547.091	1314.01	21.227	0.018	0.4	0.052
235997	5547.148	2477.063	20.684	0.031	-0.041	0.032
235998	5547.15	2435.518	19.505	0.012	1.512	0.019
97484	5547.193	2012.723	20.411	0.011	0.288	0.013
97485	5547.207	1810.76	22.649	0.06	1.02	0.092
97486	5547.231	934.736	22.464	0.062	0.689	0.09
97487	5547.231	1935.024	23.12	0.081	0.654	0.118
97488	5547.232	1074.368	21.914	0.051	0.398	0.056
236001	5547.279	3116.993	23.226	0.138	0.901	0.3
236003	5547.343	2922.614	22.246	0.057	1.226	0.207
236004	5547.409	2252.328	21.179	0.024	0.432	0.027
236005	5547.43	2267.372	21.631	0.036	0.377	0.069
236006	5547.445	2445.345	22.205	0.034	0.586	0.05
236008	5547.528	2527.148	21.988	0.038	0.754	0.058
97491	5547.605	1630.188	22.429	0.048	0.488	0.064
97492	5547.624	1101.379	20.764	0.013	0.261	0.016
97493	5547.703	685.36	17.822	0.007	1.958	0.009
236012	5547.743	2935.886	21.526	0.239	-0.062	0.24
97495	5547.771	1751.72	22.271	0.038	0.606	0.362
236014	5547.783	2569.351	23.469	0.114	0.089	0.14
97496	5547.793	626.237	22.122	0.053	0.647	0.081
236015	5547.8	2650.183	23.23	0.082	0.259	0.118
97497	5547.84	1500.473	22.034	0.056	1.631	0.142
236017	5547.847	2640.651	22.876	0.066	0.704	0.111
97499	5547.964	773.167	22.736	0.059	0.502	0.081
236019	5548.109	2782.562	22.59	0.043	0.54	0.071
97501	5548.115	657.876	21.155	0.017	-0.013	0.02
97502	5548.123	1637.704	22.563	0.044	0.529	0.066
97503	5548.176	1148.582	21.742	0.049	0.828	0.065
236021	5548.213	2903.276	21.163	0.013	0.387	0.018
97504	5548.234	1214.118	21.681	0.03	0.657	0.057
236023	5548.344	2972.749	23.068	0.072	1.19	0.129
97505	5548.446	1542.118	20.78	0.013	1.118	0.026
97506	5548.448	1178.719	21.189	0.022	0.88	0.068
97507	5548.472	1496.726	22.466	0.071	0.75	0.132
97508	5548.481	854.522	21.213	0.035	0.433	0.045
97510	5548.52	1111.376	20.199	0.01	0.314	0.017
236028	5548.537	3103.86	18.334	0.003	-0.317	0.004
236029	5548.541	2262.52	21.779	0.083	0.472	0.211
236030	5548.575	3196.889	22.506	0.038	0.779	0.288
97511	5548.581	858.786	20.459	0.011	1.25	0.026
97512	5548.642	1463.978	21.068	0.017	1.278	0.043
236031	5548.656	2370.593	22.195	0.037	0.553	0.049
97513	5548.667	1510.02	23.299	0.089	0.716	0.285
97514	5548.732	908.017	22.183	0.038	0.616	0.054
236033	5548.749	3172.869	22.991	0.07	0.526	0.099
236034	5548.804	2304.423	18.944	0.019	1.3	0.02
236035	5548.857	2585.341	22.911	0.068	-4.602	0.093
97517	5548.9	1163.919	22.416	0.043	0.519	0.071
97519	5549.062	1107.024	21.659	0.038	0.837	0.086
236038	5549.087	2759.197	20.959	0.009	0.643	0.017
236040	5549.161	2730.875	22.683	0.053	0.658	0.095
97522	5549.199	1623.94	22.733	0.078	0.081	0.092
97523	5549.216	1781.378	22.006	0.027	0.539	0.038
97524	5549.299	1115.184	21.44	0.027	0.06	0.033
236042	5549.304	2079.105	21.257	0.02	0.477	0.033
97525	5549.319	1137.794	20.873	0.036	0.264	0.043
97526	5549.381	1247.39	20.04	0.035	-0.307	0.038
236044	5549.428	2337.65	22.122	0.027	0.501	0.041
236045	5549.561	2230.441	21.653	0.025	0.169	0.032
97527	5549.589	1410.416	21.199	0.015	0.017	0.019
97528	5549.605	619.05	22.351	0.073	0.506	0.09
97529	5549.753	594.878	22.803	0.098	0.434	0.114
236047	5549.77	2933.362	20.793	0.021	1.323	0.062
236048	5549.799	2910.979	22.146	0.041	0.564	0.056
236050	5549.839	2603.79	23.098	0.069	0.437	0.105
97532	5549.875	654.527	22.489	0.069	1.306	0.139
236052	5549.934	3159.277	21.186	0.014	1.331	0.048
97534	5549.943	1141.395	22.073	0.073	0.766	0.098
97536	5550.002	1892.189	21.055	0.016	0.182	0.02
236053	5550.029	2621.44	22.946	0.065	0.611	0.09
97537	5550.037	1007.898	22.267	0.075	0.128	0.09
97539	5550.09	1159.46	22.193	0.036	0.528	0.061
236055	5550.115	2272.366	21.113	0.03	0.304	0.034
236056	5550.191	2842.47	19.171	0.006	1.226	0.008
97540	5550.206	955.012	20.209	0.01	1.428	0.021
236058	5550.274	2574.859	22.113	0.057	0.929	0.073
236059	5550.292	2919.084	22.826	0.083	0.549	0.111
236061	5550.388	2561.928	22.349	0.034	0.517	0.056
97543	5550.397	887.83	22.996	0.073	0.518	0.112
97544	5550.416	1080.622	21.76	0.023	0.501	0.035
97546	5550.466	1760.048	21.962	0.045	0.969	0.067
