#ID	x	y	F555	E_555	F555-F814	e_ff-14	F814	E_814	x_moved	y_moved
41273	99.17	3955.73	26.147	0.147	1.391	0.211	24.756	0.064	400.17	4955.73
38223	99.21	3070.21	23.988	0.025	0.706	0.051	23.282	0.026	400.21	4070.21
37932	99.22	2996.91	23.464	0.018	0.633	0.034	22.831	0.016	400.22	3996.91
3105	99.26	968.59	24.521	0.036	0.758	0.063	23.763	0.027	400.26	1968.59
5986	99.27	1608.72	22.819	0.014	0.541	0.026	22.278	0.012	400.27	2608.72
492	99.38	102.36	24.014	0.025	0.713	0.044	23.301	0.019	400.38	1102.36
28463	99.39	227.76	26.116	0.195	1.129	0.323	24.987	0.128	400.39	1227.76
34273	99.5	2040.93	25.912	0.139	0.957	0.211	24.955	0.072	400.5	3040.93
33705	99.56	1918.76	25.565	0.088	0.976	0.175	24.589	0.087	400.56	2918.76
39893	99.61	3515.01	25.777	0.125	0.925	0.196	24.852	0.071	400.61	4515.01
35769	99.83	2437.76	24.544	0.063	0.959	0.148	23.585	0.085	400.83	3437.76
8328	100.03	1941.27	24.396	0.042	0.805	0.072	23.591	0.03	401.03	2941.27
7216	100.21	1801.19	23.86	0.024	0.726	0.044	23.134	0.02	401.21	2801.19
42364	100.23	4199.71	21.763	0.011	0.493	0.021	21.27	0.01	401.23	5199.71
40280	100.51	3637.54	24.697	0.045	0.83	0.075	23.867	0.03	401.51	4637.54
2272	100.56	717.07	23.741	0.026	0.68	0.043	23.061	0.017	401.56	1717.07
40594	100.86	3735.44	22.61	0.062	0.627	0.186	21.983	0.124	401.86	4735.44
35268	100.88	2298.96	25.465	0.084	0.871	0.138	24.594	0.054	401.88	3298.96
38251	101.09	3076.35	24.098	0.056	0.787	0.114	23.311	0.058	402.09	4076.35
39229	101.17	3323.36	22.047	0.011	0.494	0.021	21.553	0.01	402.17	4323.36
16221	101.59	2675.84	23.921	0.037	0.88	0.061	23.041	0.024	402.59	3675.84
7839	101.61	1884.46	21.668	0.01	0.38	0.02	21.288	0.01	402.61	2884.46
40941	101.62	3843.79	24.344	0.047	0.898	0.116	23.446	0.069	402.62	4843.79
34715	102.49	2155.36	26.254	0.186	1.046	0.335	25.208	0.149	403.49	3155.36
38148	102.56	3049.64	23.027	0.014	0.548	0.027	22.479	0.013	403.56	4049.64
30794	102.68	1083.89	24.856	0.052	0.824	0.091	24.032	0.039	403.68	2083.89
38994	102.73	3262.78	22.205	0.012	0.404	0.022	21.801	0.01	403.73	4262.78
4065	102.89	1218.24	21.796	0.01	0.645	0.02	21.151	0.01	403.89	2218.24
39842	102.97	3500.77	25.129	0.056	0.93	0.096	24.199	0.04	403.97	4500.77
32629	103.6	1643.25	25.966	0.132	1.155	0.258	24.811	0.126	404.6	2643.25
29291	103.76	556.87	26.442	0.377	1.245	0.467	25.197	0.09	404.76	1556.87
8421	103.81	1952.34	20.863	0.01	0.309	0.023	20.554	0.013	404.81	2952.34
3936	103.86	1186.42	24.648	0.08	1.17	0.437	23.478	0.357	404.86	2186.42
18163	103.87	2852.87	24.261	0.034	0.729	0.06	23.532	0.026	404.87	3852.87
7379	104.02	1822.89	23.849	0.022	0.623	0.041	23.226	0.019	405.02	2822.89
41015	104.04	3870.04	23.678	0.036	0.703	0.056	22.975	0.02	405.04	4870.04
32860	104.13	1700.13	25.089	0.068	0.968	0.101	24.121	0.033	405.13	2700.13
40413	104.89	3674.52	24.577	0.033	0.809	0.061	23.768	0.028	405.89	4674.52
35074	104.98	2248.11	25.407	0.147	1.065	0.35	24.342	0.203	405.98	3248.11
33010	105.04	1738.62	26.487	0.203	1.248	0.287	25.239	0.084	406.04	2738.62
15870	105.2	2644.15	21.37	0.01	0.325	0.02	21.045	0.01	406.2	3644.15
15551	105.23	2616.4	18.501	0.008	-0.041	0.016	18.542	0.008	406.23	3616.4
12637	105.3	2365.31	21.703	0.01	0.29	0.02	21.413	0.01	406.3	3365.31
33603	105.33	1894.05	26.195	0.26	1.055	0.359	25.14	0.099	406.33	2894.05
16353	105.35	2687.81	24.154	0.041	0.887	0.125	23.267	0.084	406.35	3687.81
29521	105.36	639.78	25.936	0.157	1.001	0.224	24.935	0.067	406.36	1639.78
41187	105.36	3924.17	23.799	0.028	0.679	0.046	23.12	0.018	406.36	4924.17
39071	105.43	3285.48	20.457	0.011	0.295	0.022	20.162	0.011	406.43	4285.48
15212	105.44	2587.76	23.969	0.028	0.662	0.052	23.307	0.024	406.44	3587.76
39744	105.44	3466.18	23.449	0.022	0.622	0.037	22.827	0.015	406.44	4466.18
38254	105.62	3077.1	23.494	0.03	0.657	0.061	22.837	0.031	406.62	4077.1
40738	105.66	3776.82	24.049	0.027	0.737	0.046	23.312	0.019	406.66	4776.82
32596	105.75	1632.51	25.531	0.102	1.002	0.153	24.529	0.051	406.75	2632.51
4244	105.82	1261.23	23.557	0.018	0.657	0.035	22.9	0.017	406.82	2261.23
38397	105.94	3107.8	24.663	0.041	0.746	0.074	23.917	0.033	406.94	4107.8
38340	106.04	3095.89	25.845	0.137	0.919	0.214	24.926	0.077	407.04	4095.89
5197	106.93	1472.5	24.15	0.035	0.767	0.068	23.383	0.033	407.93	2472.5
2339	107.06	741.13	24.965	0.066	0.844	0.11	24.121	0.044	408.06	1741.13
31350	107.32	1268.75	25.991	0.145	1.063	0.237	24.928	0.092	408.32	2268.75
1205	107.44	366.44	22.191	0.01	0.467	0.021	21.724	0.011	408.44	1366.44
16282	107.84	2681.24	25.124	0.09	0.919	0.15	24.205	0.06	408.84	3681.24
6853	108.1	1747.15	23.773	0.021	0.657	0.039	23.116	0.018	409.1	2747.15
4381	108.2	1291.8	23.967	0.035	0.748	0.054	23.219	0.019	409.2	2291.8
29117	108.54	485.64	25.137	0.067	0.922	0.114	24.215	0.047	409.54	1485.64
33674	108.55	1911.74	25.861	0.169	1.021	0.257	24.84	0.088	409.55	2911.74
41234	108.72	3938.32	24.046	0.023	0.753	0.052	23.293	0.029	409.72	4938.32
1353	108.73	414.13	23.692	0.026	0.689	0.047	23.003	0.021	409.73	1414.13
17850	108.92	2822.76	22.94	0.015	0.622	0.029	22.318	0.014	409.92	3822.76
36274	108.93	2565.78	26.347	0.314	0.924	0.408	25.423	0.094	409.93	3565.78
34562	109.04	2113.83	25.252	0.067	0.906	0.114	24.346	0.047	410.04	3113.83
3409	109.12	1051	23.95	0.024	0.703	0.045	23.247	0.021	410.12	2051
39707	109.19	3456.86	23.31	0.015	0.617	0.032	22.693	0.017	410.19	4456.86
39297	109.34	3340.15	26.069	0.108	0.927	0.223	25.142	0.115	410.34	4340.15
1279	109.45	391.04	23.352	0.017	0.684	0.032	22.668	0.015	410.45	1391.04
37468	109.49	2880.59	25.073	0.165	0.858	0.294	24.215	0.129	410.49	3880.59
30409	109.59	962.53	25.518	0.09	0.93	0.141	24.588	0.051	410.59	1962.53
