#ID x   y   T1  e_T1    CT1 e_CT1
275968  7882.737    3174.976    15.48   0.061   -0.02   0.062
250624  6443.479    2191.199    15.505  0.013   -0.187  0.076
97838   5565.349    624.238 15.545  0.014   1.047   0.015
99141   5628.983    711.805 15.622  0.036   0.493   0.037
270093  7542.913    2114.244    15.64   0.035   2.096   0.035
272416  7680.035    2617.319    15.691  0.032   0.61    0.035
252175  6532.642    2497.888    15.699  0.014   0.681   0.021
132243  7215.904    1927.501    15.707  0.034   3.175   0.036
255599  6730.232    2606.586    15.711  0.014   1.037   0.025
133211  7262.34 1253.415    15.716  0.017   1.749   0.017
273747  7756.562    2550.617    15.725  0.009   3.979   0.01
243761  6028.828    2545.311    15.735  0.016   1.556   0.017
143249  7767.391    1698.687    15.737  0.011   2.29    0.012
100930  5716.424    1583.234    15.742  0.016   0.512   0.019
248075  6294.347    2284.049    15.77   0.081   3.42    0.081
137523  7479.352    2013.663    15.773  0.013   1.931   0.013
100951  5717.413    1304.325    15.778  0.015   0.399   0.019
239773  5760.955    2431.258    15.784  0.032   0.55    0.034
267840  7411.25 3145.676    15.785  0.023   1.704   0.023
101954  5766.364    1702.256    15.786  0.017   1.325   0.018
136884  7446.713    1468.41 15.797  0.02    1.027   0.02
105427  5940.289    740.358 15.817  0.013   2.019   0.014
136841  7444.358    566.83  15.824  0.015   -0.726  0.05
138966  7551.001    655.99  15.829  0.03    -0.558  0.038
126495  6960.059    1125.534    15.841  0.023   0.645   0.024
135358  7368.249    1602.009    15.845  0.012   3.236   0.016
267548  7394.885    2587.564    15.845  0.007   1.18    0.007
128577  7052.608    873.519 15.856  0.025   1.205   0.025
255042  6700.039    2907.659    15.862  0.043   0.571   0.056
263013  7139.905    3133.209    15.867  0.049   1.768   0.049
115082  6434.107    1667.849    15.913  0.037   2.211   0.038
140550  7630.644    954.46  15.918  0.012   0.434   0.024
108060  6078.901    1199.124    15.928  0.022   3.258   0.023
266404  7330.145    2273.757    15.942  0.008   0.614   0.017
149212  8075.307    1268.203    15.946  0.016   1.481   0.016
279726  8104.503    2315.956    15.952  0.014   1.026   0.015
124302  6863.969    2017.209    15.957  0.033   2.682   0.041
112665  6310.904    1861.459    15.959  0.086   3.054   0.086
125165  6898.153    2073.753    15.965  0.033   2.83    0.038
124029  6850.918    1863.732    15.973  0.032   4.526   0.236
146650  7941.838    1491.995    15.978  0.016   1.832   0.016
145607  7888.045    1508.223    15.981  0.016   1.18    0.016
258258  6881.588    2816.187    15.99   0.029   3.177   0.029
132181  7213.284    2055.229    15.991  0.03    1.366   0.03
149250  8077.458    1240.299    16.011  0.019   0.187   0.041
265605  7286.392    2752.54 16.031  0.007   1.317   0.007
100113  5676.484    1829.556    16.032  0.016   3.064   0.017
139100  7557.206    1309.446    16.033  0.031   1.371   0.031
112539  6304.034    2010.926    16.04   0.086   3.066   0.087
135572  7379.444    1027.219    16.04   0.036   2.989   0.038
266474  7333.86 2328.823    16.049  0.038   0.698   0.039
140012  7602.914    770.557 16.049  0.024   2.041   0.025
255730  6737.759    2558.528    16.053  0.044   0.516   0.049
102264  5782.59 753.422 16.057  0.011   3.097   0.012
267116  7370.886    2981.057    16.06   0.044   2.922   0.044
124439  6869.361    1746.429    16.062  0.051   2.509   0.052
128403  7045.52 1867.306    16.062  0.028   2.358   0.037
238666  5697.471    2865.686    16.068  0.021   2.735   0.022
245320  6124.673    2245.363    16.074  0.033   0.533   0.034
127539  7005.733    1298.408    16.079  0.014   1.097   0.014
125033  6893.012    1864.757    16.08   0.042   2.922   0.06
103001  5820.124    517.23  16.081  0.011   2.845   0.012
147818  8002.178    2074.326    16.091  0.009   2.036   0.009
249335  6367.196    2228.365    16.095  0.114   0.209   0.134
149963  8120.041    1306.417    16.101  0.017   0.227   0.025
125349  6906.519    1906.8  16.103  0.052   2.586   0.06
266504  7335.551    3199.437    16.103  0.026   2.924   0.026
140267  7616.161    993.485 16.103  0.035   2.749   0.035
139341  7568.884    1700.043    16.123  0.01    3.573   0.012
150611  8154.681    1798.565    16.125  0.021   -0.416  0.024
132328  7220.029    686.787 16.126  0.018   1.742   0.018
136433  7422.652    1458.841    16.132  0.016   -0.476  0.018
107615  6057.588    1444.384    16.133  0.057   3.123   0.057
115467  6453.838    1964.436    16.136  0.041   3.013   0.041
262392  7107.271    2744.741    16.139  0.006   3.603   0.008
272890  7708.498    2526.942    16.145  0.034   0.173   0.034
128335  7042.462    1778.852    16.146  0.017   2.846   0.018
109745  6160.066    1183.96 16.147  0.016   3.153   0.017
146919  7955.387    1314.788    16.152  0.043   1.911   0.043
127000  6983.361    1801.489    16.157  0.041   2.705   0.044
121041  6722.466    1993.162    16.158  0.024   3.104   0.025
128455  7047.443    1791.188    16.159  0.037   2.535   0.037
276266  7900.893    2682.694    16.163  0.029   3.067   0.029
136652  7435.053    1484.785    16.165  0.009   2.989   0.01
148403  8034.212    1223.406    16.171  0.023   0.236   0.026
145623  7888.535    880.227 16.176  0.031   -0.454  0.034
130344  7129.491    1990.929    16.181  0.009   4.439   0.018
131874  7198.2  641.762 16.181  0.02    2.778   0.021
110546  6197.913    1813.886    16.182  0.032   2.908   0.033
151412  8192.557    674.393 16.182  0.037   2.748   0.039
129066  7073.654    1685.089    16.185  0.01    2.841   0.012
127915  7024.082    2041.722    16.188  0.047   2.962   0.05
272607  7691.728    2448.944    16.188  0.021   2.939   0.021
261146  7038.721    3149.444    16.192  0.009   2.181   0.011
134928  7347.335    1580.362    16.193  0.026   0.629   0.026
107402  6048.263    1959.698    16.194  0.064   2.419   0.064
125953  6934.712    1808.123    16.195  0.008   4.228   0.028
138688  7537.086    1376.025    16.196  0.009   0.997   0.009
144319  7822.512    684.333 16.2    0.047   1.234   0.047
260700  7013.106    2480.461    16.206  0.021   1.765   0.021
127837  7019.699    545.147 16.208  0.012   2.473   0.013
120271  6688.227    1929.26 16.215  0.021   2.848   0.021
254485  6668.62 2856.793    16.217  0.009   2.114   0.009
99874   5664.283    1784.957    16.222  0.03    2.538   0.031
255337  6716.11 2091.046    16.225  0.023   2.875   0.024
269417  7502.801    2741.086    16.225  0.014   2.83    0.015
125557  6915.646    1379.491    16.228  0.014   1.727   0.015
138647  7535.083    1146.951    16.228  0.039   1.572   0.039
109392  6143    1657.698    16.233  0.035   0.254   0.036
258094  6873.359    2921.952    16.236  0.022   0.121   0.025
129116  7076.259    1724.104    16.239  0.013   1.494   0.014
148780  8052.918    1787.199    16.241  0.023   2.82    0.024
274685  7810.303    2135.858    16.243  0.004   1.12    0.005
130914  7153.181    1706.407    16.247  0.021   2.403   0.023
119488  6651.855    1378.672    16.248  0.045   2.876   0.047
132441  7225.623    1586.073    16.249  0.01    0.651   0.011
126032  6938.672    1748.037    16.253  0.022   2.804   0.026
280747  8162.598    2609.169    16.253  0.013   2.295   0.025
117056  6530.722    1050.62 16.259  0.039   3.072   0.039
129251  7082.267    801.379 16.264  0.018   3.142   0.06
116599  6508.268    1106.908    16.266  0.024   2.487   0.024
108746  6111.561    768.555 16.269  0.012   2.51    0.013
125687  6922.063    1763.945    16.271  0.006   2.812   0.01
108822  6115.28 715.176 16.272  0.017   2.473   0.018
271518  7626.919    2441.307    16.272  0.008   2.413   0.009
270236  7551.482    2167.203    16.273  0.005   2.452   0.007
135927  7396.938    1915.772    16.277  0.035   0.428   0.035
125771  6925.949    1997.531    16.283  0.057   2.799   0.062
252765  6566.35 2202.971    16.289  0.027   2.267   0.027
118238  6588.832    630.322 16.289  0.02    2.603   0.021
122069  6767.501    1069.461    16.292  0.03    1.032   0.03
145687  7891.44 1206.76 16.294  0.019   0.433   0.019
261446  7054.685    3198.904    16.296  0.011   3.06    0.014
123358  6823.206    746.594 16.305  0.053   -0.6    0.055
134922  7347.016    2053.226    16.307  0.015   2.78    0.015
150160  8130.754    909.518 16.308  0.048   2.314   0.048
239084  5721.277    2451.166    16.309  0.019   3.103   0.02
250543  6438.933    2605.558    16.315  0.034   2.847   0.035
279380  8083.448    2693.503    16.315  0.012   2.9 0.013
137285  7467.894    1177.281    16.318  0.03    2.672   0.03
273326  7733.415    3154.09 16.318  0.019   0.784   0.019
125540  6914.82 1053.117    16.324  0.022   2.849   0.023
128855  7064.723    1907.212    16.327  0.033   1.926   0.033
264823  7241.62 2278.504    16.336  0.007   1.494   0.008
245285  6122.566    2679.625    16.338  0.027   2.893   0.028
139457  7574.75 804.158 16.339  0.038   1.819   0.038
116465  6501.645    1203.076    16.34   0.014   2.775   0.015
125401  6908.744    1980.324    16.343  0.03    2.273   0.042
241264  5848.84 2312.437    16.345  0.041   -0.243  0.042
113948  6380.295    800.749 16.346  0.03    -0.614  0.032
245090  6108.911    2486.024    16.353  0.027   1.916   0.027
108117  6081.745    1657.859    16.354  0.032   0.288   0.033
259036  6922.61 2913.953    16.356  0.024   2.533   0.024
105773  5956.825    540.729 16.369  0.027   3.05    0.027
127651  7011.234    1953.518    16.369  0.028   2.456   0.043
129412  7089.312    1969.28 16.371  0.013   2.78    0.018
121470  6741.218    1930.923    16.372  0.006   2.83    0.007
274030  7773.315    2286.285    16.375  0.009   2.952   0.011
251972  6520.086    2994.812    16.377  0.04    1.691   0.04
146226  7919.113    1598.289    16.377  0.023   2.901   0.027
139289  7566.399    1156.373    16.383  0.023   2.483   0.023
237841  5652.006    2251.475    16.387  0.044   1.703   0.044
256330  6772.946    3036.86 16.392  0.074   0.972   0.08
134693  7335.834    896.854 16.403  0.051   2.696   0.051
254074  6645.896    2438.169    16.405  0.011   1.597   0.011
127163  6989.852    1167.964    16.406  0.024   2.474   0.025
125530  6914.223    1137.864    16.408  0.018   0.095   0.021
136805  7442.54 1062.064    16.409  0.016   -0.497  0.018
100712  5706.316    1165.648    16.411  0.011   2.802   0.013
110904  6215.058    1824.426    16.413  0.027   2.771   0.028
144629  7837.547    949.318 16.413  0.031   1.597   0.031
127142  6989.302    1456.187    16.416  0.018   -0.446  0.025
103012  5820.479    1398.394    16.418  0.014   0.363   0.015
127439  7001.256    2035.596    16.419  0.075   0.44    0.077
249525  6377.933    2674.021    16.42   0.119   1.877   0.119
127498  7004.05 2042.804    16.42   0.038   2.679   0.041
278862  8052.926    2131.045    16.431  0.008   2.468   0.009
237154  5612.854    3190.693    16.435  0.034   1.425   0.034
133792  7290.82 1259.688    16.436  0.037   1.966   0.037
120807  6711.791    1913.784    16.437  0.043   2.804   0.043
124467  6870.636    1938.63 16.437  0.072   2.347   0.075
128634  7054.818    1870.747    16.446  0.012   2.551   0.015
250415  6430.264    2535.905    16.448  0.013   2.855   0.014
151242  8185.021    1818.146    16.45   0.013   0.573   0.013
125368  6907.583    1928.108    16.454  0.069   2.585   0.086
125751  6925.049    1965.078    16.459  0.063   2.373   0.071
104291  5884.064    1593.038    16.46   0.018   1.618   0.019
261215  7042.303    2128.567    16.46   0.04    1.852   0.04
272147  7665.168    2977.371    16.463  0.028   2.901   0.029
121682  6750.081    688.729 16.467  0.018   1.89    0.02
128185  7035.903    1966.055    16.472  0.018   2.706   0.021
257027  6809.419    2378.6  16.473  0.029   0.965   0.029
272833  7705.237    3078.487    16.485  0.023   2.461   0.024
108190  6084.99 831.502 16.487  0.012   2.608   0.013
266278  7322.717    3014.307    16.487  0.051   2.896   0.051
144201  7817.241    1510.28 16.488  0.017   2.476   0.017
124776  6882.674    1896.873    16.49   0.08    2.148   0.082
125716  6923.313    1705.046    16.5    0.022   2.687   0.023
142818  7745.398    998.972 16.5    0.027   1.326   0.027
148146  8019.746    1085.349    16.504  0.011   -0.184  0.025
244340  6063.544    2985.068    16.508  0.027   2.67    0.028
147177  7969.868    739.495 16.508  0.028   2.289   0.029
278146  8012.325    2818.143    16.523  0.018   2.531   0.02
136418  7421.9  1074.346    16.526  0.01    0.155   0.013
122076  6767.897    1946.778    16.529  0.008   1.958   0.011
272322  7674.793    2601.194    16.531  0.027   1.96    0.027
280718  8160.591    2261.706    16.536  0.019   -0.236  0.028
128024  7028.769    2002.14 16.544  0.023   2.583   0.027
145309  7872.609    1077.406    16.553  0.021   2.241   0.022
125832  6929.121    1897.084    16.557  0.142   0.598   0.143
247589  6259.192    2450.631    16.562  0.029   2.788   0.03
116880  6521.785    1716.788    16.564  0.016   2.455   0.017
257135  6815.958    3161.775    16.567  0.056   2.782   0.056
134754  7338.783    1557.921    16.569  0.006   2.123   0.007
129221  7080.66 628.66  16.57   0.01    -0.548  0.013
133426  7272.799    2001.077    16.571  0.003   2.458   0.004
124838  6885.244    593.442 16.573  0.011   2.101   0.012
149237  8076.735    1752.623    16.578  0.015   2.532   0.015
117898  6572.129    980.457 16.579  0.013   1.9 0.014
125046  6893.477    770.252 16.582  0.012   1.91    0.013
117472  6551.68 2026.237    16.585  0.024   2.608   0.025
129544  7095.312    1169.655    16.589  0.012   2.148   0.013
267154  7373.093    2812.873    16.591  0.016   -0.461  0.025
119389  6645.771    583.302 16.599  0.011   1.865   0.015
262284  7100.749    2811.625    16.604  0.03    1.477   0.03
244831  6093.481    2525.732    16.609  0.038   2.235   0.038
247116  6232.524    2665.056    16.616  0.036   2.512   0.036
270548  7568.701    2863.323    16.618  0.008   1.943   0.008
238280  5676.627    2275.331    16.619  0.017   2.346   0.018
149325  8082.825    636.352 16.621  0.088   2.073   0.172
261721  7068.223    2945.51 16.622  0.027   1.742   0.027
142607  7734.477    1885.729    16.626  0.004   2.419   0.012
118900  6621.098    768.476 16.628  0.005   -0.419  0.011
119043  6629.476    1563.066    16.628  0.007   -0.054  0.011
243611  5995.217    2512.376    16.63   0.014   1.785   0.015
145347  7874.825    1442.009    16.632  0.011   2.268   0.012
255302  6714.327    2551.917    16.638  0.035   1.68    0.035
145490  7881.705    1539.898    16.638  0.011   2.375   0.012
146231  7919.333    1960.045    16.639  0.009   1.859   0.01
121691  6750.41 1448.328    16.647  0.006   -0.211  0.008
263962  7192.819    2127.727    16.655  0.013   2.645   0.014
105516  5943.953    1224.161    16.656  0.012   1.729   0.013
246828  6216.275    2229.405    16.658  0.021   -0.248  0.024
108965  6122.303    867.797 16.659  0.009   2.329   0.01
98830   5616.203    725.665 16.666  0.01    1.029   0.01
112831  6323.369    802.012 16.666  0.017   -0.372  0.021
244529  6075.158    2250.372    16.668  0.034   2.295   0.035
248322  6308.82 3158.916    16.672  0.075   2.531   0.075
141800  7694.315    1922.233    16.674  0.003   1.7 0.004
279649  8099.873    2728.087    16.679  0.03    1.489   0.03
270188  7548.407    2333.654    16.68   0.012   0.126   0.013
240349  5795.387    2308.563    16.687  0.019   2.42    0.02
265404  7276.146    2565.893    16.688  0.02    2.281   0.025
116823  6519.513    1501.796    16.693  0.005   1.55    0.006
145881  7901.615    1810.158    16.695  0.004   -0.415  0.01
127848  7020.42 1870.759    16.707  0.119   1.719   0.122
148797  8053.696    1792.911    16.707  0.014   1.751   0.022
117022  6528.675    1998.739    16.708  0.014   2.551   0.015
265106  7257.17 3144.126    16.715  0.014   -0.431  0.019
126842  6975.936    1776.088    16.718  0.005   2.169   0.014
124136  6855.692    2046.891    16.721  0.005   2.481   0.009
124128  6855.398    798.186 16.723  0.005   -0.596  0.009
103880  5863.609    809.976 16.726  0.012   1.908   0.013
125657  6920.383    1812.566    16.727  0.009   2.536   0.01
112205  6278.804    1969.679    16.73   0.016   2.554   0.017
115323  6447.042    546.72  16.731  0.016   2.646   0.024
147792  8000.778    1376.636    16.733  0.008   2.215   0.011
116453  6500.971    1504.023    16.734  0.008   2.325   0.009
103445  5842.554    832.401 16.735  0.009   2.368   0.01
108785  6113.353    746.367 16.735  0.008   2.505   0.019
128140  7033.352    1620.662    16.739  0.005   2.514   0.007
126895  6978.804    1981.652    16.74   0.026   2.369   0.037
139331  7568.232    1113.255    16.74   0.009   2.428   0.01
112293  6283.442    702.154 16.741  0.005   1.283   0.006
148303  8029.801    1677.836    16.741  0.007   2.492   0.011
118106  6582.153    1761.29 16.742  0.008   2.535   0.011
125966  6935.383    1960.01 16.742  0.073   1.604   0.08
243961  6041.12 2132.388    16.743  0.018   2.421   0.02
124411  6868.454    1902.35 16.749  0.007   1.963   0.014
118273  6590.555    593.823 16.761  0.008   2.265   0.009
126270  6949.201    2006.467    16.761  0.119   2.689   0.125
128593  7053.19 1906.423    16.761  0.004   2.535   0.014
258602  6899.424    2715.345    16.768  0.025   2.406   0.025
137960  7500.649    571.786 16.773  0.013   -0.482  0.021
105378  5937.319    1288.786    16.778  0.011   2.283   0.012
