#ID x   y   F555    E_555   F555-F814   e_ff-14 F814    E_814
5986    99.27   1608.72 22.819  0.014   0.541   0.026   22.278  0.012
42364   100.23  4199.71 21.763  0.011   0.493   0.021   21.27   0.01
40594   100.86  3735.44 22.61   0.062   0.627   0.186   21.983  0.124
39229   101.17  3323.36 22.047  0.011   0.494   0.021   21.553  0.01
7839    101.61  1884.46 21.668  0.01    0.38    0.02    21.288  0.01
38994   102.73  3262.78 22.205  0.012   0.404   0.022   21.801  0.01
4065    102.89  1218.24 21.796  0.01    0.645   0.02    21.151  0.01
8421    103.81  1952.34 20.863  0.01    0.309   0.023   20.554  0.013
15870   105.2   2644.15 21.37   0.01    0.325   0.02    21.045  0.01
15551   105.23  2616.4  18.501  0.008   -0.041  0.016   18.542  0.008
12637   105.3   2365.31 21.703  0.01    0.29    0.02    21.413  0.01
39071   105.43  3285.48 20.457  0.011   0.295   0.022   20.162  0.011
1205    107.44  366.44  22.191  0.01    0.467   0.021   21.724  0.011
17850   108.92  2822.76 22.94   0.015   0.622   0.029   22.318  0.014
39892   109.63  3514.49 22.984  0.013   0.551   0.026   22.433  0.013
7265    109.78  1807.9  22.187  0.01    0.388   0.023   21.799  0.013
1470    110.1   453.91  22.309  0.01    0.438   0.023   21.871  0.013
14530   110.39  2530.16 22.534  0.011   0.468   0.021   22.066  0.01
6069    110.49  1621.45 22.436  0.011   0.447   0.022   21.989  0.011
40953   111.18  3849.11 19.649  0.009   0.989   0.018   18.66   0.009
2220    111.64  697.89  22.493  0.01    0.506   0.023   21.987  0.013
40885   111.68  3824.03 21.797  0.011   0.354   0.022   21.443  0.011
11698   112.69  2280.04 20.625  0.01    0.28    0.02    20.345  0.01
4066    113.67  1218.58 20.767  0.01    0.131   0.02    20.636  0.01
17518   113.75  2790.18 22.4    0.01    0.573   0.02    21.827  0.01
15846   114 2641.94 21.593  0.01    0.248   0.02    21.345  0.01
3955    114.95  1190.39 21.055  0.012   0.296   0.031   20.759  0.019
41044   115.2   3882.11 22.586  0.016   0.472   0.033   22.114  0.017
15678   116.09  2627.41 21.494  0.01    0.279   0.02    21.215  0.01
41068   116.25  3890.74 21.71   0.011   0.284   0.021   21.426  0.01
10903   116.95  2208.33 22.968  0.015   0.558   0.034   22.41   0.019
10349   117.57  2157.13 22.889  0.015   0.513   0.033   22.376  0.018
4791    118.29  1380.21 21.901  0.013   0.312   0.026   21.589  0.013
2600    118.43  818.76  22.945  0.015   0.512   0.029   22.433  0.014
10821   119.12  2199.19 22.47   0.012   0.558   0.025   21.912  0.013
3901    119.26  1174.67 17.102  0.012   1.417   0.025   15.685  0.013
1422    119.52  436.16  22.405  0.012   0.522   0.023   21.883  0.011
11338   119.77  2248.95 21.827  0.01    0.489   0.02    21.338  0.01
39372   119.87  3360.08 20.534  0.01    0.017   0.02    20.517  0.01
5330    120.14  1498.36 21.597  0.01    0.184   0.02    21.413  0.01
5094    120.53  1451.9  20.906  0.011   0.31    0.022   20.596  0.011
41399   122.41  3998.88 22.313  0.011   0.432   0.022   21.881  0.011
5857    123.8   1590.15 21.369  0.01    0.313   0.02    21.056  0.01
3577    124.36  1092.3  22.283  0.01    0.426   0.02    21.857  0.01
11182   124.4   2234.4  22.389  0.01    0.435   0.021   21.954  0.011
17103   126.57  2754.32 20.853  0.01    0.244   0.02    20.609  0.01
18358   127.66  2871.76 22.724  0.011   0.568   0.024   22.156  0.013
20309   127.69  3079.03 22.832  0.012   0.524   0.025   22.308  0.013
6105    129.65  1626.71 21.797  0.011   0.62    0.024   21.177  0.013
218 129.78  9.5 19.609  0.009   0.983   0.018   18.626  0.009
4466    130.74  1309.35 22.098  0.01    0.283   0.023   21.815  0.013
1844    131.46  581.99  21.274  0.011   0.525   0.023   20.749  0.012
13804   131.67  2467.06 21.583  0.01    0.255   0.02    21.328  0.01
6166    134.59  1637.72 18.908  0.011   1.127   0.022   17.781  0.011
16648   135.86  2712.67 21.286  0.01    0.225   0.02    21.061  0.01
20030   136.08  3047.82 22.428  0.01    0.449   0.02    21.979  0.01
2157    136.31  674.44  22.699  0.017   0.631   0.03    22.068  0.013
40919   136.59  3837.06 22.205  0.011   0.327   0.022   21.878  0.011
18565   138.34  2892.57 21.452  0.01    0.602   0.02    20.85   0.01
6485    139.26  1691.22 21.962  0.01    0.435   0.02    21.527  0.01
10957   140.05  2212.38 21.953  0.01    0.261   0.02    21.692  0.01
1831    140.29  576.8   21.736  0.01    0.378   0.021   21.358  0.011
6641    140.49  1717.88 22.285  0.011   0.478   0.021   21.807  0.01
7835    140.65  1883.86 22.082  0.01    0.491   0.02    21.591  0.01
1807    141.3   567.36  22.946  0.014   0.678   0.027   22.268  0.013
11131   141.47  2229.26 22.75   0.012   0.513   0.023   22.237  0.011
4251    141.96  1261.72 21.738  0.01    0.223   0.02    21.515  0.01
21555   142.76  3242.54 19.335  0.009   0.973   0.017   18.362  0.008
5646    142.98  1555.83 20.854  0.01    0.928   0.02    19.926  0.01
17291   143.03  2769.96 22.831  0.012   0.52    0.025   22.311  0.013
17829   143.23  2820.19 19.296  0.008   0.978   0.017   18.318  0.009
4344    143.39  1283.67 21.801  0.01    0.283   0.02    21.518  0.01
1396    143.52  428.34  20.573  0.011   0.162   0.021   20.411  0.01
41332   143.88  3975.05 22.314  0.013   0.458   0.024   21.856  0.011
39911   144.17  3518.74 21.592  0.011   0.954   0.021   20.638  0.01
12385   144.37  2343.01 21.378  0.01    0.25    0.021   21.128  0.011
19471   145.03  2987.88 22.551  0.011   0.467   0.021   22.084  0.01
21640   145.16  3254.08 21.415  0.01    0.408   0.021   21.007  0.011
4594    145.19  1337.89 21.64   0.01    0.279   0.02    21.361  0.01
19750   146.45  3016.46 18.834  0.009   1.133   0.017   17.701  0.008
15650   146.86  2624.3  20.68   0.01    0.229   0.02    20.451  0.01
19264   147.34  2961.76 19.341  0.008   0.976   0.016   18.365  0.008
268 148.19  27.59   22.44   0.022   0.604   0.048   21.836  0.026
1830    148.94  576.62  21.375  0.01    0.288   0.02    21.087  0.01
10282   149.6   2153.12 19.771  0.009   0.926   0.018   18.845  0.009
22684   149.82  3429.88 18.971  0.009   1.136   0.017   17.835  0.008
