#
# [ASteCA v0.1.9-beta]
#
# Modified: 2015-06-07 10:44:29
#
# NAME: Cluster's name.
# c_x: Cluster's x center coordinate.
# e_x: Cluster's x center coordinate error.
# c_y: Cluster's y center coordinate.
# e_y: Cluster's x center coordinate error.
# r_cl: Cluster's radius.
# e_rcl: Cluster's radius error.
# r_c: Core radius (3-P King profile).
# e_rc: Core radius error.
# r_t: Tidal radius (3-P King profile).
# e_rt: Tidal radius error.
# kcp: King's profile concentration parameter.
#
# CI: 'Contamination index' is a  measure of the contamination of field
#      stars in the cluster region. The closer to 1, the more contaminated 
#      the cluster region is.
# n_memb_k: Approximate number of cluster's members obtained integrating the
#         fitted 3-P King profile (if it converged).
# n_memb: Approximate number of cluster's members assuming a uniform
#       background.
# n_memb_da: Approximate number of cluster's members obtained via the DA
#          algorithm.
# memb_par: Members parameter comparing the approximate structural number of
#           members ('n_memb') with the approximate photometric number of
#           members ('n_memb_da').
# a_f: Fraction of cluster's area that is present in frame.
# prob_cl: Statistical comparision of cluster vs field KDEs. It is obtained
#          as 1 minus the overlap area between the KDEs. If the KDEs are
#          very similar this value will be low indicating the overdensity is
#          probably not a true cluster.
# int_col: Integrated color magnitude for all stars inside the cluster
#          radius, except those that were rejected due to large errors.
# met: Metallicity value (z).
# e_m: Metallicity error.
# age: log(age).
# e_a: log(age) error.
# E(B-V): extinction.
# e_E: Extinction error.
# dist: Distance modulus.
# e_d: Distance error.
# M_i: Total initial mass.
# e_M: Mass error.
# bin_fr: Binary fraction.
# e_bf: Binary fraction error.
#
# M1 Indicates that the center was set manually.
# M2 Indicates that the radius was set manually.
#
# f1 Either median cluster's central coordinates (obtained using several
#    standard deviation smoothing values) is more than 10% away from the
#    central position assigned.
# f2 The standard deviation for either center coordinate is larger than 10%
#    of the coordinate's value.
# f3 The background value is smaller than a third of the maximum radial
#    density value.
# f4 Not enough points found stabilized around the background value -->
#    clust_rad was set to the middle value in the density profile.
# f5 The delta range around the background used to attain the stable
#    condition to determine the radius is greater than 10%%. This indicates
#    a possible variable background.
# f6 The process to fit a 3-P King profile to the density points did not
#    converge or did so to a tidal radius beyond the ranges of the frame.
# f7 No error rejection was possible.
# f8 The function had to fall back to the 'e_max'-based rejection method
#    since the selected one failed.
# f9 The number of approximate structural cluster members ('n_memb') is < 10.
# f10 The number of approximate structural and photometric cluster members
#     differ greatly --> abs(n_memb_par) > 0.33.
#
# FC (flags count): Sum of all the flags values. The bigger this value the
#    more likely it is that there's a problem with the frame, ie: no cluster,
#    more than one cluster present in the frame, variable or too crowded
#    field, etc.
#
#
########################################################################
#
# 3rd run --> 149 (+1 with \delta log(age)>0.5)
# 4th run --> 21 (+4 with \delta log(age)>0.5)
# 5th run --> 7
# 6th run --> 2
# 7th run --> 14
# 8th run --> 5
# 9th run --> 1
# 10th run -> 2 (+1 with \delta log(age)>0.5)
# 11th run -> 1 (+1 with \delta log(age)>0.5)
# 18th run -> 26 (+3 with \delta log(age)>0.5)
# 19th run -> 1
#
#
#NAME                 c_x      e_x      c_y      e_y     r_cl    e_rcl      r_c     e_rc      r_t     e_rt      kcp      CI   n_memb_k     n_memb  n_memb_da  memb_par     a_f  prob_cl  int_col      met      e_m      age      e_a   E(B-V)      e_E     dist      e_d      M_i      e_M   bin_fr     e_bf      M1 M2  f1 f2 f3 f4 f5 f6 f7 f8 f9 f10  FC
######################
#>>> 3rd run
#
BRHT4B             1720.0      0.0   1900.0      0.0     40.0      0.0     28.0      9.0    400.0    600.0     1.11    0.79         62         21         11      0.31    1.00     0.61     0.64    0.012    0.003     8.45     0.08     0.01     0.02    18.42     0.05    600.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   0   1
BRHT45A            1836.0      2.0   3619.0      2.0     70.0     10.0     10.0      1.0     -1.0     -1.0    -1.00    0.72         -1         44         49     -0.05    1.00     0.98    -0.36    0.012    0.003      8.2      0.3     0.06     0.02    18.54     0.05    400.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
BRHT38B            6193.0      2.0   3139.0      2.0     70.0     10.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.65         -1         33         46     -0.16    1.00     1.00    -0.15     0.01    0.003      8.2      0.8     0.08     0.04    18.44     0.06    600.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
B112               7040.0      0.0   5200.0      0.0    110.0      0.0    100.0    700.0     -1.0     -1.0    -1.00    1.00         -1          0        155     -1.00    1.00     0.62     0.34     0.01    0.003      9.0      0.2     0.01     0.02    18.92     0.05    400.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  1   1   4
BSDL1035           8128.0      2.0    243.0      2.0     40.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.93         -1          5          4      0.11    1.00     0.95     0.27     0.01    0.003      8.7      0.1     0.08     0.03    18.44     0.05    200.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  1   0   3
B47                2655.0      0.0   5345.0      0.0     70.0      0.0     40.0     20.0     -1.0     -1.0    -1.00    0.88         -1         25         26     -0.02    1.00     0.97     0.79    0.015    0.004      8.9      0.8     0.08     0.03    18.88     0.05   1200.0    300.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
BSDL527            3405.0      0.0    840.0      0.0     87.5      0.0     30.0     10.0   1000.0   5000.0     1.54    0.88        105         33          0      1.00    1.00     0.28     0.94    0.008    0.003      8.9      0.1     0.05     0.02    18.56     0.06    200.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   1   2
BSDL3158           1649.0      2.0   2045.0      2.0    200.0     20.0     25.0      1.0     -1.0     -1.0    -1.00    0.73         -1        162         52      0.51    1.00     0.79     1.50    0.015    0.003      9.3      0.1     0.01     0.02    18.54     0.07   1200.0    600.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   1   2
H86-70             7063.0      2.0    606.0      2.0    180.0     10.0     34.0      5.0     -1.0     -1.0    -1.00    0.88         -1        139        126      0.05    1.00     0.14     0.80    0.006    0.003     8.75     0.06     0.04     0.02    19.04     0.06   3000.0   1000.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
KMHK128             230.0      0.0    825.0      0.0    137.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.51         -1        123        179     -0.19    1.00     0.43     1.24     0.01    0.003      8.9      0.4     0.03     0.02    18.48     0.06   1000.0    200.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
HS114              5929.0      2.0   2706.0      2.0    260.0     40.0     50.0     10.0      0.0  10000.0     1.72    0.88        312        261          1      0.99    1.00     0.71     1.01     0.01    0.003     9.15     0.05     0.01     0.02    18.46     0.04   1800.0    400.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   1   2
BSDL1024           5381.0      2.0    153.0      2.0    100.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.99         -1          2          0      1.00    1.00     0.39     0.26    0.008    0.003      8.4      0.1      0.0     0.04    18.48     0.07    400.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  1   1   4
C11                1525.0      0.0    520.0      0.0    112.5      0.0     21.5      0.8     -1.0     -1.0    -1.00    0.67         -1         76         39      0.32    1.00     0.52    -0.27    0.008    0.003      8.6      0.5     0.02     0.02    18.54     0.05    600.0    200.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
BSDL665            1418.0      2.0   3841.0      2.0    110.0     20.0     70.0     20.0    280.0     60.0     0.62    0.85         46         48          1      0.96    1.00     0.41     0.68    0.008    0.003      8.8      0.2     0.01     0.02    18.56     0.06    200.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   1   2
HS131               197.0      2.0   6570.0      2.0     45.0      7.0     13.0      2.0     -1.0     -1.0    -1.00    0.85         -1         11          0      1.00    1.00     0.87     0.85    0.015    0.003      9.1     0.07      0.0     0.02    18.42     0.04    600.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
KMHK505            6594.0      2.0    800.0      2.0     50.0     10.0      9.0      2.0   1000.0   3000.0     1.83    0.70         40         32         36     -0.06    1.00     0.80     0.11    0.008    0.003     8.95     0.06     0.04     0.02    18.42     0.06    600.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   0   1
BSDL716            5100.0      0.0   6250.0      0.0    150.0      0.0     90.0     70.0     -1.0     -1.0    -1.00    0.94         -1         43          0      1.00    1.00     0.83     0.17    0.008    0.004      8.8      0.2      0.0     0.02    18.48     0.05    600.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
H88-33             4791.0      0.0   2141.0      0.0     65.7      0.0     14.0      2.0    200.0    200.0     1.17    0.87         28         16         15      0.03    1.00     1.00    -0.15     0.01    0.003      8.3      0.7     0.01     0.02    18.44     0.06    200.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   0   1
HS411              1070.0      2.0   6954.0      2.0     70.0     10.0     25.0      4.0    140.0     20.0     0.76    0.72         71         49         58     -0.08    1.00     0.42     0.06    0.012    0.003      8.6      0.1      0.1     0.05    18.58     0.06    600.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   0   1
HW59               2193.0      1.0   2531.0      2.0     60.0     40.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.89         -1         10         77     -0.77    1.00     0.41     0.07    0.002    0.006      9.9      0.3      0.1     0.03    18.98     0.07   1800.0    900.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
BSDL675             682.0      2.0    193.0      2.0    110.0     20.0     17.0      1.0     -1.0     -1.0    -1.00    0.83         -1         55          6      0.80    1.00     0.32     1.49    0.012    0.003      9.0      0.1     0.06     0.02    18.48     0.05    600.0    200.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   1   2
L63                 710.0      0.0   1080.0      0.0     60.0      0.0     40.0     20.0     -1.0     -1.0    -1.00    0.88         -1         15          0      1.00    1.00     0.87    -0.47    0.012    0.003      8.2      0.9     0.03     0.02    18.88     0.03    400.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
H3                 3775.0      0.0   4800.0      0.0    262.5      0.0    190.0     60.0   1000.0    700.0     0.72    0.73        617        392        272      0.18    1.00     1.00     2.06     0.01    0.003      9.5      0.3      0.0      0.1    18.44     0.06   6000.0   2000.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   0   1
HS38               2496.0      2.0   6554.0      2.0    112.5      0.0     46.0      4.0    400.0    100.0     0.96    0.62        227        114        131     -0.07    1.00     0.89     0.17    0.008    0.003      8.8      0.5     0.02     0.02    18.52     0.05   1000.0    300.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   0   1
HS154              5710.0      0.0   6640.0      0.0    100.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.79         -1         37         15      0.42    1.00     0.68    -0.26    0.015    0.003      8.6      0.7     0.01     0.02    18.52     0.06    200.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
H88-331            1714.0      2.0   5027.0      2.0     80.0     10.0     12.0      1.0     -1.0     -1.0    -1.00    0.72         -1         66        117     -0.28    1.00     0.81     0.94    0.015    0.003      8.7     0.09     0.16     0.06    18.58     0.04   1000.0    200.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
KMHK112            5096.0      2.0   3958.0      2.0    170.0     40.0     60.0      6.0    500.0    200.0     0.92    0.66        220        162        149      0.04    1.00     0.91     1.67     0.01    0.003      9.1     0.05     0.03     0.02    18.52     0.05   1600.0    400.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   0   1
KMHK151            1236.0      2.0   1936.0      2.0    110.0     20.0     35.0      2.0    330.0     60.0     0.98    0.63         95         65         62      0.02    1.00     0.56     1.30    0.008    0.003     9.05     0.06     0.05     0.02    18.42     0.05    600.0    200.0      0.5     -1.0       0  0   0  0  0  0  0  0  0  0  0   0   0
L62                1087.0      2.0   1029.0      2.0     80.0     20.0     10.0      5.0     -1.0     -1.0    -1.00    0.94         -1         13         90     -0.75    1.00     1.00     0.31    0.012    0.003      8.1     0.05     0.05     0.01    18.96     0.05   1200.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
HS151               711.0      2.0   8138.0      1.0     60.0     20.0     18.0      7.0    200.0    200.0     1.04    0.96         24          5          0      1.00    1.00     0.18     1.04     0.01    0.005      9.1      0.2      0.1     0.04    18.42     0.06    600.0    300.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  1   1   3
H88-334            3642.0      2.0   8206.0      1.0    130.0     20.0     28.0      5.0    400.0    500.0     1.17    0.88        100         40          0      1.00    0.71     0.85     3.11    0.006    0.004      9.2      0.1     0.14     0.05    18.54     0.06    600.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   1   2
KMHK95              808.0      2.0   1728.0      2.0     60.0     10.0     27.0      3.0    180.0     50.0     0.83    0.49         68         52         64     -0.10    1.00     0.60    -0.48     0.01    0.003      8.6      0.5     0.03     0.02    18.44     0.05    400.0    200.0      0.5     -1.0       0  0   0  0  0  0  0  0  0  0  0   0   0
BSDL77             5412.0      2.0   5700.0      2.0     70.0     10.0     16.0      2.0     -1.0     -1.0    -1.00    0.54         -1         61         83     -0.15    1.00     0.41     0.96    0.004    0.003      9.0     0.06     0.05     0.02    18.48     0.04    600.0    200.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
H88-235            1243.0      0.0    780.0      0.0     54.7      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.96         -1          5          0      1.00    1.00     0.68     0.61     0.01    0.005      8.7      0.7     0.08     0.03     18.6     0.05    600.0    400.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  1   1   4
BSDL677            7170.0      2.0   5065.0      2.0     50.0     10.0     30.0     10.0    130.0     70.0     0.71    0.81         23         17          5      0.55    1.00     0.63    -0.34    0.015    0.005      8.3      0.6     0.06     0.02    18.44     0.06    200.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   1   2
BS265              8170.0      0.0   2080.0      0.0    100.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.90         -1         15         16     -0.03    1.00     0.52     0.60    0.006    0.004      9.1      0.9     0.02     0.02    18.94     0.06   1000.0   2000.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
L50                 457.0      2.0    575.0      2.0    170.0     20.0     40.0     20.0    500.0    800.0     1.11    0.94         64         38          0      1.00    1.00     0.55     0.46    0.008    0.003      7.9      0.2     0.07     0.02     18.9     0.05    600.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   1   2
H88-67             3938.0      2.0   6123.0      2.0    190.0     40.0     34.0      6.0    400.0    300.0     1.11    0.86        129        142          9      0.88    1.00     0.31     0.78    0.003    0.003     9.05     0.08     0.06     0.02    18.54     0.06   1000.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   1   2
BSDL2995            457.0      2.0   8163.0      2.0    110.0     20.0     62.0      5.0    220.0     10.0     0.55    0.66        146        125        213     -0.26    0.87     1.00     1.06    0.006    0.003      9.1      0.6     0.08     0.05    18.48     0.05   1600.0    700.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   0   1
H88-26             2364.0      2.0   1309.0      2.0    110.0     30.0     32.0      8.0    300.0    200.0     1.00    0.89         65         37         15      0.42    1.00     0.27     0.05    0.008    0.004      9.1      0.8      0.0     0.02    18.56     0.03    600.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   1   2
KMHK123            1660.0      2.0    594.0      2.0    110.0     20.0     34.0      2.0    360.0     60.0     1.03    0.62        140         79         99     -0.11    1.00     0.86     0.78    0.006    0.003      9.0      0.3      0.1     0.04    18.52     0.05    600.0    300.0      0.5     -1.0       0  0   0  0  0  0  0  0  0  0  0   0   0
AM3                3784.0      2.0   4741.0      2.0    200.0     40.0     58.0      4.0    420.0     70.0     0.86    0.22        154         85        104     -0.10    1.00     0.84     1.25    0.002    0.003      9.6      0.1     0.01    0.005    19.06     0.05   2600.0    700.0      0.5     -1.0       0  0   0  0  0  0  0  0  0  0  0   0   0
HW40               3845.0      3.0   4746.0      3.0    137.5      0.0     62.0      5.0    460.0     90.0     0.87    0.55        340        182        204     -0.06    1.00     0.36     1.66    0.003    0.003      9.6      0.2     0.01     0.01     19.0     0.07   3800.0    800.0      0.5     -1.0       0  0   0  0  0  0  0  0  0  0  0   0   0
B39                 288.0      2.0   2277.0      2.0    100.0     20.0     10.0      9.0      0.0   1000.0     1.57    0.97         39         12        155     -0.86    1.00     0.68     0.89    0.004    0.005      8.9      0.9     0.02     0.04    18.96     0.06   1400.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   1   2
BS121              1165.0      2.0   1211.0      2.0    110.0     20.0     16.0      2.0     -1.0     -1.0    -1.00    0.89         -1         56          0      1.00    1.00     0.46    -0.03    0.001    0.005      9.6      0.2     0.02     0.02    19.06     0.06   3200.0    700.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
BS88               7346.0      2.0    852.0      2.0    120.0     30.0     18.0      4.0     -1.0     -1.0    -1.00    0.92         -1         39          0      1.00    1.00     0.22     3.50    0.015    0.004      9.1      0.1     0.02     0.02    19.04     0.05    400.0    400.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
HW55                276.0      2.0    978.0      2.0    140.0     20.0     48.0      5.0    310.0     60.0     0.81    0.83        152        102         13      0.77    1.00     0.74     1.13    0.006    0.003      9.2      0.7      0.0     0.03    19.04     0.04   1000.0    400.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   1   2
KMHK1719            157.0      2.0    629.0      2.0     70.0     20.0     21.0      1.0    180.0     20.0     0.93    0.34         75         38         57     -0.20    1.00     0.27     1.51    0.001    0.005      9.0      1.0     0.03     0.01    18.42     0.06   1800.0    400.0      0.5     -1.0       0  0   0  0  0  0  0  0  0  0  0   0   0
NGC1838            1340.0      0.0    160.0      0.0     87.5      0.0     10.0      3.0     -1.0     -1.0    -1.00    0.86         -1         54         37      0.19    1.00     1.00     0.42    0.015    0.003      8.2      0.1     0.06     0.02    18.44     0.06   1200.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
L106                963.0      2.0   1150.0      2.0    120.0     20.0     24.9      0.3    320.0     20.0     1.11    0.06        189        139        142     -0.01    1.00     0.49     1.28    0.003    0.003      9.2      0.1      0.0     0.01    18.88     0.06   5600.0    700.0      0.5     -1.0       0  0   0  0  0  0  0  0  0  0  0   0   0
LW397               877.0      2.0   4941.0      2.0    160.0     30.0     19.0      0.8     -1.0     -1.0    -1.00    0.53         -1        174        187     -0.04    1.00     0.91     1.19    0.006    0.003      9.2     0.05     0.02     0.02    18.44     0.03   2200.0    500.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
H88-55             4990.0      2.0   5388.0      2.0    112.5      0.0     50.0     10.0   1000.0   1000.0     1.18    0.71        284        125        125      0.00    1.00     0.95     0.33    0.008    0.003      8.9     0.05     0.01     0.02    18.48     0.05   1600.0    400.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   0   1
KMHK1702            171.0      2.0    432.0      2.0    120.0     20.0     15.6      0.5     -1.0     -1.0    -1.00    0.47         -1         87        111     -0.12    1.00     0.82     1.57    0.008    0.003     9.05     0.06     0.01     0.01    18.52     0.06    800.0    200.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
# v Use this one instead of the 7th run because the results are almost identical.
NGC1697            1082.0      2.0    949.0      2.0    200.0     20.0     40.0      5.0     -1.0     -1.0    -1.00    0.59         -1        492        599     -0.10    1.00     1.00     1.08    0.008    0.003     9.05     0.05     0.06     0.03    18.48     0.06   9000.0   1000.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
# v Use this one instead of the 7th run because the error in the mass is smaller.
L19                1336.0      2.0   1268.0      2.0    170.0     20.0     53.0      6.0    700.0    500.0     1.12    0.62        310        243        162      0.20    1.00     0.63     2.97    0.002    0.003     9.45     0.08     0.04     0.01     18.9     0.04   9000.0   1000.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   0   1
KMHK58             6221.0      2.0   7777.0      2.0    130.0     20.0     31.0      2.0    230.0     30.0     0.87    0.63         72         49         48      0.01    1.00     0.13     0.55    0.006    0.004      9.3      0.6     0.01     0.02    18.44     0.06    600.0    200.0      0.5     -1.0       0  0   0  0  0  0  0  0  0  0  0   0   0
H86-197             891.0      2.0   7527.0      2.0     60.0     10.0      8.0      3.0     90.0     10.0     1.06    0.51         19         13         21     -0.24    1.00     0.20     0.42    0.006    0.005      9.1      0.7     0.02    0.005    19.02     0.05    200.0    200.0      0.5     -1.0       0  0   0  0  0  0  0  0  0  0  0   0   0
KMHK229            6898.0      1.0    958.0      1.0     62.5      0.0     11.0      9.0     -1.0     -1.0    -1.00    0.83         -1         14         57     -0.61    1.00     0.93     0.92    0.015    0.003      9.1     0.09      0.1     0.05    18.56     0.05    400.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
NGC1917            3805.0      0.0   4740.0      0.0    100.0      0.0    190.0     90.0     -1.0     -1.0    -1.00    0.87         -1         46          4      0.84    1.00     1.00     1.39    0.002    0.004     9.15     0.08     0.08     0.05    18.48     0.04   4000.0   1000.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
HS116              5388.0      2.0   2833.0      2.0     90.0     10.0     15.0      3.0     -1.0     -1.0    -1.00    0.86         -1         36          0      1.00    1.00     0.53     0.75    0.012    0.003     8.65     0.07     0.01     0.02     18.5     0.07    400.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
KMHK1023           2681.0      4.0   2847.0      4.0    187.5      0.0     60.0     10.0    700.0    700.0     1.04    0.84        171        105         12      0.79    1.00     0.51     0.03    0.002    0.003      9.4      0.1      0.3     0.08     18.6     0.04   2400.0    700.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   1   2
H88-52             1045.0      0.0   5225.0      0.0    137.5      0.0     27.0      7.0   1000.0   2000.0     1.49    0.93        164         18          0      1.00    0.49     0.16    -0.07    0.006    0.004      9.2      0.1     0.02     0.02    18.56     0.06    400.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   1   2
HW67              3798.56      0.0  4802.85      0.0    112.5      0.0     49.0      2.0    400.0     40.0     0.92    0.34        187         90        134     -0.20    1.00     0.63     1.12    0.001    0.003      9.3      0.7    0.015    0.005    18.98     0.06   1600.0    400.0      0.5     -1.0       0  0   0  0  0  0  0  0  0  0  0   0   0
HS121              8109.0      2.0   4909.0      2.0     87.5      0.0     38.0      5.0    400.0    200.0     1.03    0.82         99         45         45      0.00    1.00     0.99     1.59    0.015    0.003     9.05     0.05      0.0     0.02    18.46     0.03    800.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   0   1
NGC1865             175.0      2.0   1361.0      2.0    170.0     20.0     68.0      6.0    400.0    100.0     0.77    0.75        394        289        100      0.49    1.00     0.77     0.79    0.015    0.003      8.8     0.06      0.0     0.02    18.42     0.06   6000.0   2000.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   1   2
