Title: Resolved Massive Star Clusters in the Milky Way and its Satellites:
       Brightness Profiles and a Catalog of Fundamental Parameters
Authors: McLaughlin, D.E., van der Marel R.P.
Table: Derived Dynamical Parameters
================================================================================
Byte-by-byte Description of file: datafile12.txt
--------------------------------------------------------------------------------
  Bytes  Format Units                   Label   Explanations
--------------------------------------------------------------------------------
   1- 11 A11    --                      Cluster Cluster name, with galaxy prefix
  13- 17 F5.3   solMass/solLum          popML   Population-synthesis M/L_V_ (1)
  19- 23 F5.3   solMass/solLum        E_popML   Upper 1{sigma} error in popML
  25- 29 F5.3   solMass/solLum        e_popML   Lower 1{sigma} error in popML
  31- 32 A2     --                      model   Model fit
  34- 37 F4.2   [solMass]               Mtot    Log of total model mass
  39- 42 F4.2   [solMass]             E_Mtot    Upper 1{sigma} error in Mtot
  44- 47 F4.2   [solMass]             e_Mtot    Lower 1{sigma} error in Mtot
  49- 53 F5.2   [10-7W.s]               Eb      Log of total binding energy 
                                                 in units of erg
  55- 58 F4.2   [10-7W.s]             E_Eb      Upper 1{sigma} error in Eb
  60- 63 F4.2   [10-7W.s]             e_Eb      Lower 1{sigma} error in Eb
  65- 68 F4.2   [solMass/pc2]           Sigma0  Log of R=0 surface density
  70- 73 F4.2   [solMass/pc2]         E_Sigma0  Upper 1{sigma} error in Sigma0
  75- 78 F4.2   [solMass/pc2]         e_Sigma0  Lower 1{sigma} error in Sigma0
  80- 84 F5.2   [solMass/pc3]           rho0    Log of R=0 volume density
  86- 89 F4.2   [solMass/pc3]         E_rho0    Upper 1{sigma} error in rho0
  91- 94 F4.2   [solMass/pc3]         e_rho0    Lower 1{sigma} error in rho0
  96-100 F5.2   [solMass/pc2]           Sigmah  Log of average surface density 
                                                 inside Rh
 102-105 F4.2   [solMass/pc2]         E_Sigmah  Upper 1{sigma} error in Sigmah
 107-111 F5.2   [solMass/pc2]         e_Sigmah  Lower 1{sigma} error in Sigmah
 113-117 F5.2   km/s                    sigp0   Velocity dispersion at R=0
 119-123 F5.2   km/s                  E_sigp0   Upper 1{sigma} error in sigp0
 125-128 F4.2   km/s                  e_sigp0   Lower 1{sigma} error in sigp0
 130-134 F5.2   km/s                    vesc0   Escape velocity at R=0
 136-141 F6.2   km/s                  E_vesc0   Upper 1{sigma} error in vesc0
 143-147 F5.2   km/s                  e_vesc0   Lower 1{sigma} error in vesc0
 149-153 F5.2   [yr]                    trh     Log of half-mass relaxation time
 155-158 F4.2   [yr]                  E_trh     Upper 1{sigma} error in trh
 160-163 F4.2   [yr]                  e_trh     Lower 1{sigma} error in trh
 165-170 F6.3   [solMass/pc3/km3.s-3]   f0      Log of phas-space density at R=0
 172-176 F5.3   [solMass/pc3/km3.s-3] E_f0      Upper 1{sigma} error in f0
 178-182 F5.3   [solMass/pc3/km3.s-3] e_f0      Lower 1{sigma} error in f0
--------------------------------------------------------------------------------
Note (1): Predicted V-band mass-to-light ratio from population-synthesis models
          using the code of Bruzual & Charlot (2003) and assuming a 
          Chabrier (2003) disk-star IMF. Refer to Section 4.2 of the text for 
          definitions of all other tabulated quantities and full details of 
          their calculation.
--------------------------------------------------------------------------------
LMC-HODGE11 1.893 0.160 0.160 K  5.17 0.07 0.06 49.91 0.11 0.11 3.13 0.05 0.05  2.31 0.06 0.07  2.69 0.07  0.10  3.63  0.22 0.21 14.14   0.87  0.83  9.40 0.12 0.08 -0.605 0.062 0.064 
LMC-HODGE11 1.893 0.160 0.160 W  5.22 0.10 0.07 49.92 0.11 0.11 3.12 0.05 0.05  2.29 0.06 0.06  2.62 0.10  0.19  3.63  0.22 0.21 14.17   0.89  0.82  9.50 0.25 0.12 -0.629 0.067 0.060 
LMC-HODGE11 1.893 0.160 0.160 PL 5.31 0.13 0.10 49.95 0.11 0.11 3.12 0.05 0.05  2.29 0.07 0.07  2.43 0.19  0.40  3.64  0.22 0.21 14.27   0.89  0.85  9.75 0.45 0.25 -0.642 0.070 0.074 
LMC-HODGE14 0.535 0.071 0.071 K  4.00 0.09 0.09 47.68 0.18 0.18 2.37 0.09 0.09  1.84 0.11 0.10  1.73 0.10  0.12  1.10  0.12 0.11  4.45   0.48  0.43  8.77 0.11 0.07  0.489 0.090 0.074 
LMC-HODGE14 0.535 0.071 0.071 W  4.05 0.10 0.10 47.69 0.18 0.18 2.36 0.09 0.09  1.79 0.10 0.10  1.66 0.13  0.18  1.11  0.12 0.11  4.45   0.48  0.43  8.87 0.19 0.13  0.421 0.074 0.071 
LMC-HODGE14 0.535 0.071 0.071 PL 4.15 0.18 0.12 47.71 0.18 0.18 2.35 0.09 0.09  1.78 0.12 0.11  1.38 0.27  0.81  1.12  0.12 0.11  4.47   0.48  0.44  9.20 0.80 0.30  0.391 0.108 0.087 
LMC-HODGE4  0.802 0.124 0.124 K  5.31 1.91 0.45 49.10 1.92 0.40 2.30 0.07 0.08  1.46 0.08 0.09  0.46 0.69  1.85  1.44  0.13 0.12  6.76   2.30  0.73 11.23 3.77 1.08 -0.221 0.059 0.080 
LMC-HODGE4  0.802 0.124 0.124 W  5.59 1.71 0.41 49.26 1.73 0.42 2.30 0.08 0.08  1.45 0.08 0.08 -0.09 0.32  1.65  1.43  0.13 0.12  6.90   2.09  0.72 11.97 3.37 0.73 -0.224 0.061 0.082 
LMC-HODGE4  0.802 0.124 0.124 PL 5.56 0.07 0.54 48.69 0.15 0.16 2.27 0.07 0.08  1.38 0.07 0.08 -8.47 8.42  0.07  1.47  0.13 0.12  6.19   0.55  0.51 18.22 0.04 6.99 -0.335 0.037 0.063 
LMC-NGC1466 1.875 0.029 0.029 K  5.24 0.04 0.04 50.24 0.07 0.07 3.51 0.04 0.04  2.81 0.05 0.05  3.13 0.04  0.04  4.87  0.20 0.20 18.61   0.78  0.76  9.14 0.02 0.02 -0.491 0.053 0.050 
LMC-NGC1466 1.875 0.029 0.029 W  5.25 0.04 0.04 50.24 0.07 0.07 3.49 0.04 0.04  2.78 0.05 0.05  3.12 0.04  0.04  4.89  0.20 0.20 18.57   0.78  0.75  9.16 0.04 0.03 -0.539 0.049 0.048 
