#
# centeralpha, centerdelta: coords of the MCEV region.
# ra_deg, dec_deg: coords of the cluster.
#
# centeralpha   centerdelta   ev_i   sig_ev_i   ra_deg         dec_deg        
  78.6851       -69.1324      0.07   0.1225     77.666666667   -68.753611111  
  78.6138       -69.1324      0.07   0.1315     77.666666667   -68.753611111  
  78.5426       -69.1324      0.1    0.1245     77.666666667   -68.753611111  
  78.3644       -69.1706      0.08   0.1295     77.666666667   -68.753611111  
  78.2219       -69.1706      0.11   0.119      77.666666667   -68.753611111  
  78.4713       -69.1324      0.1    0.123      77.666666667   -68.753611111  
  77.9369       -69.3233      0.09   0.1015     77.666666667   -68.753611111  
  77.7944       -69.3233      0.08   0.1045     77.666666667   -68.753611111  
  77.6519       -69.3233      0.08   0.113      77.666666667   -68.753611111  
  77.5095       -69.3233      0.09   0.1135     77.666666667   -68.753611111  
  78.0794       -69.1706      0.09   0.114      77.666666667   -68.753611111  
  77.9369       -69.1706      0.08   0.118      77.666666667   -68.753611111  
  77.7944       -69.1706      0.09   0.1295     77.666666667   -68.753611111  
  77.6519       -69.1706      0.11   0.1255     77.666666667   -68.753611111  
  77.7944       -69.0179      0.08   0.1275     77.666666667   -68.753611111  
  77.6519       -69.0179      0.07   0.1305     77.666666667   -68.753611111  
  77.159        -69.1726      0.07   0.0935     77.666666667   -68.753611111  
  77.0161       -69.1726      0.08   0.104      77.666666667   -68.753611111  
  77.5095       -69.1706      0.1    0.137      77.666666667   -68.753611111  
  77.367        -69.1706      0.09   0.136      77.666666667   -68.753611111  
  77.3019       -69.1726      0.07   0.1105     77.666666667   -68.753611111  
  77.5095       -69.0179      0.07   0.123      77.666666667   -68.753611111  
  77.367        -69.0179      0.07   0.105      77.666666667   -68.753611111  
  77.3019       -69.0195      0.08   0.1105     77.666666667   -68.753611111  
  77.159        -69.0195      0.08   0.13       77.666666667   -68.753611111  
  76.8731       -69.1726      0.1    0.1055     77.666666667   -68.753611111  
  76.7302       -69.1726      0.09   0.1075     77.666666667   -68.753611111  
  76.5873       -69.1726      0.08   0.0985     77.666666667   -68.753611111  
  77.0161       -69.0195      0.11   0.129      77.666666667   -68.753611111  
  76.8731       -69.0195      0.11   0.1235     77.666666667   -68.753611111  
