#
# [ASteCA v0.1.9-beta]
#
# Modified: 2015-08-15 15:03:14
#
# NAME: Cluster's name.
# c_x: Cluster's x center coordinate.
# e_x: Cluster's x center coordinate error.
# c_y: Cluster's y center coordinate.
# e_y: Cluster's x center coordinate error.
# r_cl: Cluster's radius.
# e_rcl: Cluster's radius error.
# r_c: Core radius (3-P King profile).
# e_rc: Core radius error.
# r_t: Tidal radius (3-P King profile).
# e_rt: Tidal radius error.
# kcp: King's profile concentration parameter.
#
# CI: 'Contamination index' is a  measure of the contamination of field
#      stars in the cluster region. The closer to 1, the more contaminated 
#      the cluster region is.
# n_memb_k: Approximate number of cluster's members obtained integrating the
#         fitted 3-P King profile (if it converged).
# n_memb: Approximate number of cluster's members assuming a uniform
#       background.
# n_memb_da: Approximate number of cluster's members obtained via the DA
#          algorithm.
# memb_par: Members parameter comparing the approximate structural number of
#           members ('n_memb') with the approximate photometric number of
#           members ('n_memb_da').
# a_f: Fraction of cluster's area that is present in frame.
# prob_cl: Statistical comparision of cluster vs field KDEs. It is obtained
#          as 1 minus the overlap area between the KDEs. If the KDEs are
#          very similar this value will be low indicating the overdensity is
#          probably not a true cluster.
# int_col: Integrated color magnitude for all stars inside the cluster
#          radius, except those that were rejected due to large errors.
# met: Metallicity value (z).
# e_m: Metallicity error.
# age: log(age).
# e_a: log(age) error.
# E(B-V): extinction.
# e_E: Extinction error.
# dist: Distance modulus.
# e_d: Distance error.
# M_i: Total initial mass.
# e_M: Mass error.
# bin_fr: Binary fraction.
# e_bf: Binary fraction error.
#
# M1 Indicates that the center was set manually.
# M2 Indicates that the radius was set manually.
#
# f1 Either median cluster's central coordinates (obtained using several
#    standard deviation smoothing values) is more than 10% away from the
#    central position assigned.
# f2 The standard deviation for either center coordinate is larger than 10%
#    of the coordinate's value.
# f3 The background value is smaller than a third of the maximum radial
#    density value.
# f4 Not enough points found stabilized around the background value -->
#    clust_rad was set to the middle value in the density profile.
# f5 The delta range around the background used to attain the stable
#    condition to determine the radius is greater than 10%%. This indicates
#    a possible variable background.
# f6 The process to fit a 3-P King profile to the density points did not
#    converge or did so to a tidal radius beyond the ranges of the frame.
# f7 No error rejection was possible.
# f8 The function had to fall back to the 'e_max'-based rejection method
#    since the selected one failed.
# f9 The number of approximate structural cluster members ('n_memb') is < 10.
# f10 The number of approximate structural and photometric cluster members
#     differ greatly --> abs(n_memb_par) > 0.33.
#
# FC (flags count): Sum of all the flags values. The bigger this value the
#    more likely it is that there's a problem with the frame, ie: no cluster,
#    more than one cluster present in the frame, variable or too crowded
#    field, etc.
#
#NAME                 c_x      e_x      c_y      e_y     r_cl    e_rcl      r_c     e_rc      r_t     e_rt      kcp      CI   n_memb_k     n_memb  n_memb_da  memb_par     a_f  prob_cl  int_col      met      e_m      age      e_a   E(B-V)      e_E     dist      e_d      M_i      e_M   bin_fr     e_bf      M1 M2  f1 f2 f3 f4 f5 f6 f7 f8 f9 f10  FC
BRHT4B             1720.0      0.0   1900.0      0.0     40.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.79         -1         21         10      0.35    1.00    -1.00   -99.00   0.0152     -1.0     8.25     -1.0     0.07     -1.0    18.96     -1.0      810     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
BSDL1035           8128.0      2.0    243.0      2.0     40.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.93         -1          5          4      0.11    1.00    -1.00   -99.00   0.0152     -1.0     8.55     -1.0      0.1     -1.0    18.96     -1.0      410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  1   0   3
B112               7040.0      0.0   5200.0      0.0    110.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    1.00         -1          0        155     -1.00    1.00    -1.00   -99.00 0.003818     -1.0        9     -1.0     0.11     -1.0    18.49     -1.0      610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  1   1   4
HS411              1070.0      2.0   6954.0      2.0     70.0     10.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.72         -1         49         57     -0.08    1.00    -1.00   -99.00   0.0152     -1.0      8.4     -1.0     0.22     -1.0    18.96     -1.0      610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
BSDL779             924.0      2.0    881.0      2.0    130.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.77         -1         83         50      0.25    1.00    -1.00   -99.00   0.0152     -1.0        7     -1.0      0.1     -1.0    18.96     -1.0      810     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
BSDL527            3405.0      0.0    840.0      0.0     87.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.88         -1         33          0      1.00    1.00    -1.00   -99.00 0.006051     -1.0        9     -1.0     0.08     -1.0    18.96     -1.0      410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
BSDL268            5040.0      0.0   3290.0      0.0    216.8      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    1.11         -1          0        250     -1.00    1.00    -1.00   -99.00   0.0152     -1.0     7.25     -1.0     0.18     -1.0    18.96     -1.0     1610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  1   1   4
BRHT45A            1836.0      2.0   3619.0      2.0     70.0     10.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.72         -1         44         47     -0.03    1.00    -1.00   -99.00   0.0152     -1.0        7     -1.0     0.13     -1.0    18.96     -1.0      410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
BSDL761             720.0      0.0   2725.0      0.0     87.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.82         -1         34          8      0.62    1.00    -1.00   -99.00 0.012074     -1.0     8.25     -1.0     0.04     -1.0    18.96     -1.0      210     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
BRHT38B            6193.0      2.0   3139.0      2.0     70.0     10.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.65         -1         33         47     -0.17    1.00    -1.00   -99.00 0.009591     -1.0     7.95     -1.0     0.14     -1.0    18.96     -1.0      810     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
