#
# [ASteCA v0.1.9-beta]
#
# Modified: 2015-09-25 09:54:16
#
# NAME: Cluster's name.
# c_x: Cluster's x center coordinate.
# e_x: Cluster's x center coordinate error.
# c_y: Cluster's y center coordinate.
# e_y: Cluster's x center coordinate error.
# r_cl: Cluster's radius.
# e_rcl: Cluster's radius error.
# r_c: Core radius (3-P King profile).
# e_rc: Core radius error.
# r_t: Tidal radius (3-P King profile).
# e_rt: Tidal radius error.
# kcp: King's profile concentration parameter.
#
# CI: 'Contamination index' is a  measure of the contamination of field
#      stars in the cluster region. The closer to 1, the more contaminated 
#      the cluster region is.
# n_memb_k: Approximate number of cluster's members obtained integrating the
#         fitted 3-P King profile (if it converged).
# n_memb: Approximate number of cluster's members assuming a uniform
#       background.
# n_memb_da: Approximate number of cluster's members obtained via the DA
#          algorithm.
# memb_par: Members parameter comparing the approximate structural number of
#           members ('n_memb') with the approximate photometric number of
#           members ('n_memb_da').
# a_f: Fraction of cluster's area that is present in frame.
# prob_cl: Statistical comparision of cluster vs field KDEs. It is obtained
#          as 1 minus the overlap area between the KDEs. If the KDEs are
#          very similar this value will be low indicating the overdensity is
#          probably not a true cluster.
# int_col: Integrated color magnitude for all stars inside the cluster
#          radius, except those that were rejected due to large errors.
# met: Metallicity value (z).
# e_m: Metallicity error.
# age: log(age).
# e_a: log(age) error.
# E(B-V): extinction.
# e_E: Extinction error.
# dist: Distance modulus.
# e_d: Distance error.
# M_i: Total initial mass.
# e_M: Mass error.
# bin_fr: Binary fraction.
# e_bf: Binary fraction error.
#
# M1 Indicates that the center was set manually.
# M2 Indicates that the radius was set manually.
#
# f1 Either median cluster's central coordinates (obtained using several
#    standard deviation smoothing values) is more than 10% away from the
#    central position assigned.
# f2 The standard deviation for either center coordinate is larger than 10%
#    of the coordinate's value.
# f3 The background value is smaller than a third of the maximum radial
#    density value.
# f4 Not enough points found stabilized around the background value -->
#    clust_rad was set to the middle value in the density profile.
# f5 The delta range around the background used to attain the stable
#    condition to determine the radius is greater than 10%%. This indicates
#    a possible variable background.
# f6 The process to fit a 3-P King profile to the density points did not
#    converge or did so to a tidal radius beyond the ranges of the frame.
# f7 No error rejection was possible.
# f8 The function had to fall back to the 'e_max'-based rejection method
#    since the selected one failed.
# f9 The number of approximate structural cluster members ('n_memb') is < 10.
# f10 The number of approximate structural and photometric cluster members
#     differ greatly --> abs(n_memb_par) > 0.33.
#
# FC (flags count): Sum of all the flags values. The bigger this value the
#    more likely it is that there's a problem with the frame, ie: no cluster,
#    more than one cluster present in the frame, variable or too crowded
#    field, etc.
#
#NAME                 c_x      e_x      c_y      e_y     r_cl    e_rcl      r_c     e_rc      r_t     e_rt      kcp      CI   n_memb_k     n_memb  n_memb_da  memb_par     a_f  prob_cl  int_col      met      e_m      age      e_a   E(B-V)      e_E     dist      e_d      M_i      e_M   bin_fr     e_bf      M1 M2  f1 f2 f3 f4 f5 f6 f7 f8 f9 f10  FC
L39                6071.0      0.0   1776.0      0.0     60.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    1.03         -1          0        121     -1.00    1.00     0.94     0.25    0.005    0.006      6.2      0.2      0.1     0.04    18.98     0.05   1800.0    300.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  1   1   4
SOGLE196           6188.0      0.0   1408.0      0.0     60.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.89         -1         19         -1       inf    1.00     0.47     1.46     0.01    0.004      8.7      0.7     0.02     0.03    19.04     0.06   1200.0    900.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
K63                4409.0      0.0   8182.0      0.0    100.0      0.0      9.0      2.0     -1.0     -1.0    -1.00    0.83         -1         53         90     -0.26    1.00     0.97     0.33    0.002    0.003      8.3      0.8     0.06     0.03    18.94     0.04    400.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
H86-188            5004.0      0.0    416.0      0.0     90.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    1.03         -1          0          0       inf    1.00     0.82    -1.23    0.012    0.003      6.7      0.6      0.0     0.02    18.96     0.06    400.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  1   1   4
B103               3941.0      0.0   4531.0      0.0     80.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    1.10         -1          0        137     -1.00    1.00     0.89     0.22    0.015    0.004      8.4      0.2     0.04     0.02    19.06     0.04   1000.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  1   1   4
B124               7960.0      0.0   6021.0      0.0     80.0      0.0     14.0      6.0   1000.0   7000.0     1.69    0.88         23         24          1      0.92    1.00     0.62    -0.08    0.005    0.003      7.0      0.5     0.05     0.02    18.98     0.06    200.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   1   2
B111               6553.0      2.0   7508.0      2.0    100.0     30.0     46.0      3.0    400.0    100.0     0.95    0.55        112         53         67     -0.12    1.00     0.20     1.26    0.008    0.004      9.1      0.2    0.005    0.005    18.92     0.06    400.0    200.0      0.5     -1.0       0  0   0  0  0  0  0  0  0  0  0   0   0
H86-174             314.0      0.0   7522.0      0.0     50.0      0.0     13.0      4.0    100.0    100.0     0.96    0.88          7         11          2      0.69    1.00     0.76    -0.15    0.006    0.004      8.8      0.2     0.01     0.02    18.98     0.05    600.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   1   2
K43                3798.0      1.0   1954.0      1.0     62.0      6.0      5.0      9.0    100.0    400.0     1.45    0.88         16         18         22     -0.10    1.00     0.88     0.14    0.012    0.003     8.35     0.06     0.04     0.02    18.88     0.04    600.0    200.0      0.5     -1.0       0  0   0  0  1  0  0  0  0  0  0   0   1
B48                5444.0      0.0   1160.0      0.0     80.0      0.0     50.0     20.0     -1.0     -1.0    -1.00    1.29         -1          0         -1       inf    1.00     1.00    -0.59    0.015    0.004      6.0      1.0      0.1     0.04    18.88     0.07    800.0    600.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  1   0   3
