#mag    e_mag    col1   e_col1    m_ini
21.9642    0.1210   2.1226   0.1581   3.1021
21.7548    0.1097   2.4153   0.1457   3.2625
21.5396    0.1117   1.9100   0.1479   3.2260
21.6151    0.1141   2.1897   0.1505   3.1984
21.5166    0.1052   1.9003   0.1407   3.3281
21.4078    0.0942   1.7161   0.1282   3.5024
21.9410    0.1307   1.5281   0.1687   1.7958
21.3848    0.0955   1.6455   0.1297   3.4058
21.2191    0.0854   1.9399   0.1180   3.6114
21.4084    0.0955   1.8477   0.1297   3.4058
21.4531    0.0977   1.7177   0.1322   3.3845
21.2229    0.0879   1.7833   0.1210   3.6002
21.4977    0.0972   1.7121   0.1316   3.3894
21.6029    0.1007   1.8433   0.1355   3.3547
20.9798    0.0826   1.6037   0.1149   3.6837
21.1327    0.0918   1.7865   0.1254   3.4400
21.2230    0.0868   1.7146   0.1198   3.4786
21.2475    0.0882   1.5603   0.1214   3.5001
20.8687    0.0778   1.4060   0.1092   3.7378
20.9506    0.0771   1.4955   0.1084   3.7477
20.8722    0.0783   1.4479   0.1099   3.6506
20.8255    0.0735   1.5528   0.1042   3.8206
21.1193    0.0862   1.6174   0.1190   3.4836
21.1608    0.0845   1.7875   0.1170   3.6285
21.2536    0.0942   1.5784   0.1282   1.9774
21.1705    0.0909   1.4461   0.1244   1.9917
20.9352    0.0801   1.5068   0.1120   3.6061
20.9153    0.0795   1.4753   0.1112   3.6526
21.1200    0.0809   1.7193   0.1129   3.6225
20.7848    0.0756   1.5669   0.1067   3.7776
21.3355    0.0909   1.5029   0.1244   1.9917
20.7755    0.0713   1.5956   0.1016   3.8113
20.7954    0.0692   1.4931   0.0991   3.8574
20.8198    0.0739   1.6572   0.1046   3.7961
20.9871    0.0827   1.7648   0.1149   3.5099
20.6454    0.0680   1.6554   0.0976   3.8909
21.4796    0.1026   1.6798   0.1376   1.9383
20.9320    0.0828   1.6389   0.1151   3.6476
20.8825    0.0705   1.4446   0.1007   3.6338
20.6265    0.0654   1.6333   0.0945   3.8862
20.9293    0.0783   1.3901   0.1099   2.0464
20.7219    0.0729   1.3333   0.1035   2.0714
20.9233    0.0735   1.3992   0.1042   2.0684
20.3058    0.0585   1.4399   0.0862   3.9325
20.8564    0.0741   1.3924   0.1049   2.0655
20.8690    0.0752   1.4122   0.1062   2.0606
20.5653    0.0621   1.4430   0.0906   3.6398
20.6393    0.0648   1.4587   0.0938   3.9113
20.7048    0.0665   1.4797   0.0958   3.8075
20.4620    0.0605   1.5552   0.0886   3.7880
20.4122    0.0592   1.4667   0.0870   3.8812
20.9984    0.0750   1.7437   0.1059   3.5601
20.4262    0.0586   1.5477   0.0863   4.0190
20.4900    0.0629   1.6209   0.0915   3.9463
20.3276    0.0583   1.4151   0.0859   3.9186
20.7265    0.0710   1.3223   0.1013   2.0804
20.5351    0.0639   1.6622   0.0928   3.9030
20.6751    0.0681   1.6414   0.0977   3.8657
20.3823    0.0555   1.4592   0.0825   4.0495
20.3548    0.0570   1.4281   0.0843   4.0117
20.5341    0.0613   1.4968   0.0895   3.9739
20.7800    0.0701   1.6910   0.1001   3.7282
20.5493    0.0608   1.6112   0.0889   3.9370
20.9027    0.0754   1.6714   0.1065   3.5574
20.6306    0.0681   1.1897   0.0977   2.0951
20.5095    0.0638   1.5586   0.0926   3.8833
20.8364    0.0741   1.7423   0.1049   3.5655
20.1530    0.0530   1.3960   0.0794   4.0792
21.1704    0.0856   1.6284   0.1183   2.0149
20.7731    0.0710   1.1422   0.1013   2.0804
20.0886    0.0506   1.2501   0.0764   4.1198
20.3228    0.0570   1.4567   0.0844   3.9566
19.8954    0.0446   1.1570   0.0689   4.1826
20.5123    0.0585   1.3570   0.0862   2.1485
20.6625    0.0649   1.3258   0.0939   2.1120
19.5229    0.0370   1.2103   0.0591   4.3240
20.3285    0.0576   1.4214   0.0850   3.7958
20.5660    0.0644   1.3922   0.0933   2.1150
19.8630    0.0428   1.2865   0.0666   4.2308
19.7896    0.0418   1.2307   0.0653   4.2483
20.2249    0.0522   1.1320   0.0784   2.1890
20.1105    0.0513   1.2496   0.0773   4.0027
20.5012    0.0617   1.4008   0.0900   2.1302
20.0658    0.0511   1.0446   0.0770   2.1966
20.5059    0.0577   1.4929   0.0853   2.1533
19.8713    0.0447   1.1883   0.0690   4.1732
20.0866    0.0494   1.3812   0.0749   4.0547
20.4086    0.0593   1.2112   0.0872   2.1437
19.8788    0.0442   1.2571   0.0683   4.2108
20.6481    0.0627   1.3195   0.0913   2.1241
20.6516    0.0652   1.2794   0.0943   2.1105
20.3810    0.0567   1.1509   0.0840   3.7703
20.2234    0.0516   1.3002   0.0776   3.8975
19.7691    0.0423   1.2954   0.0659   4.2388
20.5187    0.0579   1.3527   0.0855   2.1522
20.3116    0.0565   1.2090   0.0838   2.1608
20.7674    0.0654   1.3802   0.0945   2.1094
20.0315    0.0478   1.1861   0.0729   3.9362
19.8237    0.0443   1.1484   0.0685   4.1557
19.9754    0.0457   1.3410   0.0702   4.1416
20.0220    0.0477   1.2574   0.0728   3.9205
20.1126    0.0530   1.0502   0.0795   2.1833
20.2353    0.0521   1.3464   0.0783   3.7835
20.6325    0.0667   1.3144   0.0961   2.1025
20.5060    0.0627   1.2730   0.0913   2.1241
20.1746    0.0503   1.3191   0.0760   4.0181
20.2218    0.0553   1.4160   0.0822   3.8328
20.0275    0.0461   1.0421   0.0707   3.9708
20.4333    0.0591   1.5359   0.0869   3.6603
20.1956    0.0552   1.1330   0.0821   2.1692
20.1251    0.0487   1.2094   0.0741   4.1196
19.8115    0.0431   0.9959   0.0669   3.9520
19.6589    0.0393   0.9099   0.0621   3.9922
19.2038    0.0300   0.9726   0.0499   4.4619
19.6212    0.0397   0.8096   0.0626   2.2916
19.3606    0.0327   0.9076   0.0535   4.3910
19.8075    0.0426   0.9549   0.0664   2.2624
19.9055    0.0451   1.0446   0.0695   2.2411
