#mag    e_mag    col1   e_col1    m_ini
21.2421    0.0904   0.6550   0.1239   2.1025
21.2643    0.0937   0.7510   0.1276   2.0839
20.9278    0.0813   0.1880   0.1133   2.1736
22.0012    0.1274   0.4543   0.1651   1.0682
21.3009    0.0885   0.5519   0.1217   2.1241
21.2333    0.0923   0.4840   0.1260   2.0907
21.9743    0.1237   0.7005   0.1611   1.0766
21.1324    0.0882   0.5099   0.1213   2.1242
20.9298    0.0780   0.4543   0.1095   1.1763
20.9287    0.0760   0.5016   0.1072   2.1568
20.7409    0.0693   0.5409   0.0992   2.1910
20.3297    0.0583   0.5825   0.0860   2.3012
20.8816    0.0715   0.3663   0.1018   2.2358
21.5788    0.1127   0.5638   0.1490   1.1030
20.6621    0.0670   0.6693   0.0965   1.1962
20.7138    0.0705   0.5180   0.1006   2.1725
21.3092    0.0943   0.3878   0.1283   1.1491
20.6497    0.0656   0.6917   0.0948   1.1988
20.8820    0.0695   0.5011   0.0994   2.1886
20.9861    0.0760   0.5200   0.1072   2.2105
21.1012    0.0841   0.5459   0.1166   2.1320
20.4227    0.0628   0.6383   0.0914   2.2487
21.5764    0.0980   0.5176   0.1325   1.1426
20.2340    0.0552   0.7003   0.0821   2.2875
21.1840    0.0858   0.6470   0.1186   2.1230
20.5140    0.0622   0.4086   0.0907   2.2921
20.3451    0.0549   0.6883   0.0818   2.3094
20.9360    0.0792   0.5459   0.1109   1.1738
20.2375    0.0541   0.3429   0.0808   2.3396
21.0407    0.0842   0.4272   0.1167   1.1634
21.5489    0.1079   0.4630   0.1437   1.1164
21.5719    0.1060   0.4088   0.1416   1.1218
20.6185    0.0697   0.5553   0.0996   1.1918
21.0394    0.0812   0.5879   0.1132   2.1449
20.8308    0.0738   0.6022   0.1046   2.1621
21.4642    0.1012   0.1926   0.1361   1.1360
20.7626    0.0704   0.6127   0.1005   2.2562
21.0267    0.0773   0.7109   0.1087   1.1778
20.6804    0.0688   0.4585   0.0986   2.1777
20.7918    0.0718   0.5714   0.1022   1.1882
21.1552    0.0822   0.6549   0.1143   2.1418
20.9885    0.0822   0.6673   0.1143   2.1418
21.0245    0.0826   0.3492   0.1148   2.1399
20.8391    0.0738   0.4296   0.1046   2.1621
