#mag    e_mag    col1   e_col1    m_ini
22.5393    0.0769   0.8445   0.1296   1.9323
22.6558    0.0842   0.8049   0.1399   1.0898
22.3505    0.0638   1.0913   0.1103   2.0296
22.4013    0.0724   1.0133   0.1230   1.9653
21.9199    0.0491   0.6857   0.0880   2.1929
22.2380    0.0607   0.7079   0.1057   1.2018
22.5817    0.0812   0.7403   0.1357   1.1017
21.8044    0.0480   0.7211   0.0862   2.2161
22.3327    0.0671   0.8431   0.1152   1.1664
21.9966    0.0508   0.6908   0.0907   2.1405
21.9158    0.0526   0.6834   0.0934   2.1513
21.1429    0.0303   0.5785   0.0573   2.5591
22.1920    0.0595   0.6541   0.1040   1.2088
21.8800    0.0487   0.7318   0.0873   2.1618
21.1507    0.0306   0.5423   0.0577   2.5520
22.1907    0.0584   0.7050   0.1023   1.2159
21.7514    0.0446   0.6346   0.0809   2.2042
21.4368    0.0368   0.5682   0.0682   2.3921
21.4399    0.0354   0.6614   0.0659   2.4389
21.6131    0.0405   0.5287   0.0743   2.2537
21.2957    0.0345   0.4135   0.0644   2.3838
21.7573    0.0455   0.5595   0.0823   1.3149
20.8326    0.0245   0.4833   0.0472   2.7430
21.3323    0.0345   0.4475   0.0644   2.3838
21.6057    0.0426   0.3332   0.0777   1.3432
21.5607    0.0400   0.4662   0.0735   1.3715
20.8783    0.0253   0.4078   0.0486   2.7147
21.7955    0.0470   0.4902   0.0847   1.3008
20.9266    0.0258   0.4863   0.0494   2.6652
20.8494    0.0253   0.4804   0.0486   2.6935
21.2176    0.0315   0.2903   0.0593   1.4917
21.4037    0.0361   0.4248   0.0671   1.4210
21.2204    0.0319   0.2907   0.0601   1.4846
21.3382    0.0337   0.2141   0.0630   1.4563
21.2009    0.0319   0.4727   0.0601   1.4846
20.4686    0.0193   0.2627   0.0377   2.9843
20.7129    0.0232   0.3213   0.0448   2.7556
21.0318    0.0276   0.2159   0.0527   1.5656
20.9776    0.0274   0.1894   0.0522   1.5715
20.5453    0.0211   0.3678   0.0409   2.8782
20.9607    0.0276   0.1574   0.0527   1.5656
20.2340    0.0166   0.3200   0.0326   3.1483
20.7386    0.0238   0.2201   0.0459   1.6574
20.8694    0.0253   0.1627   0.0485   1.6198
20.6285    0.0214   0.3019   0.0415   2.7852
20.8513    0.0247   0.1843   0.0476   1.6329
20.0135    0.0145   0.2231   0.0285   3.3086
19.9823    0.0145   0.0895   0.0285   3.2882
20.5988    0.0209   0.0886   0.0406   1.7399
20.1776    0.0162   0.2366   0.0319   3.1609
20.6489    0.0218   0.0898   0.0423   1.7116
20.2065    0.0168   0.1054   0.0329   1.8813
20.3916    0.0186   0.1203   0.0364   1.8159
19.9692    0.0144   0.1565   0.0284   3.2531
20.1825    0.0163   0.0889   0.0320   1.8990
19.5723    0.0110   0.0597   0.0214   3.6573
20.0793    0.0153   0.0944   0.0301   1.9374
19.4903    0.0106   0.0915   0.0204   3.7290
19.3046    0.0095   0.0496   0.0181   3.8852
19.2259    0.0090   0.0405   0.0170   3.9202
19.4120    0.0101   0.0553   0.0194   3.6275
19.7212    0.0121   0.0183   0.0236   2.0755
19.0668    0.0081   0.0332   0.0152   4.0190
19.4466    0.0103  -0.0007   0.0199   2.1578
18.9988    0.0078   0.0274   0.0144   4.0726
19.0678    0.0081   0.0618   0.0152   2.2605
19.0606    0.0081   0.1142   0.0151   3.8085
19.2607    0.0091   0.0638   0.0174   2.2127
16.8937    0.0024   2.1093   0.0012   4.1959
18.5317    0.0059   0.2030   0.0101   3.9935
18.2885    0.0051   1.0642   0.0082   4.3596
18.1221    0.0046   1.6245   0.0071   2.4797
