#mag    e_mag    col1   e_col1    m_ini
21.6361    0.0402   0.7993   0.0623   2.4299
21.4570    0.0388   0.4817   0.0600   1.4808
21.0084    0.0282   0.6520   0.0433   2.7940
21.5500    0.0403   0.4638   0.0624   1.4598
20.8658    0.0264   0.5767   0.0404   2.8335
21.3605    0.0369   0.4478   0.0570   1.5093
20.3626    0.0186   0.4129   0.0278   3.2423
21.0420    0.0297   0.3985   0.0456   1.6364
20.1242    0.0161   0.3960   0.0238   3.3928
20.8448    0.0258   0.3939   0.0393   1.7176
20.0302    0.0149   0.4094   0.0217   3.4106
19.9681    0.0143   0.4397   0.0208   3.3680
19.2216    0.0080   0.4825   0.0104   3.7847
19.1693    0.0076   1.8316   0.0098   2.1489
18.5771    0.0043   1.8097   0.0042   2.2725
