#mag    e_mag    col1   e_col1    m_ini
21.9249    0.0675   0.8031   0.1114   2.0745
22.0505    0.0682   0.7075   0.1123   2.0679
22.1412    0.0704   0.8466   0.1151   2.0485
22.7777    0.0920   0.8285   0.1421   1.0796
21.6490    0.0539   0.7304   0.0930   2.2065
21.8661    0.0606   0.9307   0.1022   2.1393
21.4970    0.0470   0.6286   0.0833   2.3361
21.7515    0.0586   0.7716   0.0995   2.1703
21.9151    0.0601   0.8374   0.1015   2.1438
21.6158    0.0506   0.7926   0.0883   2.2825
21.4969    0.0505   0.7197   0.0883   2.2715
22.3615    0.0840   0.4873   0.1323   1.1128
21.8171    0.0581   0.7474   0.0987   2.1639
21.3947    0.0455   0.8112   0.0811   2.3614
21.8085    0.0574   0.7650   0.0978   2.1886
22.1997    0.0723   0.3996   0.1176   1.1700
21.7157    0.0560   0.9275   0.0958   2.1852
21.4954    0.0470   0.6977   0.0833   2.3361
22.3745    0.0750   0.7468   0.1210   1.1558
21.9209    0.0620   0.7911   0.1040   2.1260
22.3223    0.0819   0.4337   0.1297   1.1222
21.3519    0.0439   0.6192   0.0788   2.3898
21.7768    0.0555   0.5640   0.0953   1.2796
21.5548    0.0506   0.7478   0.0884   2.2483
21.3219    0.0436   0.7423   0.0783   2.3935
21.4217    0.0483   0.6155   0.0851   2.2686
21.1530    0.0385   0.6775   0.0707   2.4939
21.4637    0.0479   0.8049   0.0845   2.2868
21.2008    0.0407   0.5233   0.0740   2.4478
21.6586    0.0525   0.8428   0.0910   2.2217
21.1892    0.0403   0.6005   0.0734   2.4496
21.6102    0.0534   0.7510   0.0923   2.2119
21.9138    0.0649   0.4143   0.1079   1.2137
21.9242    0.0626   0.5830   0.1049   1.2284
21.0398    0.0365   0.6390   0.0676   2.5374
21.7289    0.0529   0.6201   0.0916   2.2168
21.2578    0.0434   0.5510   0.0780   2.3872
21.5705    0.0498   0.7063   0.0873   2.2610
21.7319    0.0539   0.5585   0.0931   1.2924
22.0341    0.0657   0.5342   0.1089   1.2088
21.5943    0.0516   0.7518   0.0897   2.2316
21.1708    0.0412   0.5862   0.0747   2.4039
20.9151    0.0337   0.6629   0.0633   2.5979
21.3247    0.0437   0.5098   0.0784   1.3909
21.4924    0.0459   0.5295   0.0817   1.3669
21.1913    0.0408   0.5827   0.0742   2.4253
21.1197    0.0388   0.5851   0.0711   2.4423
21.0227    0.0368   0.5518   0.0680   2.4981
21.1910    0.0415   0.6785   0.0751   2.3719
20.9078    0.0344   0.5122   0.0644   2.5870
21.1268    0.0389   0.6138   0.0713   2.3930
21.5977    0.0516   0.5931   0.0897   1.3128
20.8437    0.0324   0.5423   0.0612   2.6353
21.3252    0.0437   0.5001   0.0784   1.3909
