#mag    e_mag    col1   e_col1    m_ini
22.0683    0.0458   1.0123   0.0598   2.1422
21.6334    0.0360   0.8143   0.0470   2.2869
21.8362    0.0408   0.8114   0.0533   1.2892
21.6727    0.0378   0.8696   0.0494   2.2202
21.9957    0.0458   0.9829   0.0597   1.2425
21.7092    0.0383   0.6771   0.0501   1.3159
21.5175    0.0353   0.5901   0.0462   1.3518
21.5546    0.0342   0.6566   0.0448   1.3652
21.1929    0.0266   0.5047   0.0350   1.4861
20.8825    0.0228   0.6007   0.0300   2.5572
20.5259    0.0172   0.5488   0.0227   2.8988
20.7147    0.0197   0.5241   0.0259   2.6900
20.7184    0.0197   0.5471   0.0259   2.7352
20.0181    0.0121   0.3662   0.0160   3.2538
20.2884    0.0146   0.4630   0.0193   3.0487
20.2142    0.0141   0.3620   0.0187   3.0023
19.8775    0.0108   0.2952   0.0143   3.3719
19.8070    0.0102   0.2501   0.0136   3.3961
19.7625    0.0098   0.2179   0.0131   3.4254
19.3515    0.0069   0.1300   0.0094   3.8833
18.8838    0.0044   0.0342   0.0061   4.3695
19.6100    0.0088   0.0184   0.0118   2.1962
18.4057    0.0024  -0.0248   0.0035   4.8367
18.9201    0.0046   0.0329   0.0063   4.2707
18.8756    0.0044  -0.0410   0.0060   2.5540
17.9667    0.0010   0.0678   0.0016   2.8500
17.6426    0.0002   0.0605   0.0005   2.9079
