#mag    e_mag    col1   e_col1    m_ini
22.0561    0.0484   0.8690   0.0954   2.1294
22.2767    0.0603   0.8345   0.1178   1.9974
21.7781    0.0387   0.8589   0.0769   2.2689
21.8002    0.0406   0.8907   0.0805   2.2248
21.7111    0.0372   0.7611   0.0739   2.2909
22.0941    0.0512   0.9452   0.1007   2.0781
22.3731    0.0615   0.8119   0.1200   1.1638
21.6818    0.0371   0.9174   0.0738   2.2762
21.7540    0.0375   0.8010   0.0745   2.2835
21.9939    0.0435   0.7487   0.0861   1.2959
21.4173    0.0308   0.6071   0.0613   2.4010
21.7199    0.0362   0.6660   0.0720   1.3839
21.8120    0.0394   0.6236   0.0783   1.3399
21.6309    0.0352   0.7219   0.0700   2.2762
21.7038    0.0372   0.7524   0.0740   1.3693
21.1075    0.0244   0.5667   0.0485   2.6358
21.2051    0.0266   0.5730   0.0529   2.5266
20.9402    0.0218   0.5499   0.0432   2.7526
21.6616    0.0351   0.5597   0.0698   1.4004
21.5089    0.0320   0.3967   0.0637   1.4572
21.0423    0.0235   0.5701   0.0466   2.6738
20.6842    0.0186   0.4279   0.0364   2.9621
20.7691    0.0192   0.5089   0.0379   2.9099
20.9393    0.0216   0.3691   0.0428   2.7485
21.3933    0.0294   0.4147   0.0587   1.5113
21.0197    0.0235   0.2421   0.0466   1.7021
20.6108    0.0175   0.4086   0.0342   3.0512
20.6369    0.0182   0.3574   0.0356   2.9906
21.1595    0.0254   0.3180   0.0506   1.6287
20.4012    0.0156   0.3390   0.0302   3.2501
20.2320    0.0139   0.2679   0.0265   3.4996
20.8747    0.0214   0.2598   0.0423   1.7975
20.8538    0.0206   0.1213   0.0408   1.8342
20.8256    0.0201   0.1778   0.0396   1.8635
20.2865    0.0146   0.2108   0.0279   3.3822
20.7258    0.0191   0.1323   0.0375   1.9222
20.6293    0.0179   0.0974   0.0351   1.9944
20.6286    0.0178   0.0887   0.0348   2.0015
19.9973    0.0122   0.1357   0.0227   3.8024
19.8369    0.0112   0.0861   0.0206   4.0135
20.4432    0.0158   0.0374   0.0305   2.1520
19.8784    0.0114   0.0538   0.0209   3.9133
20.2487    0.0141  -0.0212   0.0270   2.2992
20.2113    0.0138   0.0116   0.0262   2.3359
19.4546    0.0091  -0.0382   0.0157   4.6811
19.4585    0.0091  -0.0018   0.0157   4.6715
19.9168    0.0118  -0.0450   0.0218   2.5787
19.9206    0.0116  -0.0833   0.0215   2.5987
19.2952    0.0084  -0.0670   0.0142   4.8777
19.2412    0.0082  -0.0867   0.0136   4.9686
19.6122    0.0099  -0.1347   0.0175   2.8844
18.8551    0.0069  -0.1362   0.0107   5.7398
19.3841    0.0088  -0.1693   0.0151   3.1015
19.2532    0.0082  -0.1734   0.0137   3.2458
18.4814    0.0060  -0.1999   0.0084   6.3371
18.2529    0.0056  -0.2209   0.0073   6.9278
18.2553    0.0056  -0.2729   0.0074   4.1370
17.4376    0.0045  -0.2543   0.0046   8.0294
16.3382    0.0038  -0.2015   0.0026   9.1978
