#mag    e_mag    col1   e_col1    m_ini
22.0316    0.0447   0.9071   0.0624   2.0979
22.0325    0.0424   0.9068   0.0592   2.1337
22.0294    0.0454   0.9448   0.0634   2.0869
22.0894    0.0447   0.7335   0.0624   2.0979
21.9502    0.0417   0.9466   0.0581   2.1453
22.9186    0.0665   0.8242   0.0943   1.0544
22.5114    0.0592   0.8797   0.0836   1.0984
22.0056    0.0447   0.9059   0.0624   2.0979
22.0294    0.0454   0.9859   0.0634   2.0869
21.8907    0.0420   0.8892   0.0586   2.1397
21.9115    0.0420   0.9241   0.0586   2.1397
22.0159    0.0443   0.8394   0.0619   2.1039
22.7492    0.0645   0.9800   0.0913   1.0664
21.9424    0.0439   0.7934   0.0614   2.1098
22.0365    0.0450   0.9263   0.0630   2.0921
22.0139    0.0420   0.8995   0.0586   2.1397
22.0477    0.0447   0.9027   0.0624   2.0979
21.5852    0.0342   0.7688   0.0476   2.2967
22.2781    0.0541   0.8079   0.0760   1.1347
21.7139    0.0369   0.7923   0.0514   2.2236
21.8082    0.0391   0.8537   0.0545   2.1872
22.1614    0.0483   0.8927   0.0676   1.1802
21.7398    0.0380   0.8067   0.0529   2.2054
22.2220    0.0494   0.6896   0.0692   1.1711
21.6348    0.0363   0.8287   0.0505   2.2434
22.1358    0.0483   0.6124   0.0676   1.1802
22.0596    0.0463   0.7404   0.0647   1.1980
22.1233    0.0469   0.6315   0.0656   1.1922
22.5018    0.0541   0.7589   0.0760   1.1347
21.7304    0.0375   0.9052   0.0521   2.2145
22.4440    0.0553   0.7968   0.0778   1.1256
21.5109    0.0337   0.6702   0.0469   2.3058
21.8010    0.0397   0.8514   0.0553   2.1781
21.5036    0.0335   0.9275   0.0465   2.3149
22.2324    0.0494   0.6786   0.0692   1.1711
21.6390    0.0367   0.8380   0.0510   2.2433
21.6535    0.0369   0.7073   0.0514   2.2236
21.6595    0.0375   0.8516   0.0521   2.2145
21.8168    0.0414   0.9661   0.0577   2.1498
21.9108    0.0415   0.8154   0.0579   2.1475
21.6744    0.0364   0.6810   0.0506   2.2327
21.8223    0.0397   0.8175   0.0553   2.1781
21.8825    0.0407   0.6195   0.0568   1.2526
21.3631    0.0307   0.7298   0.0427   2.3473
21.7100    0.0374   0.6648   0.0521   1.2905
21.8167    0.0380   0.6164   0.0529   1.2841
22.0275    0.0443   0.7703   0.0619   1.2160
21.0594    0.0260   0.6934   0.0361   2.5126
21.7825    0.0396   0.6761   0.0552   1.2650
21.9368    0.0443   0.7260   0.0619   1.2160
21.7398    0.0396   0.5948   0.0552   1.2650
21.6767    0.0365   0.6102   0.0507   1.3029
21.8042    0.0396   0.6589   0.0552   1.2650
21.0272    0.0257   0.6144   0.0357   2.5268
21.5775    0.0345   0.7227   0.0480   2.2655
21.6342    0.0374   0.6662   0.0521   1.2905
21.6789    0.0374   0.6735   0.0521   1.2905
21.9704    0.0425   0.6483   0.0593   1.2340
21.5463    0.0335   0.7514   0.0465   2.2835
21.5766    0.0348   0.7631   0.0484   2.2595
21.3420    0.0314   0.6591   0.0436   2.3598
22.0565    0.0456   0.6489   0.0638   1.2040
20.8067    0.0225   0.5529   0.0313   2.6370
21.3614    0.0308   0.5365   0.0428   1.3844
