#mag    e_mag    col1   e_col1    m_ini
22.7227    0.0889   0.8370   0.1157   1.9272
22.3420    0.0691   0.8744   0.0935   2.1175
22.6499    0.0838   0.6319   0.1100   1.9691
21.8425    0.0535   0.7682   0.0751   2.3261
21.7666    0.0522   0.6230   0.0736   2.3483
22.1280    0.0611   0.6401   0.0843   2.2145
21.9260    0.0570   0.6066   0.0794   2.2593
22.2716    0.0649   0.7279   0.0888   2.1625
22.5113    0.0776   0.6233   0.1033   1.1805
22.2461    0.0682   0.8043   0.0925   2.0969
22.1016    0.0607   0.6393   0.0838   2.2128
22.5385    0.0822   0.6208   0.1083   1.1550
21.9751    0.0575   0.5209   0.0799   2.2570
22.3382    0.0711   0.7096   0.0959   2.0494
22.3804    0.0726   0.7346   0.0976   2.0382
21.8867    0.0584   0.7079   0.0810   2.2148
21.7257    0.0489   0.5525   0.0695   2.3885
22.1242    0.0607   0.8251   0.0838   2.1758
22.1907    0.0636   0.6571   0.0873   2.1150
22.0828    0.0630   0.6129   0.0865   2.1214
21.6813    0.0495   0.4976   0.0701   2.3992
21.9886    0.0624   0.4898   0.0858   1.2869
22.2960    0.0687   0.5325   0.0931   1.2378
21.5353    0.0462   0.4214   0.0661   2.4552
22.3036    0.0664   0.4544   0.0905   1.2544
21.5468    0.0451   0.4938   0.0647   2.4865
21.7678    0.0514   0.5527   0.0726   2.3473
21.6011    0.0502   0.4704   0.0711   2.2975
21.5106    0.0454   0.3625   0.0650   2.4100
21.9259    0.0554   0.3990   0.0774   1.3546
22.0525    0.0580   0.2929   0.0806   1.3271
21.6232    0.0459   0.3783   0.0657   2.3943
21.4747    0.0456   0.4628   0.0653   2.4090
21.7407    0.0530   0.3922   0.0746   1.3814
22.0080    0.0575   0.4890   0.0800   1.3322
21.3612    0.0442   0.4775   0.0635   2.4753
21.6197    0.0493   0.6176   0.0699   2.3131
21.8368    0.0535   0.3634   0.0751   1.3759
21.9012    0.0565   0.3068   0.0788   1.3422
21.6823    0.0488   0.4762   0.0693   2.3464
21.2570    0.0412   0.5063   0.0596   2.5672
21.4949    0.0461   0.4716   0.0659   2.4007
21.3457    0.0423   0.5214   0.0610   2.5507
21.0530    0.0354   0.3863   0.0518   2.7647
20.9329    0.0331   0.3338   0.0487   2.8622
20.8886    0.0323   0.2785   0.0476   2.8967
21.0774    0.0362   0.4200   0.0529   2.7304
21.2530    0.0397   0.2984   0.0576   2.5645
21.7509    0.0512   0.2903   0.0723   1.4046
21.4385    0.0424   0.2791   0.0612   2.4873
21.5760    0.0464   0.2833   0.0663   1.4732
21.6056    0.0476   0.3823   0.0678   1.4544
21.6205    0.0485   0.2977   0.0689   1.4419
21.5675    0.0464   0.2682   0.0663   1.4732
21.1883    0.0375   0.4399   0.0547   2.6861
21.2394    0.0374   0.3855   0.0546   2.6931
20.9113    0.0336   0.2639   0.0494   2.8407
21.0771    0.0355   0.2833   0.0520   2.7538
21.0064    0.0341   0.3383   0.0501   2.8198
21.4334    0.0434   0.1632   0.0625   1.5233
21.3143    0.0398   0.1603   0.0578   1.5909
21.3179    0.0410   0.1978   0.0593   1.5678
21.0572    0.0349   0.3763   0.0512   2.7201
21.2781    0.0401   0.1956   0.0582   1.5851
