#mag    e_mag    col1   e_col1    m_ini
22.9977    0.0734   0.8850   0.0981   1.7772
23.0819    0.0785   1.1944   0.1047   1.7405
23.1234    0.0853   1.0546   0.1133   1.6918
23.1905    0.0862   0.9207   0.1146   1.6803
23.2305    0.0873   0.7886   0.1160   1.6809
23.5833    0.1087   0.7079   0.1431   0.8972
23.1065    0.0846   1.0184   0.1125   1.6885
22.8204    0.0731   0.9566   0.0978   1.7786
23.3291    0.0914   1.0316   0.1211   1.6543
22.7352    0.0654   0.6325   0.0879   1.8049
23.0437    0.0763   0.8079   0.1019   1.7311
23.3515    0.0909   0.6696   0.1205   0.9476
22.5780    0.0631   0.7268   0.0850   1.8441
22.4457    0.0574   0.8618   0.0776   1.8944
23.5620    0.1066   0.8563   0.1404   0.9028
22.5698    0.0599   0.9073   0.0808   1.8845
22.9627    0.0765   0.6967   0.1022   0.9956
22.7683    0.0687   1.0167   0.0922   1.7712
22.4254    0.0531   0.7150   0.0720   1.9517
22.9286    0.0753   0.7848   0.1007   1.0000
22.9713    0.0753   0.7210   0.1007   1.0000
22.4568    0.0620   0.8434   0.0835   1.8599
23.5819    0.0985   1.0068   0.1302   0.9248
22.7816    0.0679   0.9032   0.0912   1.7756
22.4455    0.0552   0.8284   0.0748   1.9226
22.6455    0.0651   0.8268   0.0875   1.7954
22.4313    0.0571   0.7908   0.0773   1.8363
22.1095    0.0496   0.6279   0.0675   1.9306
22.3323    0.0524   0.6207   0.0712   1.0993
22.1359    0.0468   0.8852   0.0638   2.0047
22.6844    0.0618   0.8591   0.0833   1.8094
22.2713    0.0549   0.7633   0.0744   1.9042
22.2020    0.0476   0.6447   0.0649   1.9099
22.2633    0.0510   0.7786   0.0693   1.8734
21.9559    0.0421   0.8662   0.0577   2.0590
22.4831    0.0544   0.8325   0.0737   1.9124
22.4911    0.0586   0.6889   0.0791   1.8511
22.0245    0.0450   0.5597   0.0615   1.9811
21.7331    0.0370   0.6883   0.0510   2.1383
21.8754    0.0390   0.7383   0.0537   2.1127
22.3846    0.0545   0.5651   0.0738   1.0889
22.6343    0.0646   0.7386   0.0869   1.0423
22.7355    0.0655   0.8630   0.0880   1.0388
22.3780    0.0530   0.8153   0.0719   1.8609
22.4235    0.0524   0.6467   0.0712   1.0993
22.2951    0.0532   0.8099   0.0721   1.9311
22.7276    0.0646   0.7229   0.0869   1.0423
22.1544    0.0472   0.9006   0.0644   2.0089
22.4899    0.0564   0.7461   0.0763   1.8746
21.8758    0.0403   0.6439   0.0553   2.0845
22.3000    0.0495   0.7881   0.0673   1.9608
22.3672    0.0525   0.7100   0.0713   1.8742
22.2588    0.0516   0.7325   0.0700   1.8698
22.5003    0.0567   0.6095   0.0766   1.0782
21.9600    0.0435   0.6949   0.0596   2.0499
22.8265    0.0696   0.5967   0.0933   1.0220
22.0037    0.0455   0.7025   0.0622   1.9481
22.7136    0.0680   0.8939   0.0913   1.0282
22.5664    0.0583   0.7304   0.0787   1.0705
22.4221    0.0548   0.6291   0.0743   1.8500
22.3622    0.0534   0.7477   0.0724   1.0943
22.7770    0.0663   0.6137   0.0891   1.0352
22.8109    0.0680   0.7500   0.0913   1.0282
22.5856    0.0602   0.5209   0.0812   1.0618
22.5857    0.0583   0.6283   0.0787   1.0705
21.6832    0.0350   0.6724   0.0485   2.0553
21.7108    0.0366   0.6031   0.0505   1.2017
21.7298    0.0364   0.6719   0.0503   2.1118
21.4265    0.0296   0.7119   0.0414   2.2314
21.7355    0.0366   0.5802   0.0505   2.1404
21.5965    0.0336   0.6515   0.0466   2.1768
21.5967    0.0343   0.6504   0.0475   2.1775
22.1615    0.0471   0.6038   0.0643   1.1292
21.6639    0.0348   0.6100   0.0482   2.1153
22.1652    0.0476   0.6500   0.0649   1.1262
21.7891    0.0394   0.6826   0.0542   2.0706
21.3756    0.0292   0.5951   0.0408   2.2556
21.5786    0.0337   0.6716   0.0467   2.1422
21.9565    0.0418   0.6329   0.0573   2.0293
22.0580    0.0444   0.7101   0.0607   1.1467
22.1979    0.0476   0.6071   0.0649   1.1262
22.2906    0.0510   0.7286   0.0694   1.1065
21.8026    0.0381   0.6773   0.0524   2.0310
22.1002    0.0448   0.6278   0.0612   1.1443
22.1619    0.0481   0.6529   0.0655   1.1231
21.7196    0.0349   0.7115   0.0483   2.1235
22.1094    0.0490   0.6974   0.0668   1.1174
21.7078    0.0363   0.6759   0.0501   2.0330
21.4477    0.0305   0.6869   0.0425   2.2350
21.9103    0.0392   0.6420   0.0540   2.0889
21.7347    0.0369   0.7514   0.0510   1.1991
21.9994    0.0437   0.7905   0.0598   1.1516
22.1665    0.0481   0.6395   0.0655   1.1231
22.0344    0.0457   0.6322   0.0624   1.1385
21.8611    0.0395   0.5635   0.0544   1.1806
21.7440    0.0370   0.6585   0.0511   2.1203
21.6756    0.0355   0.6428   0.0491   2.1291
22.0702    0.0461   0.6401   0.0630   1.1354
21.7420    0.0361   0.6511   0.0499   2.1387
22.0086    0.0414   0.5457   0.0568   1.1677
22.1625    0.0461   0.6122   0.0630   1.1354
22.0442    0.0452   0.5883   0.0617   1.1415
21.4570    0.0307   0.6971   0.0428   1.2397
21.0817    0.0232   0.6931   0.0328   2.1970
21.0683    0.0233   0.6505   0.0330   2.1746
20.9409    0.0219   0.8347   0.0311   1.2653
21.4441    0.0304   0.5792   0.0424   1.2414
20.8000    0.0194   1.2650   0.0278   2.3084
20.5009    0.0154   0.7684   0.0224   2.4854
21.3366    0.0283   0.6569   0.0397   2.1714
21.6615    0.0345   0.6447   0.0477   1.2169
20.7749    0.0191   1.3187   0.0274   2.2076
21.0443    0.0232   0.6620   0.0329   2.1663
21.7502    0.0362   0.6558   0.0500   1.2042
19.6778    0.0075   1.4832   0.0118   2.5732
21.7207    0.0366   0.6211   0.0505   1.2017
20.8628    0.0207   0.6302   0.0295   2.4220
21.6234    0.0345   0.6496   0.0477   1.2169
21.6803    0.0355   0.6998   0.0491   1.2094
20.6535    0.0178   1.2076   0.0257   2.3702
21.0438    0.0240   0.6389   0.0339   1.2554
20.9323    0.0217   0.9386   0.0308   1.2701
21.4885    0.0314   0.6663   0.0437   1.2364
21.0653    0.0232   1.3783   0.0328   1.2816
20.8931    0.0214   0.7110   0.0304   2.2052
21.6473    0.0359   0.5496   0.0496   1.2068
21.2545    0.0262   0.6331   0.0369   2.2899
21.6386    0.0348   0.6397   0.0482   1.2145
20.9848    0.0228   0.7252   0.0323   1.2605
