#mag    e_mag    col1   e_col1    m_ini
22.6638    0.0804   1.1210   0.1046   2.0743
22.7666    0.0754   1.0146   0.0987   2.1237
22.3359    0.0623   1.0141   0.0828   2.2593
22.3393    0.0611   0.7421   0.0813   2.2710
22.2723    0.0595   0.7957   0.0793   2.2934
21.6662    0.0445   0.7466   0.0605   2.5284
22.4521    0.0697   0.9057   0.0917   1.2556
22.4870    0.0671   0.9363   0.0886   1.2720
21.9942    0.0495   0.8035   0.0669   2.4228
22.1255    0.0564   0.8321   0.0754   2.3163
22.8503    0.0788   0.7003   0.1027   1.2044
21.4884    0.0393   0.6973   0.0539   2.6307
21.5061    0.0393   0.6332   0.0540   2.6271
21.8900    0.0522   0.6326   0.0702   1.3887
21.2332    0.0340   0.6179   0.0471   2.7745
22.0254    0.0583   0.7398   0.0779   1.3353
21.8274    0.0456   0.6767   0.0620   2.4129
21.8051    0.0481   0.7138   0.0651   2.3690
22.1029    0.0520   0.7344   0.0700   1.3905
21.4549    0.0387   0.6824   0.0531   2.6534
22.1834    0.0567   0.7072   0.0758   1.3486
21.7903    0.0453   0.6039   0.0616   1.4572
21.5937    0.0416   0.5369   0.0569   1.4990
21.7545    0.0437   0.5438   0.0596   1.4746
21.2607    0.0345   0.6611   0.0477   2.7439
21.3347    0.0363   0.6457   0.0501   2.6989
21.3607    0.0365   0.6156   0.0504   2.6606
20.8335    0.0276   0.5862   0.0387   2.9404
21.4168    0.0372   0.5063   0.0513   1.5517
21.6470    0.0408   0.6921   0.0558   1.5084
20.9326    0.0272   0.5566   0.0382   2.9280
21.0162    0.0300   0.6132   0.0419   2.7478
21.3074    0.0338   0.4705   0.0468   1.5950
20.9196    0.0282   0.5104   0.0394   2.9462
21.5315    0.0405   0.5845   0.0555   1.5118
20.4680    0.0213   0.5548   0.0302   3.1806
20.9057    0.0273   0.5509   0.0383   1.6829
20.8103    0.0265   0.5347   0.0372   2.9318
21.0445    0.0310   0.5210   0.0431   1.6333
20.8668    0.0278   0.5955   0.0389   2.8453
20.8430    0.0269   0.5812   0.0377   2.8766
20.7705    0.0252   0.6046   0.0355   2.9575
20.1455    0.0176   0.6632   0.0252   3.1621
20.4369    0.0209   0.6093   0.0296   3.0388
20.3324    0.0202   0.7911   0.0287   1.7898
20.4239    0.0208   0.7447   0.0295   1.7805
20.2521    0.0192   0.6462   0.0274   3.1553
20.2443    0.0188   0.6116   0.0268   3.2207
19.7289    0.0137   1.5828   0.0196   3.2003
19.5184    0.0119   1.4064   0.0171   3.4317
19.4581    0.0115   1.3673   0.0165   3.4915
20.0208    0.0164   1.7949   0.0234   1.8213
20.0245    0.0164   1.8084   0.0234   1.8213
19.8726    0.0152   1.7753   0.0218   1.8505
19.0487    0.0088   1.5585   0.0125   3.5619
18.2629    0.0050   2.0828   0.0067   3.8293
