#mag    e_mag    col1   e_col1    m_ini
23.7599    0.1403   0.9532   0.1836   0.8668
22.9347    0.0880   0.7600   0.1318   1.7516
23.2022    0.0887   0.7532   0.1325   1.7479
23.0640    0.0921   1.0202   0.1361   1.7305
23.1138    0.0921   0.9757   0.1361   1.7305
23.0435    0.0872   1.0335   0.1310   1.7552
22.9592    0.0872   0.7766   0.1310   1.7552
23.0735    0.0915   0.8512   0.1355   1.7335
22.8019    0.0861   0.8363   0.1297   1.7611
22.9940    0.0887   0.7787   0.1325   1.7479
23.1391    0.0872   0.7231   0.1310   1.7552
22.9906    0.0915   1.0358   0.1355   1.7335
23.8389    0.1367   0.7488   0.1802   0.8732
23.6615    0.1226   0.6523   0.1669   0.9002
22.9905    0.0880   0.7937   0.1318   1.7516
23.1218    0.0887   0.8282   0.1325   1.7479
22.8492    0.0901   0.8421   0.1341   1.7406
22.5490    0.0704   0.6960   0.1124   1.8565
23.4339    0.1210   0.9400   0.1653   0.9034
22.2793    0.0607   0.7111   0.1011   1.9128
22.6364    0.0713   0.7623   0.1135   1.8519
22.5210    0.0680   0.5258   0.1097   1.8636
22.8506    0.0758   0.9381   0.1185   1.8112
23.0985    0.0849   0.8763   0.1284   1.7672
23.1409    0.0998   1.0169   0.1442   0.9495
23.1023    0.0987   0.9607   0.1430   0.9522
22.4598    0.0653   0.8540   0.1065   1.8915
22.3037    0.0621   0.7828   0.1028   1.9074
22.5842    0.0677   0.7482   0.1094   1.8583
22.5128    0.0665   0.7532   0.1079   1.8549
22.8491    0.0799   0.7219   0.1230   1.7978
23.0460    0.0920   0.8900   0.1361   0.9685
23.0613    0.0892   0.7780   0.1331   0.9756
23.4099    0.1012   0.8864   0.1456   0.9464
22.4905    0.0698   0.8463   0.1118   1.8393
22.8003    0.0809   0.8219   0.1241   1.7867
22.8445    0.0809   0.5894   0.1241   1.7867
22.8857    0.0799   0.6208   0.1230   1.0001
22.9187    0.0892   0.6773   0.1331   0.9756
22.6301    0.0708   0.6942   0.1129   1.8346
23.5105    0.1132   0.9682   0.1576   0.9198
22.6696    0.0708   0.6136   0.1129   1.8346
22.5767    0.0682   0.7121   0.1099   1.8561
23.4402    0.1075   0.9628   0.1520   0.9320
22.5741    0.0708   0.6848   0.1129   1.8346
22.4709    0.0650   0.5841   0.1063   1.8614
22.4399    0.0689   0.8152   0.1107   1.8438
22.6265    0.0723   0.7049   0.1146   1.8276
22.7128    0.0728   0.7277   0.1152   1.8327
22.4602    0.0613   0.8139   0.1018   1.9063
22.6204    0.0693   0.8387   0.1112   1.8416
23.3172    0.1103   0.6926   0.1548   0.9260
23.5483    0.1075   0.6903   0.1520   0.9320
22.1917    0.0591   0.8023   0.0992   1.9261
22.1014    0.0524   0.8073   0.0911   1.9877
23.1325    0.0930   0.2995   0.1371   0.9662
22.7514    0.0803   0.6243   0.1235   1.7897
23.1397    0.0930   0.8301   0.1371   0.9662
22.6942    0.0703   0.9720   0.1123   1.8370
22.8276    0.0827   0.7723   0.1261   0.9924
22.8497    0.0796   0.8548   0.1228   1.7927
22.4486    0.0673   0.8343   0.1089   1.8605
22.4951    0.0713   0.6356   0.1135   1.8323
22.5204    0.0672   0.8187   0.1088   1.8789
22.9966    0.0849   0.8471   0.1284   1.7672
22.6376    0.0684   0.8680   0.1101   1.8687
22.5746    0.0705   0.6854   0.1125   1.8541
23.0119    0.1016   0.8449   0.1461   0.9453
23.2277    0.0957   0.8410   0.1399   0.9594
23.4014    0.1178   0.5576   0.1622   0.9100
23.1064    0.0866   0.6520   0.1303   0.9823
22.6295    0.0659   0.7175   0.1072   1.8575
22.3936    0.0610   0.7903   0.1015   1.9122
23.1561    0.0892   0.6932   0.1331   0.9756
22.9032    0.0829   0.8345   0.1263   1.7770
22.9967    0.0920   0.5935   0.1361   0.9685
23.5887    0.1194   0.5959   0.1638   0.9067
22.7562    0.0784   0.8635   0.1214   1.7987
22.1612    0.0548   0.8544   0.0941   1.9689
22.7479    0.0749   0.8533   0.1175   1.8196
22.4771    0.0656   0.7038   0.1069   1.8850
22.7091    0.0796   0.6480   0.1228   1.7927
23.2435    0.1089   0.7932   0.1534   0.9290
23.0040    0.0930   0.7043   0.1371   0.9662
23.4857    0.1163   0.5810   0.1607   0.9132
22.9323    0.0835   0.8300   0.1270   1.7737
22.6484    0.0703   0.9061   0.1123   1.8370
23.1006    0.0969   0.8543   0.1412   0.9565
22.7732    0.0799   0.7827   0.1230   1.0001
23.3603    0.1210   0.8770   0.1653   0.9034
22.5624    0.0666   0.8703   0.1080   1.8678
22.9492    0.0808   0.4889   0.1240   0.9976
23.2823    0.0939   0.7938   0.1380   0.9638
22.4478    0.0619   0.7479   0.1026   1.9157
22.8911    0.0803   0.7512   0.1235   1.7897
22.5073    0.0650   0.7696   0.1062   1.8796
22.9782    0.0939   0.5833   0.1380   0.9638
22.5049    0.0686   0.8326   0.1104   1.8682
22.7422    0.0790   0.6665   0.1221   1.7957
23.3197    0.1003   0.6814   0.1447   0.9485
22.7631    0.0753   1.0226   0.1180   1.8133
22.1978    0.0573   0.6578   0.0970   1.8978
22.4164    0.0624   0.6933   0.1031   1.8739
21.6943    0.0413   0.7775   0.0769   2.0064
21.9165    0.0464   0.5147   0.0835   2.0351
22.3442    0.0597   0.7951   0.1000   1.9130
22.1555    0.0545   0.6008   0.0936   1.9107
22.1030    0.0494   0.6844   0.0873   1.9326
22.2495    0.0568   0.6127   0.0965   1.0688
22.5345    0.0660   0.4807   0.1074   1.0410
22.1173    0.0512   0.6644   0.0896   1.9974
21.7497    0.0411   0.6982   0.0766   1.9641
22.1573    0.0525   0.6929   0.0912   1.0811
22.7533    0.0776   0.7442   0.1205   1.0063
21.5428    0.0347   0.5876   0.0679   2.1423
21.8110    0.0442   0.5655   0.0806   1.9641
22.4964    0.0647   0.6013   0.1059   1.0449
22.2132    0.0532   0.6896   0.0921   1.0790
21.9860    0.0488   0.5786   0.0866   1.9351
22.2376    0.0568   0.5788   0.0965   1.0688
22.3887    0.0599   0.6668   0.1002   1.0596
21.9488    0.0459   0.5625   0.0829   1.0997
22.5235    0.0677   0.7925   0.1093   1.0358
22.4282    0.0609   0.7606   0.1014   1.0566
21.6655    0.0384   0.6992   0.0730   2.0756
21.9591    0.0468   0.7656   0.0840   1.9428
22.1104    0.0517   0.5218   0.0902   1.0832
22.3518    0.0638   0.7039   0.1048   1.8672
22.5137    0.0654   0.6018   0.1067   1.0427
22.0498    0.0513   0.4959   0.0897   1.9294
21.7559    0.0440   0.5988   0.0805   1.9678
22.2913    0.0574   0.7478   0.0972   1.0670
22.7346    0.0756   0.6409   0.1183   1.0120
22.3576    0.0624   0.6100   0.1031   1.0521
22.5951    0.0682   0.5905   0.1100   1.0340
22.2046    0.0525   0.4999   0.0912   1.0811
22.1081    0.0507   0.5615   0.0890   1.9271
22.1632    0.0532   0.6233   0.0921   1.0790
21.8599    0.0470   0.6462   0.0843   2.0024
22.1565    0.0545   0.5826   0.0937   1.9642
22.2185    0.0525   0.6870   0.0912   1.0811
22.2094    0.0526   0.6748   0.0913   1.9192
22.1505    0.0534   0.6289   0.0923   1.9337
21.5893    0.0376   0.6580   0.0720   2.0795
21.8971    0.0462   0.6045   0.0833   1.9913
22.2965    0.0580   0.5337   0.0979   1.0651
21.6206    0.0389   0.5259   0.0737   2.1028
22.0836    0.0522   0.7703   0.0908   1.9829
22.6001    0.0682   0.7169   0.1100   1.0340
22.2477    0.0563   0.7726   0.0959   1.0703
22.1645    0.0547   0.8022   0.0939   1.9638
22.4198    0.0628   0.6274   0.1036   1.8720
21.7780    0.0430   0.5409   0.0791   1.9569
22.0584    0.0498   0.8607   0.0879   1.9307
22.7796    0.0796   0.8728   0.1227   1.0010
22.1988    0.0532   0.6680   0.0921   1.0790
22.2486    0.0616   0.6718   0.1022   1.8777
22.0331    0.0496   0.5025   0.0876   1.0892
21.7566    0.0423   0.6929   0.0782   2.0740
22.6118    0.0706   0.7126   0.1127   1.0269
22.5984    0.0706   0.8446   0.1127   1.0269
22.0028    0.0496   0.6941   0.0876   1.0892
21.9509    0.0475   0.7711   0.0850   1.0951
22.3216    0.0559   0.7230   0.0953   1.9489
21.9549    0.0440   0.5428   0.0805   1.9899
22.0226    0.0475   0.6584   0.0850   1.0951
21.9738    0.0478   0.7929   0.0853   2.0260
22.8268    0.0776   0.6684   0.1205   1.0063
22.5029    0.0624   0.7521   0.1031   1.8739
22.7468    0.0718   0.7703   0.1140   1.0232
22.3409    0.0612   0.6479   0.1017   1.8796
22.3654    0.0586   0.6074   0.0987   1.0633
22.2881    0.0584   0.8097   0.0984   1.8925
21.6086    0.0383   0.6286   0.0728   2.1004
22.5051    0.0650   0.6155   0.1063   1.0439
22.2022    0.0525   0.5023   0.0912   1.0811
22.1261    0.0510   0.6617   0.0893   1.0853
22.3189    0.0574   0.4634   0.0972   1.0670
22.1524    0.0521   0.7774   0.0907   1.9425
22.6436    0.0706   0.5770   0.1127   1.0269
21.7771    0.0430   0.6225   0.0791   1.9569
22.2453    0.0539   0.5090   0.0930   1.0769
21.9530    0.0469   0.6543   0.0841   1.0970
22.0945    0.0517   0.7493   0.0902   1.9927
21.5122    0.0372   0.5578   0.0714   2.0963
21.3873    0.0321   1.2844   0.0643   1.1377
20.2125    0.0136   1.4979   0.0357   1.1475
21.5082    0.0358   1.1782   0.0695   1.1327
17.0085   -0.0043   2.6198  -0.0027   2.0295
21.6789    0.0398   0.6493   0.0748   1.1151
19.0469    0.0036   1.5326   0.0167   1.1641
21.4253    0.0347   0.9085   0.0680   1.1296
21.1334    0.0274   0.7722   0.0576   2.1955
19.1796    0.0044   1.4648   0.0185   1.1600
21.5079    0.0355   0.8774   0.0690   1.1253
21.3429    0.0318   0.5775   0.0639   2.1089
21.2248    0.0309   1.3027   0.0626   1.1384
19.2218    0.0047   1.4905   0.0191   1.1574
21.3791    0.0323   0.6605   0.0646   2.0917
21.5154    0.0364   0.8699   0.0703   1.1231
21.8757    0.0443   0.7173   0.0809   1.1036
21.8980    0.0452   0.6947   0.0819   1.1016
21.8213    0.0452   0.5396   0.0819   1.1016
21.1056    0.0265   1.3630   0.0562   1.1408
21.5221    0.0363   0.7319   0.0701   1.1234
20.1219    0.0126   1.5969   0.0339   1.1480
21.6209    0.0383   0.6945   0.0729   1.1185
21.5299    0.0359   1.1345   0.0695   1.1338
21.8565    0.0452   0.5148   0.0819   1.1016
21.4080    0.0332   1.3772   0.0659   1.1370
21.3493    0.0315   0.7890   0.0635   2.0458
21.1539    0.0281   0.6791   0.0585   2.1539
21.3037    0.0316   0.9321   0.0636   2.0481
