#mag    e_mag    col1   e_col1    m_ini
23.2709    0.0843   1.0860   0.1288   1.7538
23.2535    0.0823   0.8104   0.1260   1.7657
23.1801    0.0833   0.7450   0.1275   1.7593
23.3055    0.0841   1.0784   0.1285   1.7549
23.2166    0.0808   0.8083   0.1241   1.7743
23.2444    0.0836   1.0360   0.1278   1.7578
23.2816    0.0840   0.8700   0.1283   1.7556
23.2862    0.0841   0.9680   0.1285   1.7549
23.2664    0.0815   0.9024   0.1250   1.7700
23.3227    0.0815   0.9503   0.1250   1.7700
22.8711    0.0712   0.9976   0.1110   1.8292
23.6163    0.0995   0.8962   0.1489   0.9455
23.0166    0.0746   0.9074   0.1157   1.8140
22.9130    0.0651   0.9061   0.1025   1.8635
23.2286    0.0800   1.0722   0.1230   1.7786
23.3281    0.0908   0.6899   0.1374   0.9690
22.8844    0.0657   0.9231   0.1033   1.8604
23.2041    0.0785   1.1526   0.1210   1.7873
23.0517    0.0710   0.9020   0.1106   1.8335
22.8733    0.0635   0.8508   0.1003   1.8726
22.9190    0.0694   0.9233   0.1084   1.8397
23.4497    0.0946   0.9701   0.1425   0.9585
22.8383    0.0687   0.7414   0.1075   1.8432
23.2072    0.0848   0.9218   0.1295   0.9862
22.6807    0.0651   0.8576   0.1025   1.8635
22.9344    0.0696   1.0666   0.1087   1.8494
22.7888    0.0661   0.8608   0.1039   1.8690
23.4001    0.0874   0.7665   0.1329   0.9785
22.9620    0.0678   0.7840   0.1062   1.8628
23.3061    0.0946   0.9147   0.1425   0.9585
22.7963    0.0641   0.8538   0.1010   1.8696
22.8528    0.0687   0.8932   0.1075   1.8432
22.9057    0.0741   0.9023   0.1150   1.8126
22.7637    0.0641   0.8387   0.1010   1.8696
23.7754    0.1059   0.7734   0.1573   0.9292
23.3828    0.0908   0.8098   0.1374   0.9690
22.9465    0.0689   0.7859   0.1078   1.8515
23.3413    0.0808   0.8164   0.1241   0.9983
23.5836    0.1051   0.8312   0.1562   0.9313
22.8995    0.0700   0.8453   0.1093   1.8362
22.8464    0.0703   0.7565   0.1097   1.8432
23.0820    0.0772   0.8561   0.1192   1.7951
23.1989    0.0800   0.8176   0.1230   1.7786
22.9423    0.0725   0.8640   0.1127   1.8222
22.7325    0.0606   0.9020   0.0962   1.9070
22.9792    0.0775   0.7862   0.1196   1.7934
23.0130    0.0749   0.9557   0.1161   1.8079
22.7756    0.0676   0.7232   0.1060   1.8653
23.1974    0.0858   0.7713   0.1308   0.9831
23.5754    0.1004   0.7834   0.1501   0.9431
22.9200    0.0711   0.7860   0.1109   1.8321
23.2576    0.0871   0.7387   0.1325   0.9794
23.4042    0.0908   0.6946   0.1374   0.9690
23.1762    0.0725   0.8301   0.1127   1.8222
22.7030    0.0634   0.7355   0.1001   1.8968
22.7495    0.0635   1.0226   0.1003   1.8726
23.4033    0.0920   0.7156   0.1391   0.9655
22.8442    0.0687   0.8166   0.1075   1.8432
23.2602    0.0838   0.5909   0.1281   0.9892
22.8102    0.0687   0.7850   0.1075   1.8432
22.5322    0.0575   0.6349   0.0918   1.9451
23.6582    0.1166   0.9773   0.1710   0.9044
23.4303    0.0908   0.5396   0.1374   0.9690
22.8918    0.0681   0.8045   0.1067   1.8467
23.4215    0.0908   1.1722   0.1374   0.9690
23.6856    0.1022   0.7396   0.1525   0.9384
