#mag    e_mag    col1   e_col1    m_ini
22.1553    0.1560  -0.2033   0.1886   1.2607
21.3525    0.1037   0.4718   0.1333   2.4536
21.6529    0.1015   0.1672   0.1309   2.4766
21.5173    0.1053   0.3092   0.1350   2.4377
21.4853    0.1029   0.1226   0.1324   2.4616
21.3013    0.0979   0.1683   0.1270   2.5168
22.0350    0.1462   0.0995   0.1783   1.2979
22.0776    0.1325   0.1448   0.1640   1.3591
22.0348    0.1400   0.0466   0.1718   1.3244
21.5613    0.1271   0.1900   0.1582   1.3869
21.3952    0.0923   0.2456   0.1211   2.5819
21.3317    0.0918   0.3399   0.1204   2.5910
21.3354    0.0958  -0.0122   0.1248   2.5403
21.5349    0.0952  -0.0160   0.1242   2.5472
21.4870    0.0946  -0.0857   0.1235   2.5542
21.1668    0.0857  -0.1029   0.1139   2.6793
21.2034    0.0950   0.2380   0.1239   2.5503
21.1962    0.0932   0.3196   0.1220   2.5732
21.8521    0.1246   0.2277   0.1555   1.4004
21.1554    0.0858   0.1825   0.1139   2.6686
21.1709    0.0832   0.1211   0.1112   2.7048
21.1323    0.0880   0.0236   0.1164   2.6374
21.7892    0.1209  -0.0770   0.1517   1.4216
21.2974    0.0850   0.0465   0.1131   2.6859
21.0561    0.0836   0.0134   0.1116   2.6988
21.1146    0.0834   0.0584   0.1114   2.7018
21.8713    0.1146  -0.3059   0.1450   1.4607
21.4705    0.1175  -0.1180   0.1481   1.4422
21.1804    0.0840   0.1048   0.1120   2.7017
21.2296    0.0888   0.0106   0.1173   2.6268
21.8494    0.1227   0.2099   0.1536   1.4110
21.5727    0.1108   0.0126   0.1409   1.4859
21.2924    0.0886   0.0904   0.1170   2.6304
21.3402    0.0860   0.1363   0.1142   2.6648
21.3128    0.0886   0.1739   0.1170   2.6304
21.7488    0.1186   0.0947   0.1493   1.4354
21.7825    0.1087   0.0571   0.1387   1.5011
21.6733    0.1175   0.0916   0.1481   1.4422
21.5475    0.1055  -0.0391   0.1353   1.5243
21.0390    0.0696   0.0125   0.0961   2.9753
21.6354    0.0959  -0.0327   0.1249   1.5990
21.4385    0.1082   0.0566   0.1381   1.5050
20.9759    0.0729  -0.1178   0.0998   2.9131
21.0662    0.0774  -0.1374   0.1048   2.8042
20.8242    0.0713   0.0205   0.0981   2.9439
20.8762    0.0730   0.1003   0.0999   2.9065
20.7077    0.0634   0.0544   0.0893   3.1445
21.4634    0.0982   0.0986   0.1274   1.5799
20.9116    0.0762  -0.1133   0.1034   2.8258
21.6069    0.1050   0.3256   0.1347   1.5281
20.9668    0.0758  -0.0810   0.1030   2.8374
21.3615    0.1025  -0.0579   0.1320   1.5465
21.4781    0.1002   0.0145   0.1295   1.5646
21.4571    0.1008   0.0758   0.1302   1.5595
21.3579    0.1015  -0.1285   0.1309   1.5544
20.9745    0.0744   0.1028   0.1014   2.8542
20.8332    0.0669   0.0252   0.0932   3.0546
20.8926    0.0713   0.0341   0.0981   2.9505
21.6872    0.0972  -0.1376   0.1264   1.5879
20.8936    0.0705  -0.1746   0.0971   2.9095
20.7659    0.0667   0.0311   0.0930   3.0382
21.1068    0.0865  -0.2642   0.1147   1.6809
21.2438    0.0922  -0.1831   0.1209   1.6309
20.7464    0.0690   0.0169   0.0955   2.9692
20.7782    0.0652  -0.0984   0.0913   3.0802
20.9384    0.0739  -0.0512   0.1009   2.8499
21.3356    0.0883  -0.1449   0.1167   1.6646
21.2094    0.0860  -0.0184   0.1142   1.6855
21.0735    0.0865  -0.0225   0.1147   1.6809
20.7025    0.0651  -0.0466   0.0912   3.0791
21.3209    0.0914  -0.2920   0.1200   1.6379
20.7791    0.0667   0.0417   0.0930   3.0076
20.7149    0.0606  -0.1204   0.0862   3.2066
20.5699    0.0606  -0.1745   0.0862   3.2175
21.0930    0.0776  -0.2821   0.1050   1.7651
20.9153    0.0746  -0.1307   0.1017   1.7942
20.9811    0.0770  -0.0506   0.1043   1.7709
20.7160    0.0637  -0.1548   0.0896   3.0225
20.7126    0.0621   0.0466   0.0879   3.1443
20.9042    0.0746  -0.1690   0.1017   1.7942
20.3270    0.0528  -0.1762   0.0774   3.4449
20.2734    0.0515  -0.0771   0.0759   3.4954
21.1204    0.0801  -0.1808   0.1078   1.7405
21.0169    0.0751  -0.0611   0.1023   1.7884
20.6946    0.0642  -0.2989   0.0902   3.0203
21.0363    0.0776  -0.1527   0.1050   1.7651
20.9129    0.0770  -0.0933   0.1043   1.7709
20.3357    0.0538  -0.2285   0.0786   3.4066
20.4914    0.0586  -0.1425   0.0839   3.2337
20.5653    0.0591  -0.1675   0.0845   3.2019
20.6340    0.0613  -0.0505   0.0869   3.1231
