#mag    e_mag    col1   e_col1    m_ini
23.0449    0.0673   0.9860   0.0971   1.8937
22.9209    0.0619   0.9704   0.0889   1.9286
23.0731    0.0719   1.0820   0.1040   1.8648
22.8166    0.0532   0.8544   0.0760   1.9879
22.7678    0.0524   0.6859   0.0747   1.9942
22.4391    0.0420   0.7360   0.0594   2.0780
22.7209    0.0472   0.6229   0.0670   1.1860
22.2496    0.0360   0.5119   0.0507   1.2687
22.1432    0.0311   0.5786   0.0437   2.1945
22.3325    0.0367   0.5533   0.0517   1.2621
22.3041    0.0389   0.4171   0.0549   1.2437
21.7407    0.0245   0.4408   0.0342   2.3162
22.0276    0.0300   0.4535   0.0421   1.3309
21.6160    0.0221   0.5296   0.0307   2.4831
21.7838    0.0246   0.3788   0.0343   1.4069
21.6904    0.0238   0.3502   0.0332   1.4194
21.1574    0.0166   0.3974   0.0231   2.7146
20.9512    0.0146   0.3849   0.0204   2.7710
21.1763    0.0168   0.2826   0.0234   1.5653
20.7452    0.0129   0.3426   0.0181   2.8584
20.9049    0.0142   0.2821   0.0197   1.6382
19.9441    0.0089   0.3902   0.0126   3.3162
20.6048    0.0121   0.3176   0.0170   1.7029
19.7311    0.0081   1.5205   0.0117   1.8530
19.2105    0.0069   1.5607   0.0101   1.9360
