#mag    e_mag    col1   e_col1    m_ini
22.2470    0.0698   0.9054   0.1143   1.9555
22.1569    0.0689   0.9596   0.1132   1.9650
22.1497    0.0694   0.8885   0.1139   1.9585
22.0362    0.0641   0.7250   0.1068   2.0051
22.5658    0.0865   0.7077   0.1354   1.0494
21.8346    0.0578   0.6916   0.0984   2.0618
22.3767    0.0758   0.6693   0.1220   1.0963
22.4177    0.0792   0.7572   0.1264   1.0804
21.7530    0.0576   0.7167   0.0980   2.0843
21.8422    0.0580   0.7701   0.0987   2.0792
21.5450    0.0492   0.7186   0.0864   2.1926
21.9311    0.0623   0.6538   0.1045   2.0210
21.5972    0.0518   0.6925   0.0900   2.1209
21.6345    0.0523   0.6990   0.0907   2.1156
21.3571    0.0453   0.5855   0.0808   2.2518
21.4848    0.0482   0.6959   0.0850   2.1579
21.9450    0.0644   0.6293   0.1073   1.1573
22.0599    0.0700   0.6919   0.1146   1.1259
21.5061    0.0534   0.5749   0.0923   2.1248
21.4141    0.0450   0.4782   0.0803   2.2349
21.8757    0.0594   0.7365   0.1006   1.1888
21.4283    0.0470   0.7956   0.0833   2.1815
20.8676    0.0344   0.6357   0.0644   2.4445
21.1225    0.0389   0.5684   0.0713   2.2941
21.4264    0.0453   0.5056   0.0808   1.3040
21.1419    0.0398   0.5997   0.0727   2.2786
21.2271    0.0407   0.5123   0.0740   2.2817
21.5463    0.0510   0.4938   0.0889   1.2521
20.9526    0.0351   0.4625   0.0654   2.4203
21.2092    0.0417   0.5661   0.0755   2.2507
21.4709    0.0457   0.5919   0.0813   2.1871
21.2923    0.0433   0.5565   0.0778   2.2163
21.3368    0.0437   0.6478   0.0785   2.2347
21.4755    0.0484   0.3691   0.0852   1.2755
21.6155    0.0539   0.4646   0.0930   1.2288
21.4847    0.0477   0.3488   0.0842   1.2813
21.1214    0.0387   0.5515   0.0710   2.3307
21.7120    0.0547   0.4259   0.0941   1.2229
21.5245    0.0510   0.5841   0.0889   1.2521
21.1184    0.0374   0.5377   0.0689   2.3447
21.3232    0.0462   0.4510   0.0821   2.1813
20.6077    0.0285   0.4698   0.0549   2.6085
21.0746    0.0371   0.3802   0.0686   1.3967
20.8819    0.0331   0.4742   0.0623   2.4092
21.0017    0.0381   0.3172   0.0700   1.3852
20.9997    0.0362   0.4789   0.0672   2.3663
21.1248    0.0374   0.4432   0.0690   1.3931
21.3410    0.0443   0.4933   0.0793   1.3146
20.6864    0.0301   0.5803   0.0576   2.5575
20.5345    0.0271   0.5398   0.0527   2.6567
20.9681    0.0363   0.3989   0.0673   1.4068
21.2796    0.0401   0.4712   0.0731   1.3603
20.9742    0.0350   0.5180   0.0653   2.3907
21.0141    0.0374   0.3191   0.0690   1.3931
21.3054    0.0448   0.4721   0.0800   1.3093
21.0303    0.0368   0.4332   0.0681   2.3434
20.7387    0.0306   0.3981   0.0584   2.5092
21.3011    0.0428   0.3538   0.0770   1.3306
20.2356    0.0227   0.4246   0.0453   2.8111
20.7974    0.0320   0.3246   0.0605   1.4650
20.5122    0.0269   0.4923   0.0523   2.6437
20.8509    0.0323   0.3068   0.0611   1.4601
20.4958    0.0266   0.3276   0.0518   2.5911
20.4531    0.0257   0.4021   0.0504   2.6089
20.7596    0.0317   0.3063   0.0601   1.4691
20.5159    0.0271   0.3694   0.0527   2.5785
20.5470    0.0270   0.4521   0.0525   2.5439
20.4768    0.0260   0.4394   0.0508   2.6249
20.6601    0.0292   0.2881   0.0561   1.5048
20.7535    0.0308   0.3411   0.0587   1.4809
20.9043    0.0341   0.3199   0.0639   1.4356
20.0748    0.0201   0.3360   0.0408   2.9057
20.5660    0.0283   0.3713   0.0547   1.5174
20.5969    0.0279   0.3437   0.0541   1.5231
20.1810    0.0219   0.3697   0.0439   2.7429
20.4160    0.0255   0.2541   0.0500   1.5592
19.7825    0.0166   0.3021   0.0344   3.0641
19.7917    0.0165   0.3046   0.0342   3.0380
20.4204    0.0250   0.2940   0.0491   1.5672
20.2476    0.0227   0.2332   0.0452   1.6024
20.2215    0.0222   0.4853   0.0444   2.6946
20.2941    0.0229   0.3690   0.0455   1.5997
20.4808    0.0262   0.2705   0.0512   1.5489
20.2235    0.0220   0.4216   0.0441   2.7781
19.5827    0.0146   0.3612   0.0306   2.9899
19.6380    0.0148   0.4118   0.0311   2.8850
19.7796    0.0165   0.4187   0.0343   2.9785
19.2200    0.0111   0.3139   0.0239   3.3108
20.0098    0.0192   0.3175   0.0391   1.6549
20.0725    0.0202   0.3635   0.0408   1.6401
20.2409    0.0219   0.2988   0.0440   1.6132
19.7566    0.0161   0.3631   0.0334   2.8609
19.0441    0.0095   0.3200   0.0207   3.3851
20.1552    0.0212   0.3974   0.0426   1.6249
19.3247    0.0120   0.3890   0.0256   3.2047
19.1749    0.0105   1.4886   0.0227   1.7635
19.2668    0.0115   0.3834   0.0246   3.1247
18.5623    0.0062   1.0223   0.0136   3.4732
18.6682    0.0069   1.0174   0.0150   3.4355
19.4690    0.0130   0.4772   0.0275   3.0092
19.1312    0.0102   0.3622   0.0219   3.3117
19.6980    0.0156   0.4737   0.0326   1.7094
18.8969    0.0084   1.2090   0.0182   3.2201
18.8722    0.0082   1.0845   0.0179   3.3128
18.5798    0.0064   1.1929   0.0139   3.3587
18.3342    0.0050   1.5458   0.0107   1.8789
18.2911    0.0047   1.5924   0.0102   1.8835
18.6613    0.0070   1.2590   0.0152   3.2168
