#mag    e_mag    col1   e_col1    m_ini
22.8445    0.1115   1.1512   0.1578   0.9622
22.6585    0.1012   0.6715   0.1466   0.9876
21.9725    0.0679   0.9431   0.1084   1.9345
22.0159    0.0679   0.8326   0.1084   1.9345
22.6499    0.0951   1.0372   0.1400   1.0035
22.4183    0.0782   1.0819   0.1208   1.8698
22.8389    0.1000   0.9602   0.1453   0.9907
22.2859    0.0761   1.2268   0.1183   1.8831
22.0784    0.0675   1.0729   0.1080   1.9366
22.2625    0.0786   1.0864   0.1212   1.8673
23.0500    0.1071   0.7449   0.1531   0.9726
22.3695    0.0786   0.9712   0.1212   1.8673
21.7238    0.0594   1.1495   0.0978   1.9872
22.1122    0.0693   1.0761   0.1101   1.0851
22.0404    0.0669   0.9962   0.1071   1.9408
22.3474    0.0878   1.0922   0.1318   1.0243
21.7168    0.0547   0.9274   0.0918   2.0482
21.8523    0.0604   0.9483   0.0991   1.9969
21.4411    0.0437   0.7997   0.0770   2.1626
22.2114    0.0700   0.7924   0.1109   1.0826
21.9796    0.0601   0.8656   0.0987   1.9831
21.4228    0.0458   0.9125   0.0800   2.1295
22.3751    0.0767   0.6331   0.1190   1.0590
21.7234    0.0529   0.7654   0.0894   2.0296
21.6337    0.0524   0.8561   0.0888   2.0328
21.8167    0.0605   0.8706   0.0992   1.9982
21.7571    0.0543   0.7515   0.0913   2.0517
21.7534    0.0545   0.7772   0.0916   2.0186
21.5672    0.0470   0.8117   0.0816   2.1193
22.0393    0.0606   0.8178   0.0993   1.9824
21.7420    0.0534   0.8745   0.0901   2.0260
21.6041    0.0528   0.9602   0.0893   2.0472
21.7754    0.0572   0.6810   0.0951   2.0009
21.6792    0.0530   0.8508   0.0896   2.0284
21.2064    0.0384   0.7708   0.0696   2.2287
21.9604    0.0594   0.8404   0.0978   1.1269
21.6351    0.0520   0.7078   0.0883   1.1651
21.8080    0.0599   0.7008   0.0984   1.1247
21.3224    0.0413   0.8192   0.0737   2.1768
21.9588    0.0629   0.5656   0.1023   1.1107
21.5419    0.0474   0.7747   0.0821   1.1895
21.8506    0.0590   0.7214   0.0973   1.1291
21.4751    0.0465   0.7675   0.0809   1.1936
21.1183    0.0363   0.8225   0.0666   2.2458
21.6794    0.0531   0.7253   0.0897   1.1591
21.6830    0.0542   0.8116   0.0912   1.1531
21.7658    0.0526   0.9548   0.0890   1.1621
21.6112    0.0515   0.6793   0.0875   1.1681
20.8801    0.0319   0.7516   0.0601   2.3296
21.1356    0.0361   0.8111   0.0663   2.2602
21.2849    0.0392   0.7467   0.0707   2.1326
21.5444    0.0501   0.7853   0.0857   1.1761
21.2254    0.0402   0.7426   0.0722   2.1864
21.8291    0.0578   0.6993   0.0958   1.1346
21.6054    0.0510   0.7618   0.0869   1.1710
21.3707    0.0437   0.8650   0.0771   2.1257
21.6371    0.0556   0.8502   0.0930   1.1457
20.6047    0.0260   0.8642   0.0510   2.3680
20.6603    0.0276   1.7382   0.0535   1.3051
20.7082    0.0272   1.5610   0.0528   1.3056
21.2218    0.0383   0.7604   0.0694   1.2231
21.1318    0.0380   0.6885   0.0690   1.2246
21.3930    0.0431   0.6782   0.0762   1.2108
20.5723    0.0261   0.7474   0.0511   2.3929
20.5347    0.0244   0.8595   0.0483   2.3909
21.2019    0.0383   0.7490   0.0694   1.2231
20.4766    0.0233   1.0510   0.0466   2.5052
20.7537    0.0292   1.0768   0.0560   2.2136
20.3760    0.0217   0.6061   0.0439   2.4676
20.1839    0.0191   0.9945   0.0396   2.5501
21.3158    0.0431   0.8044   0.0762   1.2108
20.6081    0.0261   1.0737   0.0511   2.3408
20.8721    0.0320   0.8880   0.0602   1.2599
20.5085    0.0241   0.8441   0.0479   2.4013
21.3349    0.0419   0.7207   0.0746   1.2147
21.2376    0.0403   0.8835   0.0723   1.2190
21.3448    0.0412   0.5813   0.0735   1.2173
17.9970    0.0021   2.2658   0.0052   2.4875
17.8408    0.0015   2.4663   0.0037   1.3320
18.5446    0.0046   1.9621   0.0112   1.3397
18.4657    0.0041   1.9526   0.0102   2.2887
20.0965    0.0179   1.4422   0.0374   2.4735
19.7085    0.0135   1.7027   0.0295   2.3987
16.6678   -0.0015   3.0423  -0.0049   2.4141
