#mag    e_mag    col1   e_col1    m_ini
22.1538    0.0800   0.8955   0.1043   2.3385
22.1417    0.0817   0.8649   0.1063   2.3270
22.1230    0.0734   0.6958   0.0967   2.3847
22.1423    0.0782   0.8324   0.1023   2.3501
22.0549    0.0782   0.8183   0.1023   2.3501
22.3329    0.0985   0.5864   0.1254   1.2977
22.4024    0.1116   0.6866   0.1400   1.2607
21.9749    0.0717   0.8032   0.0947   2.3963
21.8018    0.0627   0.6508   0.0841   2.4695
22.2572    0.0985   0.6337   0.1254   1.2977
22.0496    0.0664   0.6545   0.0885   2.4408
22.5969    0.1285   0.7096   0.1585   1.2212
22.5190    0.1060   0.4260   0.1338   1.2755
22.1152    0.0667   0.8200   0.0889   2.4316
21.8562    0.0630   0.7730   0.0844   2.4612
21.9226    0.0667   0.6477   0.0889   2.4316
21.9810    0.0639   0.7811   0.0855   2.4538
21.7694    0.0612   0.6598   0.0823   2.4760
21.5406    0.0499   0.5903   0.0686   2.6102
21.5668    0.0554   0.6265   0.0753   2.5361
21.8189    0.0612   0.6096   0.0823   2.4760
22.2575    0.0939   0.6134   0.1202   1.3125
22.0414    0.0765   0.6390   0.1004   1.3792
21.9959    0.0800   0.8742   0.1043   1.3644
21.4925    0.0465   0.6357   0.0644   2.6621
21.5609    0.0546   0.6700   0.0744   2.5352
21.4303    0.0457   0.5569   0.0634   2.6769
22.1941    0.0855   0.7181   0.1107   1.3421
21.6862    0.0528   0.6537   0.0721   2.5806
21.6118    0.0525   0.7176   0.0717   2.5575
22.1200    0.0836   0.6444   0.1085   1.3496
21.5870    0.0526   0.7049   0.0719   2.5806
21.8789    0.0782   0.4177   0.1023   1.3718
21.5809    0.0498   0.6212   0.0684   2.5871
22.0036    0.0706   0.2542   0.0935   1.4088
21.7641    0.0557   0.4258   0.0756   1.5065
21.5443    0.0492   0.4789   0.0677   2.5986
21.1579    0.0361   0.4738   0.0512   2.8643
21.2933    0.0417   0.5528   0.0584   2.7435
21.2131    0.0360   0.6065   0.0511   2.8694
21.3405    0.0427   0.5141   0.0596   2.7065
21.4031    0.0456   0.5933   0.0632   2.6389
