#mag    e_mag    col1   e_col1    m_ini
22.6720    0.0711   1.5022   0.1192   1.9436
22.7854    0.0773   1.4098   0.1267   1.9043
23.0949    0.0852   1.1205   0.1359   1.0700
22.8609    0.0812   1.0046   0.1314   1.0834
22.3411    0.0553   1.0807   0.0987   2.0796
22.5664    0.0625   1.3090   0.1084   2.0029
22.1389    0.0467   0.9430   0.0865   2.1339
22.1635    0.0518   1.0483   0.0938   2.0876
22.6499    0.0651   0.8652   0.1117   1.1491
21.9455    0.0421   1.0255   0.0796   2.2442
21.9690    0.0422   0.9620   0.0796   2.1808
22.2184    0.0475   0.8709   0.0877   1.2546
21.3326    0.0281   0.7806   0.0555   2.5495
21.3932    0.0296   0.8233   0.0583   2.5026
21.8608    0.0397   1.1426   0.0756   2.2245
21.4479    0.0314   0.8279   0.0617   2.4556
21.1452    0.0258   0.7135   0.0511   2.6202
21.6118    0.0330   0.6707   0.0645   1.4058
21.1601    0.0256   0.7267   0.0507   2.6068
21.6742    0.0350   0.6484   0.0679   1.3790
21.1744    0.0264   0.7826   0.0523   2.5867
21.7222    0.0350   0.6712   0.0679   1.3790
21.4771    0.0308   0.6646   0.0606   1.4393
20.8398    0.0220   0.6752   0.0432   2.7711
21.5477    0.0325   0.6476   0.0637   1.4125
20.7786    0.0208   0.6133   0.0406   2.8319
20.5616    0.0189   0.5705   0.0362   2.9657
20.9771    0.0238   0.5464   0.0472   1.5868
21.0467    0.0241   0.5053   0.0477   1.5801
20.9820    0.0236   0.3582   0.0467   1.5935
20.5025    0.0181   0.5126   0.0343   3.0127
20.4359    0.0177   0.5028   0.0333   3.0221
20.4433    0.0178   0.4731   0.0335   2.9950
20.7385    0.0208   0.3495   0.0407   1.6820
20.0305    0.0148   0.3713   0.0257   3.3562
20.2842    0.0165   0.4203   0.0303   3.0745
19.9108    0.0142   0.3578   0.0241   3.4302
19.9406    0.0144   0.4052   0.0245   3.4073
20.2888    0.0165   0.2513   0.0303   1.8852
20.0367    0.0149   0.3754   0.0260   3.2806
19.9422    0.0143   0.3504   0.0243   3.3828
20.0120    0.0147   0.1733   0.0256   2.0010
19.7159    0.0132   0.2859   0.0211   3.5518
19.3824    0.0118   0.2093   0.0165   3.8343
19.8323    0.0139   0.1919   0.0230   2.0688
19.5224    0.0123   0.1363   0.0183   2.2083
19.0298    0.0107   0.1563   0.0126   4.1603
18.8805    0.0103   0.1726   0.0111   4.2418
19.3657    0.0118   0.1358   0.0165   2.2608
18.9702    0.0106   0.1482   0.0120   2.4009
19.2096    0.0112   0.1368   0.0145   2.3248
18.6919    0.0099   0.1761   0.0093   4.2472
18.2325    0.0091   0.2608   0.0058   4.6013
18.1505    0.0089   1.9420   0.0050   2.6939
17.8096    0.0085   2.0358   0.0030   2.7756
