#mag    e_mag    col1   e_col1    m_ini
21.4848    0.1073   2.1865   0.1430   2.5713
21.5829    0.1056   1.9813   0.1411   2.6084
21.4320    0.1011   1.7202   0.1360   2.7140
21.4232    0.0997   1.7904   0.1344   2.7364
21.1434    0.0872   1.6172   0.1201   3.0766
21.3079    0.0941   1.8043   0.1280   2.8637
21.7331    0.1162   1.6672   0.1528   1.6683
21.9531    0.1205   1.9128   0.1575   1.6205
21.2210    0.0900   1.8376   0.1234   2.9698
21.0660    0.0830   1.6066   0.1153   3.2039
21.2064    0.0844   1.6157   0.1170   3.1331
20.9589    0.0787   1.6305   0.1103   3.3183
20.9583    0.0773   1.6565   0.1086   3.3876
20.7147    0.0737   1.4656   0.1044   3.4774
20.8093    0.0734   1.4457   0.1040   3.4933
20.7386    0.0668   1.5177   0.0962   3.7509
20.5825    0.0680   1.7453   0.0977   3.7085
21.3372    0.0956   1.5646   0.1298   1.9152
20.9993    0.0828   1.5519   0.1151   2.0956
20.6976    0.0695   1.5726   0.0994   3.5782
20.6276    0.0630   1.5361   0.0916   3.8676
21.2274    0.0875   1.3499   0.1205   2.0319
20.6053    0.0683   1.6316   0.0980   3.6524
20.4029    0.0588   1.5121   0.0865   3.9896
21.0370    0.0813   1.3491   0.1133   2.1168
20.4103    0.0620   1.5070   0.0904   3.8009
21.0593    0.0809   1.3596   0.1129   2.1221
20.2432    0.0513   1.2528   0.0772   4.3449
20.8746    0.0744   1.4168   0.1052   2.2122
20.8189    0.0732   1.2998   0.1038   2.2282
20.3516    0.0571   1.4133   0.0845   3.9441
20.4594    0.0628   1.2701   0.0913   2.3604
20.4043    0.0600   1.1878   0.0880   2.3906
20.4852    0.0600   1.3465   0.0880   2.3906
20.6035    0.0642   1.2684   0.0931   2.3431
20.0820    0.0487   0.9165   0.0740   2.4960
20.0741    0.0487   1.2047   0.0740   2.4960
19.8550    0.0449   1.1707   0.0692   4.4280
19.4526    0.0360   1.0269   0.0579   4.6077
19.7138    0.0409   1.1476   0.0642   2.5715
19.7908    0.0427   1.1271   0.0664   2.5525
19.2116    0.0308   0.8718   0.0510   2.7077
19.2910    0.0312   1.0197   0.0515   4.7539
19.3438    0.0321   1.1077   0.0527   4.7922
19.2604    0.0305   0.8815   0.0505   2.7127
19.0595    0.0275   0.7933   0.0465   2.7602
18.7796    0.0235   0.8370   0.0410   5.1508
18.3732    0.0184   0.6031   0.0340   5.3916
18.4993    0.0194   0.4670   0.0353   5.1799
18.3676    0.0178   0.2851   0.0330   5.3007
18.4360    0.0191   0.0913   0.0349   2.9729
18.2301    0.0163   0.0962   0.0310   5.5311
17.9357    0.0135   0.1492   0.0268   5.8606
18.1932    0.0160   0.0245   0.0305   5.8087
18.5804    0.0209  -0.2816   0.0374   3.1664
17.8823    0.0132  -0.1625   0.0264   6.3201
17.8222    0.0128  -0.2383   0.0258   6.3259
18.9360    0.0257  -0.3649   0.0440   3.3731
18.9255    0.0255  -0.4296   0.0438   3.4001
17.9243    0.0133  -0.1755   0.0265   6.5027
17.9279    0.0136  -0.1059   0.0271   6.4739
19.0662    0.0269  -0.4403   0.0457   3.6584
18.9284    0.0257  -0.3991   0.0441   3.7924
17.9076    0.0131  -0.1867   0.0263   6.8355
18.8221    0.0237  -0.4904   0.0414   4.0258
18.0820    0.0151  -0.3808   0.0291   7.1557
18.6708    0.0226  -0.5239   0.0398   4.1743
18.6375    0.0218  -0.4634   0.0387   4.2803
18.0065    0.0142  -0.4871   0.0278   8.2000
18.4801    0.0193  -0.5793   0.0352   4.6622
17.8896    0.0129  -0.5417   0.0260   8.6455
18.2253    0.0166  -0.5862   0.0314   5.1501
18.1167    0.0153  -0.5960   0.0294   5.4471
17.4580    0.0095  -0.6118   0.0208  10.3639
17.9177    0.0133  -0.6462   0.0266   5.9378
17.0916    0.0069  -0.6743   0.0169  12.2316
16.8782    0.0057  -0.6907   0.0149  13.3232
16.6123    0.0042  -0.7576   0.0126  14.9634
16.2892    0.0027  -0.7964   0.0101  17.1833
16.7067    0.0047  -0.8180   0.0133   9.9768
